%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 8412.99544727748, 13096.334111253514, 3794.432138732927, 16318.025150063653, 11595.682692013108, 41957.33123509064, -7819.467225011257, 26706.46777230117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074165E9, 0.0, 2025-03-12 14:05:25.074
16.0, 8421.444406681587, 13098.88221012142, 3788.7100921523684, 16292.342995684505, 11589.29009309889, 41941.37208954956, -7818.819024422053, 26707.697118246215, 11058.279700074161, 11416.01937008135, -4335.903148162741, 16427.57104963911, -1906.6261537821476, -3090.687464557584, 4391.760157556553, 39225.14339985173, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074207E9, 0.0, 2025-03-12 14:05:25.074
18.0, 8423.634877638207, 13092.467259462746, 3784.619722917047, 16310.961998815776, 11587.144325631181, 41951.02804315425, -7820.7412744452095, 26705.819571711967, 11058.436162285348, 11413.963009591462, -4344.419162800213, 16425.022950771207, -1904.815662481268, -3094.4425576260755, 4393.056558734961, 39221.92474865016, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074235E9, 0.0, 2025-03-12 14:05:25.074
20.0, 8421.2879444704, 13093.249570518681, 3776.2601704907624, 16297.685062609324, 11582.629273251208, 41947.228246596846, -7818.081416855028, 26709.01587116908, 11061.073668131074, 11411.794890379297, -4331.835130671875, 16433.40485494195, -1905.5979735372036, -3083.6019615652517, 4392.743634312586, 39229.792562698436, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074262E9, 0.0, 2025-03-12 14:05:25.074
22.0, 8425.467720683542, 13086.25347450417, 3773.823830345134, 16293.438231162816, 11582.495162784477, 41931.000880122294, -7821.590640734511, 26687.46878951416, 11051.484769759747, 11399.456727439969, -4349.627119258299, 16411.276627931195, -1896.7913862218127, -3094.5766680928077, 4375.666901548731, 39212.84994040131, -0.022, 0.972, -0.20800000000000002, 192.0, 127.5, 40.0, 15.0, 48.0, 124.5, 64.0, 0.0, 0.0, 0.0, 1.741806325074289E9, 0.0, 2025-03-12 14:05:25.074
24.0, 8412.123729243724, 13090.679119906321, 3776.3048739796727, 16286.59859735949, 11580.349395316767, 41935.001842379796, -7823.624649479944, 26682.149074333796, 11050.389534281438, 11396.998035549885, -4350.677651247698, 16418.38448266798, -1898.6689327560584, -3090.3521883907547, 4385.1663929422375, 39204.892719375224, -0.022, 0.972, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074319E9, 0.0, 2025-03-12 14:05:25.074
26.0, 8424.975982305525, 13094.92595135283, 3792.3534264985833, 16293.751155585189, 11587.189029120093, 41936.186484835926, -7804.648018437389, 26706.311310089986, 11045.382743523449, 11392.214762236448, -4364.088697920883, 16406.24748542875, -1903.9662961919662, -3098.2200024390227, 4378.43851786119, 39213.58754796834, -0.022, 0.972, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074367E9, 0.0, 2025-03-12 14:05:25.074
28.0, 8428.328743973821, 13091.819058873542, 3787.9948363297985, 16300.590789388514, 11587.300787842369, 41957.3535868351, -7802.904582369874, 26714.469696816173, 11052.602356982512, 11410.63259966762, -4348.844808202363, 16425.20176472685, -1888.9682756624552, -3089.636932568185, 4397.213983203648, 39250.78085074197, -0.022, 0.972, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741806325074403E9, 0.0, 2025-03-12 14:05:25.074
30.0, 8417.868127568738, 13091.662596662354, 3783.680949649924, 16296.075737008541, 11585.66911049713, 41961.51101130379, -7792.846297364986, 26712.56979853747, 11051.305955804106, 11403.703558886476, -4364.28986362098, 16405.666340072912, -1889.035330895821, -3081.880877242193, 4392.318951167936, 39273.467871364104, -0.022, 0.972, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74180632507443E9, 0.0, 2025-03-12 14:05:25.074
32.0, 8396.924543014115, 13091.863762362453, 3771.7004146218796, 16294.779335830133, 11582.919845929127, 41960.12520314756, -7788.822983363031, 26717.397775339818, 11045.829778412555, 11387.431488923012, -4369.944854968173, 16403.96760749431, -1878.5300110018268, -3084.4513278545533, 4403.15954722876, 39283.28028717999, -0.02, 0.97, -0.2, 192.0, 127.5, 48.0, 15.0, 40.0, 124.5, 96.0, 0.0, 0.0, 0.0, 1.741806325074457E9, 0.0, 2025-03-12 14:05:25.074
