%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
12.0, 35079.18537607019, -26556.73343619507, -45874.385043905386, -26799.8757123799, -29183.711610282855, 8397.23746743649, -38796.45929294339, 16897.29295936739, 6890.372263237508, -13000.221610095694, -33540.78186044477, -10385.223971035955, -36608.62584216903, -21710.11527897302, -20013.215543415015, 9364.173932573072, -0.112, 0.972, -0.052000000000000005, 192.0, 126.0, 64.0, 15.0, 48.0, 127.0, 48.0, 0.0, 0.0, 0.0, 1.741808336879856E9, 0.0, 2025-03-12 14:38:56.879
14.0, 35009.20206418062, -26546.675151190182, -45875.279113683595, -26844.087462912496, -29188.852511507575, 8370.281263623388, -38798.850929600114, 16890.00629067496, 6893.210934783332, -12999.416947295304, -33538.43492727696, -10375.188037775522, -36610.391629981, -21712.95395051884, -20009.505153835435, 9358.98832785944, -0.112, 0.972, -0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336879887E9, 0.0, 2025-03-12 14:38:56.879
16.0, 35067.76363465353, -26547.412758757207, -45865.04201472307, -26794.198369288253, -29184.091589938595, 8398.019778492426, -38794.78291210925, 16900.19868614658, 6909.550059980162, -12980.015633108096, -33528.600159716625, -10369.354232472686, -36598.3887432085, -21698.872351512, -20008.34286312376, 9369.940682642542, -0.112, 0.972, -0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336879921E9, 0.0, 2025-03-12 14:38:56.879
18.0, 35030.72679409108, -26534.62756092877, -45868.03714848008, -26835.079709897007, -29189.456008607867, 8387.268589409423, -38797.733342377345, 16895.705985511064, 6902.665722687927, -12987.056432611518, -33528.86838065009, -10351.651650864083, -36604.87074910054, -21702.068650969108, -20009.68396779108, 9363.190455817039, -0.112, 0.972, -0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74180833687994E9, 0.0, 2025-03-12 14:38:56.879
20.0, 35052.922076335206, -26550.1173198363, -45872.418090393316, -26814.180828831297, -29193.45697086537, 8399.159717459646, -38804.84119711414, 16888.62048251873, 6899.55883020864, -12987.682281456266, -33535.73036619787, -10369.197770261499, -36609.654022413975, -21708.640063838968, -20017.037691716872, 9359.860045893198, -0.112, 0.972, -0.052000000000000005, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336879959E9, 0.0, 2025-03-12 14:38:56.879
22.0, 35031.06207025791, -26523.094060789834, -45859.09645069796, -26837.73956748719, -29183.130464927017, 8372.98582470248, -38791.944240563425, 16900.4892588245, 6904.118586077522, -12980.887351141853, -33523.34749976963, -10346.980136272925, -36595.70653387386, -21688.679956040378, -20010.6227410582, 9359.748287170922, -0.116, 0.972, -0.056, 192.0, 126.0, 48.0, 15.0, 48.0, 127.0, 32.0, 0.0, 0.0, 0.0, 1.741808336879978E9, 0.0, 2025-03-12 14:38:56.879
24.0, 35018.50038987403, -26538.762633653, -45864.43851762277, -26818.293549811075, -29189.54541558569, 8375.243350892468, -38798.33683947764, 16896.287130866902, 6910.533536736195, -12973.108944071406, -33525.06858409269, -10361.128790513134, -36588.62103088153, -21687.33885137306, -20010.801555013844, 9367.727859941466, -0.116, 0.972, -0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336879999E9, 0.0, 2025-03-12 14:38:56.879
26.0, 35048.74230012206, -26546.87631689028, -45880.7776428196, -26839.862983210445, -29199.02255523474, 8388.028548720902, -38805.847025614625, 16881.803200459864, 6892.138051049477, -12989.604531479423, -33531.192962073445, -10351.204615974977, -36613.87850211603, -21705.041432981663, -20013.215543415015, 9348.393600987625, -0.116, 0.972, -0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336880027E9, 0.0, 2025-03-12 14:38:56.880
28.0, 34984.12340690177, -26543.411796499706, -45869.53471535858, -26840.064148910544, -29189.25484290777, 8355.663222749617, -38797.97921156636, 16896.845924478286, 6905.012655855734, -12984.083650598963, -33538.189058087955, -10385.022805335857, -36614.90668236097, -21711.121107473507, -20020.636322574177, 9357.311947025293, -0.116, 0.972, -0.056, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808336880056E9, 0.0, 2025-03-12 14:38:56.880
0.0, 17358.074171313547, -12827.934363834187, -22868.494435369306, -13442.18265321048, -14568.040021424296, 4212.208594347071, -19430.103234064965, 8346.119027867202, 3451.5340270440615, -6489.896057831772, -16765.55177754781, -5175.233504203976, -18295.416926791302, -10850.207310939708, -10005.154908317912, 4678.980073807249, -0.116, 0.974, -0.078, 192.0, 126.0, 48.0, 15.0, 56.0, 126.5, 72.0, 0.0, 0.0, 0.0, 1.74180833696761E9, 0.0, 2025-03-12 14:38:56.967
