%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 18330.7773865196, -27473.087903629294, -42297.21186127805, -28474.937793605066, -24289.0819059708, 5796.43318610587, -37374.597772907946, 14104.531896654595, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483566E9, 0.0, 2025-03-12 14:43:59.483
4.0, 18348.234098939192, -27490.96929919354, -42312.209881807554, -28477.396485495152, -24306.56097013485, 5823.970535274808, -37393.70851441724, 14090.673815092305, 5164.929350010079, -14193.0001012087, -34804.50478845892, -4734.3676965674995, -36301.33405939747, -18328.229287651695, -17963.135893718707, 7295.765852423412, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483611E9, 0.0, 2025-03-12 14:43:59.483
6.0, 18315.15351714534, -27470.182176850103, -42292.11566354223, -28490.0252211124, -24288.456057126055, 5787.268970879194, -37378.73284563218, 14105.247152477164, 5168.304463422831, -14192.553066319593, -34817.49115198745, -4765.995414971759, -36306.162036199814, -18333.660761554333, -17975.250539213484, 7300.660884459125, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74180863948365E9, 0.0, 2025-03-12 14:43:59.483
8.0, 18363.20976772425, -27443.80711839284, -42301.592803191284, -28474.714276160514, -24292.52407461692, 5823.411741663425, -37382.219717767206, 14098.07224250701, 5173.646530347649, -14183.545313304105, -34802.560186691306, -4731.529025021676, -36291.52164358159, -18325.792947506066, -17959.157283205663, 7304.326570549795, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483708E9, 0.0, 2025-03-12 14:43:59.483
10.0, 18303.530610028578, -27485.850749713274, -42305.21378579304, -28500.50818926194, -24295.04982174037, 5788.543020313146, -37384.521947446105, 14095.904123294846, 5165.197570943543, -14183.90294121539, -34815.85947464222, -4767.202409172346, -36303.926861754284, -18335.11362494393, -17978.55859739287, 7303.119576349209, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483747E9, 0.0, 2025-03-12 14:43:59.483
12.0, 18355.610174609446, -27486.186025880103, -42307.06898058284, -28473.239061026463, -24295.51920837393, 5823.277631196694, -37380.945668333254, 14097.245227962165, 5167.49980062244, -14192.910694230879, -34810.13742806166, -4738.79334196965, -36297.444855862246, -18327.04464519556, -17970.02023101094, 7303.208983327029, -0.128, 0.974, -0.13, 192.0, 126.0, 0.0, 15.0, 56.0, 125.5, 120.0, 0.0, 0.0, 0.0, 1.741808639483786E9, 0.0, 2025-03-12 14:43:59.483
14.0, 18273.065182335995, -27477.893528687186, -42303.15742530316, -28506.587863753783, -24290.445362382576, 5773.902627694921, -37376.31885723101, 14094.630073860893, 5166.337509910763, -14181.779525492137, -34820.28512004437, -4769.437583617876, -36305.200911188236, -18339.226345923704, -17982.961891050567, 7304.527736249893, -0.128, 0.974, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483842E9, 0.0, 2025-03-12 14:43:59.483
16.0, 18361.980421779208, -27487.325964847325, -42310.17587306212, -28467.047627812342, -24292.14409496118, 5829.603174877546, -37382.219717767206, 14091.478477892695, 5157.463867362007, -14189.04384244011, -34802.22491052448, -4746.03530717317, -36293.84622500494, -18334.711293543733, -17974.73644909101, 7301.242029814963, -0.128, 0.974, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483882E9, 0.0, 2025-03-12 14:43:59.483
18.0, 18275.03213584806, -27465.24244132548, -42298.32944850081, -28506.811381198335, -24285.773847791417, 5781.099889409529, -37371.78145310658, 14104.889524565879, 5188.778661343892, -14194.028281453644, -34823.61552996821, -4772.589179586074, -36305.245614677144, -18334.82305226601, -17984.437106184614, 7306.15941359513, -0.128, 0.974, -0.13, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741808639483929E9, 0.0, 2025-03-12 14:43:59.483
0.0, -4678.7789081071505, -34931.552103942886, -35335.068146594545, -26435.631684736218, -9163.187046430952, -15888.223455932553, -11590.251218110468, 7062.123067632087, -4518.740417807152, -24489.420591523718, -19763.412447382503, -20519.929590216827, -27304.421639969547, -18145.459073240647, -5331.405142713206, 3659.695823156336, -0.131, 0.972, -0.133, 192.0, 125.5, 104.0, 15.0, 40.0, 125.5, 96.0, 0.0, 0.0, 0.0, 1.741808639628034E9, 0.0, 2025-03-12 14:43:59.628
