%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -8246.609061552175, -13578.97532927696, -37249.76328012506, -27246.5306218303, -43375.750586479975, 7084.87714348759, -23822.489240466268, 14762.567253418834, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523077E9, 0.0, 2025-03-12 15:11:27.523
210.0, -8234.807340479772, -13567.464180882476, -37243.169515510745, -27238.998083948863, -43365.91581891964, 7095.918905248512, -23813.325025239592, 14778.571102448834, -10994.063138254063, -22969.859596474125, -38895.11989296912, -8716.9568201252, -33931.222132590075, -12914.569725342957, -2390.3402555394478, 27365.397198843624, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523142E9, 0.0, 2025-03-12 15:11:27.523
212.0, -8237.95893644797, -13585.055003768803, -37243.571846910934, -27248.251706153358, -43366.60872299776, 7091.716777290914, -23818.04124331966, 14774.59249193579, -11005.104900014985, -22977.54859656675, -38902.29480293927, -8707.77025315407, -33937.637083248745, -12921.007027746085, -2340.1605892372836, 27418.437888436067, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523176E9, 0.0, 2025-03-12 15:11:27.523
214.0, -8237.86952947015, -13576.650747853608, -37238.29683521949, -27243.088453184184, -43366.72048172003, 7092.812012769225, -23810.776926371687, 14777.341756503793, -10992.45381265328, -22967.043276672757, -38893.95760225745, -8715.414549757785, -33933.27849307996, -12917.140175955317, -2381.980703113163, 27383.524463596877, -0.007, 0.488, -0.037, 192.0, 127.5, 72.0, 15.0, 64.0, 126.5, 88.0, 0.0, 0.0, 0.0, 1.741810287523208E9, 0.0, 2025-03-12 15:11:27.523
216.0, -8245.178549907036, -13580.964634533482, -37239.682643375716, -27246.374159619114, -43372.2860660894, 7085.5923993101605, -23812.43095546138, 14775.151285547172, -10998.332321445027, -22979.426143100995, -38900.77488431631, -8703.903401363303, -33944.67788275217, -12923.17514695825, -2344.586234639434, 27411.57590288829, -0.007, 0.488, -0.037, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523245E9, 0.0, 2025-03-12 15:11:27.523
218.0, -8228.213575865457, -13565.340765159222, -37221.89065478929, -27230.459717566937, -43357.846839171274, 7098.422300627506, -23801.94798731184, 14772.960814590553, -10992.632626608924, -22962.617631270605, -38886.69328530947, -8710.899497377814, -33929.29988256692, -12913.675655564744, -2374.6493309318225, 27375.924870482075, -0.007, 0.488, -0.037, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523287E9, 0.0, 2025-03-12 15:11:27.523
220.0, -8231.700448000485, -13570.660480339586, -37224.59521586838, -27236.494688569866, -43360.05966187235, 7092.633198813582, -23808.38528971497, 14776.291224514393, -11007.27301922715, -22973.435875586973, -38896.05866623625, -8700.930619350745, -33938.061766393395, -12924.337437669927, -2357.885522590342, 27404.848027807242, -0.007, 0.488, -0.037, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523329E9, 0.0, 2025-03-12 15:11:27.523
222.0, -8226.045456653292, -13552.667326053062, -37224.10347749037, -27235.86883972512, -43358.04800487137, 7093.1696406805095, -23806.91007458092, 14771.127971545216, -10986.061213739064, -22956.470901545395, -38881.50768059584, -8702.651703673804, -33920.38153652925, -12913.474489864648, -2380.5725432124786, 27381.266937406894, -0.007, 0.488, -0.037, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287523363E9, 0.0, 2025-03-12 15:11:27.523
224.0, -8237.86952947015, -13581.724593844963, -37243.77301261103, -27250.285714898793, -43371.66021724465, 7074.7965067382465, -23818.44357471986, 14772.312614001348, -10987.536428873114, -22971.15599765253, -38895.00813424685, -8699.030721072046, -33933.70317622461, -12924.51625162557, -2375.6998629212217, 27403.059888250817, -0.0115, 0.739, -0.056499999999999995, 192.0, 127.5, 64.0, 15.0, 120.0, 126.5, 80.0, 0.0, 0.0, 0.0, 1.741810287523397E9, 0.0, 2025-03-12 15:11:27.523
0.0, -4310.220993783592, -7076.182314894476, -18685.32075706968, -13961.368973418354, -21689.19404616285, 3413.2007853032096, -12048.417275955353, 7057.451553040928, -5502.217173840663, -11486.22619941547, -19451.9408883978, -4362.792296742475, -16969.958480591595, -6461.241121440068, -1200.5345464389977, 13683.916769494626, -0.01175, 0.8614999999999999, -0.06625, 192.0, 127.5, 80.0, 15.0, 96.0, 126.5, 80.0, 0.0, 0.0, 0.0, 1.741810287665105E9, 0.0, 2025-03-12 15:11:27.665
2.0, -8632.735447017605, -14162.221749093742, -37374.530717674585, -27935.85842083197, -43384.82539472883, 6820.679524025861, -24102.556598491265, 14088.192771457765, -11409.179736278027, -23220.914390196132, -38954.24025705341, -8867.89815043189, -34324.456372792294, -13175.615748836488, -2472.3711576904248, 26420.65601595116, -0.01175, 0.8614999999999999, -0.06625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665149E9, 0.0, 2025-03-12 15:11:27.665
4.0, -8622.56540329044, -14140.9875918612, -37362.01374077961, -27916.658272344863, -43370.16265036615, 6827.116826428989, -24091.38072626361, 14117.540611927583, -11422.07669282874, -23211.660767991634, -38948.69702442849, -8860.253853828175, -34319.38252680094, -13164.261062653193, -2541.2145306127704, 26376.153692740645, -0.01175, 0.8614999999999999, -0.06625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665213E9, 0.0, 2025-03-12 15:11:27.665
6.0, -8630.880252227815, -14154.443342023294, -37361.9690372907, -27925.19663872679, -43371.77197596693, 6824.434617094353, -24091.425429752522, 14093.825411060503, -11429.631582454633, -23226.927009454612, -38961.50457400138, -8870.535656277616, -34332.905332196395, -13177.5603506041, -2470.7394803451875, 26413.391699003187, -0.01175, 0.8614999999999999, -0.06625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665254E9, 0.0, 2025-03-12 15:11:27.665
8.0, -8636.401133108275, -14167.742629974204, -37369.009836794125, -27928.594103883996, -43376.82347021383, 6817.215003635288, -24095.29228154329, 14114.500774681661, -11421.517899217355, -23216.488744793984, -38948.36174826166, -8865.059478886065, -34322.4000123024, -13165.468056853779, -2550.0211179281614, 26375.058457262334, -0.012, 0.984, -0.074, 192.0, 127.5, 80.0, 15.0, 96.0, 126.5, 88.0, 0.0, 0.0, 0.0, 1.741810287665288E9, 0.0, 2025-03-12 15:11:27.665
10.0, -8643.79956052298, -14157.103199613477, -37365.88059257038, -27928.817621328548, -43376.35408358027, 6822.9817537047575, -24091.850112897173, 14091.433774403784, -11436.851195913696, -23225.921180954123, -38960.02935886733, -8871.18385686682, -34327.76443097168, -13176.331004659058, -2466.8726285544194, 26410.55302745736, -0.012, 0.984, -0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665324E9, 0.0, 2025-03-12 15:11:27.665
12.0, -8640.379743621319, -14160.254795581675, -37365.81353733701, -27922.15680148087, -43372.57663876732, 6823.227622893766, -24090.240787296392, 14107.571733900517, -11434.16898657906, -23220.534410540393, -38955.64841695409, -8870.446249299795, -34324.32226232556, -13172.575911590566, -2543.9861469252287, 26361.82622454479, -0.012, 0.984, -0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665358E9, 0.0, 2025-03-12 15:11:27.665
14.0, -8647.241729169098, -14164.926310172834, -37371.11090077292, -27932.840935330503, -43378.96923768154, 6820.590117048039, -24096.72279318843, 14090.562056370027, -11445.79189369582, -23234.370140358227, -38964.00796938038, -8870.960339422267, -34332.86062870749, -13181.5613128616, -2468.9289890443074, 26400.539445941384, -0.012, 0.984, -0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287665398E9, 0.0, 2025-03-12 15:11:27.665
16.0, -8645.542996590495, -14170.983632920223, -37382.152662533845, -27940.1946592563, -43389.20633664207, 6811.045922165624, -24104.72471770343, 14093.668948849316, -11433.051399356294, -23232.671407779624, -38958.263571055366, -8879.47635405974, -34329.01612866118, -13180.555484361112, -2543.7402777362204, 26358.36170415422, -0.012, 0.984, -0.074, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287724355E9, 0.0, 2025-03-12 15:11:27.724
18.0, -8638.099865686878, -14166.08860088451, -37368.719264116204, -27931.63394112992, -43380.53385979341, 6823.004105449213, -24093.951176875973, 14089.913855780824, -11436.582974980232, -23236.046521192377, -38955.55900997627, -8869.060441143565, -34331.76539322918, -13182.254216939715, -2476.886210070397, 26395.219730761022, -0.02, 0.984, -0.078, 192.0, 127.5, 48.0, 15.0, 96.0, 126.5, 72.0, 0.0, 0.0, 0.0, 1.741810287724392E9, 0.0, 2025-03-12 15:11:27.724
20.0, -8652.270871671542, -14168.726106730237, -37384.99133407966, -27943.458013946776, -43389.76513025345, 6810.844756465525, -24104.76942119234, 14092.93134128229, -11437.07471335825, -23231.240896134485, -38954.262608797864, -8878.694043003803, -34322.288253580125, -13171.905359256907, -2549.752896994698, 26350.94092499506, -0.02, 0.984, -0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287724428E9, 0.0, 2025-03-12 15:11:27.724
22.0, -8665.90543578928, -14193.469487842262, -37394.91550861782, -27959.28304902113, -43402.01388621496, 6802.06052089459, -24116.906418431572, 14075.318166651508, -11461.5051700479, -23253.726751056525, -38976.368484064165, -8885.690139018314, -34356.3076086411, -13202.66135962741, -2475.947436803274, 26390.59291965877, -0.02, 0.984, -0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810287724478E9, 0.0, 2025-03-12 15:11:27.724
