%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
78.0, -9172.91005526901, -26750.76892981159, -35407.420743396375, -33909.540940468425, -40950.3627956346, 3153.6076251992736, -24393.889235721737, 16948.92548905915, -18083.92472075519, -28498.0271456274, -34315.96270989927, -4560.113496793926, -42556.67091091525, -22187.57089228283, -4592.925857654316, 15752.794236277849, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810776678185E9, 0.0, 2025-03-12 15:19:36.678
80.0, -9180.599055361636, -26744.510441364106, -35406.28080442915, -33912.267853291974, -40954.74373754785, 3158.5026572349857, -24404.573369571375, 16926.26082018147, -18096.10642148333, -28512.93575917909, -34328.54674202761, -4572.161087055336, -42577.41332976977, -22200.624311044732, -4533.961955781217, 15763.858349783224, -0.009000000000000001, 0.484, -0.088, 192.0, 127.5, 56.0, 15.0, 32.0, 125.0, 64.0, 0.0, 0.0, 0.0, 1.741810776678233E9, 0.0, 2025-03-12 15:19:36.678
82.0, -9177.872142538088, -26745.650380331324, -35406.034935240146, -33905.696440422114, -40953.22381892488, 3159.664947946662, -24391.07291592037, 16962.35888747679, -18084.05883122192, -28496.64133747117, -34315.33686105452, -4565.455563718744, -42562.52706796254, -22184.598110270275, -4597.463261778744, 15765.467675384007, -0.009000000000000001, 0.484, -0.088, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810776678252E9, 0.0, 2025-03-12 15:19:36.678
84.0, -9190.05384326623, -26752.512365879105, -35414.975633022266, -33922.52730399696, -40963.662083585514, 3150.657194931173, -24414.609302831806, 16945.63978262422, -18106.7235000996, -28511.63935800068, -34329.57492227256, -4570.61881668792, -42573.255905301085, -22199.886703477707, -4527.189377211258, 15771.368535920208, -0.009000000000000001, 0.484, -0.088, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810776678268E9, 0.0, 2025-03-12 15:19:36.678
86.0, -9190.411471177516, -26754.233450202162, -35425.458601171806, -33921.16384758519, -40969.29472318825, 3143.9516715945806, -24413.3129016534, 16950.69127687112, -18093.938302271166, -28512.734593478992, -34332.704166496296, -4580.408880759344, -42573.390015767814, -22201.76425001195, -4588.656674463353, 15751.833111266269, -0.009000000000000001, 0.484, -0.088, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810776678284E9, 0.0, 2025-03-12 15:19:36.678
88.0, -9185.985825775364, -26745.069234975486, -35415.467371400286, -33916.671146949666, -40965.65138884204, 3150.277215275433, -24415.74924179903, 16937.5484511314, -18095.14529647175, -28514.723898735512, -34332.03361416264, -4571.177610299303, -42580.20729782669, -22203.708851779564, -4527.345839422445, 15773.223730709999, -0.009000000000000001, 0.484, -0.088, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7418107766783E9, 0.0, 2025-03-12 15:19:36.678
90.0, -9175.882837281566, -26729.177144667763, -35410.840560298035, -33903.17069329866, -40962.38803415156, 3151.975947854036, -24400.97473871407, 16942.73405584503, -18081.354270142827, -28505.31381431983, -34320.7012797238, -4567.690738164275, -42568.74085292112, -22189.29197660589, -4595.272790822124, 15760.483236370474, -0.0125, 0.726, -0.133, 192.0, 127.5, 64.0, 15.0, 32.0, 125.0, 56.0, 0.0, 0.0, 0.0, 1.741810776678315E9, 0.0, 2025-03-12 15:19:36.678
92.0, -9175.48050588137, -26745.9633047537, -35410.840560298035, -33909.0044986015, -40965.49492663085, 3153.808790899371, -24412.21766617509, 16945.706837857586, -18087.165723701208, -28509.426535299604, -34322.06473613557, -4561.678118905797, -42581.07901586044, -22191.884778962707, -4523.881319031873, 15782.477352914495, -0.0125, 0.726, -0.133, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74181077667835E9, 0.0, 2025-03-12 15:19:36.678
94.0, -9168.976148244876, -26727.411356855795, -35409.96884226428, -33898.52153045196, -40968.78063306578, 3156.7368694230163, -24412.508238853006, 16942.06350351137, -18061.751790255523, -28486.247776299453, -34306.32910803903, -4560.135848538381, -42566.88565813132, -22176.86440668874, -4593.730520454707, 15768.663974841116, -0.0125, 0.726, -0.133, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741810776678366E9, 0.0, 2025-03-12 15:19:36.678
0.0, -4576.854953390951, -13388.471411284378, -17679.2240356474, -16983.995376109528, -20414.921094765796, 1556.5978356120393, -12063.951738351792, 8291.625474885162, -9047.852045041567, -14247.426598957372, -17158.2495758831, -2273.150059360273, -21288.695489012658, -11092.075537690585, -2271.5854372484014, 7896.021949770684, -0.022, 0.962, -0.17200000000000001, 192.0, 127.5, 40.0, 15.0, 8.0, 125.0, 80.0, 0.0, 0.0, 0.0, 1.741810776776443E9, 0.0, 2025-03-12 15:19:36.776
