%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -12472.139295594608, -29767.963858600124, -28958.62954361791, -25730.18827798227, -32727.893618094164, 5174.294730936853, 4472.226437595658, 39600.67505844535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741035E9, 0.0, 2025-03-12 15:33:54.741
58.0, -12480.94588291, -29770.735474912584, -28963.301058209072, -25738.23490598618, -32733.70507165254, 5167.812725044814, 4446.812504149974, 39595.10947407597, -21064.663954337117, -27176.14497854054, -30026.350024503474, 6299.168622394636, -38834.07727886168, -17440.239183931255, 3345.4973513480845, 11842.937689177716, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741087E9, 0.0, 2025-03-12 15:33:54.741
60.0, -12475.782629940824, -29765.88514636578, -28964.910383809853, -25735.820917585006, -32733.90623735264, 5166.7398413109595, 4462.212856079681, 39603.13375033543, -21062.83111129178, -27175.206205273415, -30027.042928581588, 6299.593305539287, -38835.23956957335, -17439.836852531058, 3310.22629859761, 11831.135968105313, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741121E9, 0.0, 2025-03-12 15:33:54.741
62.0, -12479.917702665056, -29774.736437170082, -28962.3846366864, -25735.99973154065, -32735.895542609163, 5169.7349750679705, 4446.968966361162, 39591.10851181847, -21070.87773929569, -27178.7154291529, -30029.501620471674, 6299.190974139092, -38838.50292426383, -17445.961230511813, 3343.1057146913668, 11842.758875222073, -0.039, 0.47600000000000003, -0.107, 192.0, 126.5, 72.0, 14.5, 96.0, 124.5, 40.0, 0.0, 0.0, 0.0, 1.741811634741153E9, 0.0, 2025-03-12 15:33:54.741
64.0, -12471.535798494317, -29763.94054459817, -28955.81322381654, -25724.555638379534, -32729.681757650585, 5174.78646931487, 4463.397498535812, 39601.5467764791, -21055.544442599352, -27167.405446458513, -30012.08961154099, 6300.1520991506695, -38827.72938343637, -17432.460776860808, 3298.8939641587694, 11836.500386774587, -0.039, 0.47600000000000003, -0.107, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741189E9, 0.0, 2025-03-12 15:33:54.741
66.0, -12484.723327722946, -29772.45655923564, -28959.6353721184, -25732.825783827997, -32740.187077544582, 5165.398736643641, 4454.523855987055, 39610.286308561124, -21064.59689910375, -27178.983650086364, -30018.213989521744, 6304.063654430349, -38835.284273062265, -17436.729960051773, 3347.911339749258, 11857.3992678403, -0.039, 0.47600000000000003, -0.107, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741221E9, 0.0, 2025-03-12 15:33:54.741
68.0, -12470.909949649567, -29758.665532906718, -28954.382712171402, -25723.348644178946, -32736.700205409554, 5168.125649467189, 4458.5024665001, 39601.03268635663, -21058.293707167355, -27166.734894124857, -30012.93897783029, 6299.570953794832, -38827.57292122518, -17428.750387281227, 3307.2758683295096, 11843.205910111179, -0.039, 0.47600000000000003, -0.107, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741284E9, 0.0, 2025-03-12 15:33:54.741
70.0, -12478.889522420111, -29764.566393442918, -28957.221383717228, -25727.617827369908, -32744.05392933535, 5164.63877733216, 4450.075858840449, 39608.02878237114, -21058.830149034282, -27172.211071516405, -30013.654233652862, 6311.05975044486, -38834.54666549524, -17438.138119952455, 3346.6596420597607, 11861.042602186513, -0.039, 0.47600000000000003, -0.107, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634741318E9, 0.0, 2025-03-12 15:33:54.741
72.0, -12476.341423552207, -29764.432282976188, -28954.740340082688, -25722.476926145187, -32739.583580444287, 5168.1480012116435, 4461.9446351462175, 39601.613831712464, -21056.438512377565, -27169.171234270485, -30010.949672573766, 6300.889706717695, -38833.22791257237, -17433.9136402504, 3309.555746263951, 11851.610166026374, -0.058499999999999996, 0.7150000000000001, -0.1615, 192.0, 126.5, 72.0, 14.5, 104.0, 124.5, 32.0, 0.0, 0.0, 0.0, 1.741811634741357E9, 0.0, 2025-03-12 15:33:54.741
0.0, -6291.010235668449, -14945.00219166305, -14442.870252474577, -12803.414500166715, -16328.821042635565, 2609.4320546903677, 2338.9312432922416, 18284.15164758583, -10528.968039628035, -13587.759564847895, -15006.603599381877, 3153.3394042658097, -19419.32969323751, -8717.537965481039, 1680.6053138500827, 5933.918766250464, -0.07525, 0.8345, -0.18375000000000002, 192.0, 126.5, 16.0, 14.5, 104.0, 124.5, 72.0, 0.0, 0.0, 0.0, 1.741811634898228E9, 0.0, 2025-03-12 15:33:54.898
2.0, -12587.049613839343, -29883.030639056047, -28885.002897382128, -25612.528695169534, -32662.626524284668, 5217.679466924604, 4662.193913721313, 36556.4792223548, -21157.937783949114, -27133.810774542188, -29980.28307918109, 6391.50367873951, -38765.39036815052, -17355.23549976772, 3424.3990092753183, 12050.495988189698, -0.07525, 0.8345, -0.18375000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634898281E9, 0.0, 2025-03-12 15:33:54.898
4.0, -12576.29842475634, -29867.42912142624, -28883.974717137186, -25605.331433454925, -32654.89282070313, 5221.591022204283, 4676.4319749393435, 36553.05940545314, -21156.596679281793, -27127.775803539254, -29980.17132045881, 6389.983760116549, -38767.42437689595, -17351.212185765766, 3387.250409990598, 12040.057723529068, -0.07525, 0.8345, -0.18375000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634898315E9, 0.0, 2025-03-12 15:33:54.898
6.0, -12584.277997526884, -29874.87225232986, -28901.58789176797, -25626.386776731822, -32672.573050567276, 5211.666847666126, 4659.77992532014, 36559.07202471161, -21147.09718788829, -27125.294759904715, -29973.666962822317, 6402.724254456074, -38764.183373949934, -17350.072246798547, 3421.537985985039, 12055.1451510364, -0.07525, 0.8345, -0.18375000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811634898385E9, 0.0, 2025-03-12 15:33:54.898
8.0, -12588.904808629133, -29877.53210992004, -28913.948406451753, -25636.31095126998, -32678.317448892292, 5201.206231261043, 4653.744954317207, 36566.582210848595, -21162.81046424037, -27141.47742289036, -29992.50948339814, 6383.479402480055, -38781.371865436064, -17368.557139463086, 3385.8869535788244, 12037.420217683342, -0.098, 0.9580000000000001, -0.20800000000000002, 192.0, 126.0, 120.0, 14.5, 120.0, 124.5, 64.0, 0.0, 0.0, 0.0, 1.741811634898418E9, 0.0, 2025-03-12 15:33:54.898
