%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -10743.41067593225, -29934.730223981172, -30029.65808268286, -28041.69393082785, -34200.73946723217, 4493.550001806021, 2745.285957489724, 30321.594217013626, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437519E9, 0.0, 2025-03-12 15:30:54.437
28.0, -10745.198815488675, -29935.132555381366, -30034.195486807286, -28046.767776819204, -34205.81331322352, 4486.844478469429, 2760.149867552503, 30350.606781316616, -20680.52687412821, -28004.72414549877, -30755.061597235395, 4615.00938117616, -40101.91292785561, -18651.301402008703, 1911.6999997735024, 11894.547867125018, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437605E9, 0.0, 2025-03-12 15:30:54.437
30.0, -10741.644888120281, -29929.164639611798, -30031.66973968384, -28048.019474508703, -34201.5217782881, 4496.008693696105, 2739.1839312534253, 30312.787629698236, -20697.38008944751, -28003.807723976104, -30761.677713594167, 4598.580849001509, -40096.50380569742, -18655.481178221846, 1901.261735112874, 11878.991052984125, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437663E9, 0.0, 2025-03-12 15:30:54.437
32.0, -10731.899527537767, -29923.44259303124, -30028.22757103772, -28040.822212794094, -34200.42654280979, 4499.249696642125, 2758.384079740534, 30332.99360668583, -20683.85728405205, -27996.141075627933, -30755.352169913313, 4619.3903230894, -40090.87116609469, -18652.083713064636, 1901.395845579606, 11885.361300153889, -0.021, 0.482, -0.1, 192.0, 127.0, 88.0, 15.0, 16.0, 124.5, 96.0, 0.0, 0.0, 0.0, 1.741811454437713E9, 0.0, 2025-03-12 15:30:54.437
34.0, -10733.710018838647, -29927.957645411214, -30034.061376340556, -28050.433462909874, -34211.28949061507, 4499.4508623422225, 2744.3024807336906, 30317.794420456223, -20678.694031082872, -27989.234386591244, -30750.524193110967, 4617.445721321788, -40094.335686485254, -18650.005000830293, 1912.7728835073572, 11889.630483344852, -0.021, 0.482, -0.1, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437768E9, 0.0, 2025-03-12 15:30:54.437
36.0, -10731.452492648661, -29918.25698831761, -30031.66973968384, -28046.611314608017, -34199.26425209812, 4507.877470001873, 2771.0128153577825, 30323.181190869953, -20676.302394426155, -27989.144979613422, -30758.4590623926, 4621.53609055711, -40092.74871262893, -18645.847576361608, 1899.0489124117987, 11895.598399114418, -0.021, 0.482, -0.1, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437831E9, 0.0, 2025-03-12 15:30:54.437
38.0, -10738.917975296734, -29930.30457857902, -30036.654178697372, -28060.82702408159, -34208.22730162469, 4502.915382732795, 2760.3733849970563, 30304.897463905512, -20673.79899904716, -27990.17315985837, -30756.581515858357, 4613.020075919638, -40090.04415154984, -18644.797044372208, 1907.6319822826365, 11898.481774149153, -0.021, 0.482, -0.1, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437888E9, 0.0, 2025-03-12 15:30:54.437
40.0, -10742.918937554234, -29936.607770515417, -30042.28681830011, -28060.82702408159, -34207.86967371341, 4502.378940865868, 2772.890361892028, 30331.00430142931, -20684.147856729967, -28000.991404174736, -30770.61841137629, 4605.442834549289, -40103.87988136767, -18654.78827414373, 1894.3773978206395, 11898.54882938252, -0.021, 0.482, -0.1, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741811454437939E9, 0.0, 2025-03-12 15:30:54.437
42.0, -10744.662373621748, -29931.645683246337, -30040.409271765864, -28060.916431059413, -34207.40028707985, 4506.581068823465, 2759.0769838186484, 30315.782763455245, -20680.057487494647, -28003.427744320365, -30772.406550932712, 4597.150337356369, -40104.52808195687, -18656.196434044414, 1918.6066888101923, 11898.325311937966, -0.0325, 0.723, -0.14900000000000002, 192.0, 127.0, 80.0, 15.0, 16.0, 124.5, 104.0, 0.0, 0.0, 0.0, 1.741811454437989E9, 0.0, 2025-03-12 15:30:54.437
0.0, -5450.763458104546, -14957.742686002575, -14966.750439018064, -13931.775263759526, -17044.61330707232, 2260.4319167652034, 1407.3552378839538, 15028.016570570062, -10331.579784343217, -13998.919904103268, -15382.649348097963, 2306.9906004656077, -20049.179500243605, -9324.946621054009, 949.9044358616395, 5953.253025204304, -0.03925, 0.8375, -0.1795, 192.0, 127.0, 72.0, 14.5, 96.0, 124.5, 56.0, 0.0, 0.0, 0.0, 1.741811454579202E9, 0.0, 2025-03-12 15:30:54.579
