%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
224.0, -51279.64035029893, -41903.597641420085, -60041.47947329038, -61369.19544568008, -58554.797894334544, -52328.78653154213, -52292.42024331335, -44332.78522882286, -24928.051224714665, -44952.88967524644, -51719.38857071264, 2442789.965008493, -46944.74303063667, -52821.24016538145, -42937.07524980012, -622.0490481911955, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576767772E9, 0.0, 2025-03-12 13:02:56.767
226.0, -51277.29341713112, -41893.874632582025, -60035.80213019874, -61362.087590943294, -58551.57924313298, -52322.17041518336, -52287.793432211096, -44332.00291776692, -24914.34960536356, -44936.550550049615, -51706.11163450619, 2442699.3063329826, -46935.71292587673, -52810.33251408726, -42926.83815083959, -615.7905597437095, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576768311E9, 0.0, 2025-03-12 13:02:56.768
228.0, -51283.57425732306, -41900.0884175406, -60039.31135407822, -61365.775628778414, -58552.562719889014, -52325.746694296206, -52285.53590602111, -44326.169112464086, -24923.26795140123, -44939.36686985098, -51717.131044522655, 2442857.556683726, -46943.33487073599, -52813.215889122, -42938.01402306724, -618.6739347784442, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576768716E9, 0.0, 2025-03-12 13:02:56.768
230.0, -51278.500411331705, -41898.05440879517, -60032.02468538579, -61359.33832637529, -58545.43251340777, -52317.92358373685, -52272.10250760347, -44316.53551060385, -24923.82674501261, -44939.769201251176, -51714.89587007712, 2443168.692966544, -46944.25129225866, -52812.098301899234, -42928.53688341819, -617.8916237225085, 0.106, 0.9560000000000001, -0.20800000000000002, 192.0, 1.5, 40.0, 14.5, 112.0, 124.5, 64.0, 0.0, 0.0, 0.0, 1.741802576769138E9, 0.0, 2025-03-12 13:02:56.769
232.0, -51259.367318077966, -41881.84939406507, -60012.66807468749, -61342.21689012252, -58526.25471666512, -52306.948877209295, -52255.986899851196, -44308.08655119974, -24914.77428850821, -44932.41547732538, -51705.1058060057, 2443063.0139187593, -46930.370858951916, -52800.721263971485, -42916.802217579156, -605.2852398497153, 0.106, 0.9560000000000001, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576769574E9, 0.0, 2025-03-12 13:02:56.769
234.0, -51279.61799855447, -41902.547109430685, -60031.443540029955, -61359.651250797666, -58545.231347707675, -52315.129615679936, -52267.18512382331, -44308.37712387766, -24907.688785515882, -44925.53114003315, -51696.790957068326, 2442972.3552432484, -46924.89468156036, -52796.83206043626, -42907.68270584139, -599.1385101245058, 0.106, 0.9560000000000001, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576769972E9, 0.0, 2025-03-12 13:02:56.769
236.0, -51283.395443367415, -41903.57528967563, -60036.02564764329, -61364.21100666655, -58549.92521404329, -52319.3987988709, -52278.20453383977, -44336.361507935704, -24928.31944564813, -44945.51359957619, -51716.37108521117, 2442817.8599855737, -46943.80425736955, -52811.69597049904, -42925.72056361682, -613.6671440204555, 0.106, 0.9560000000000001, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576770405E9, 0.0, 2025-03-12 13:02:56.770
238.0, -51279.685053787834, -41897.182690761416, -60030.68358071847, -61359.15951241965, -58547.958260531224, -52315.040208702114, -52282.94310366429, -44317.228414681966, -24926.531306091703, -44941.84791348552, -51714.47118693247, 2442706.8165191193, -46945.12301029242, -52811.1148251432, -42928.7827526072, -617.3998853444917, 0.106, 0.9560000000000001, -0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741802576770789E9, 0.0, 2025-03-12 13:02:56.770
240.0, -51268.12920190444, -41888.4878621683, -60023.97805738188, -61351.49286407148, -58543.286745940066, -52308.80407199908, -52285.60296125447, -44309.27119365588, -24912.092079173577, -44927.90042494541, -51700.56840188127, 2442612.40275054, -46929.54384440707, -52794.64158947964, -42915.99755477876, -601.0160566587516, 0.10400000000000001, 0.9540000000000001, -0.21, 192.0, 1.5, 32.0, 14.5, 104.0, 124.5, 56.0, 0.0, 0.0, 0.0, 1.741802576771193E9, 0.0, 2025-03-12 13:02:56.771
0.0, -25627.97375058815, -20938.376598164632, -30006.725192871716, -30660.804290867367, -29255.192489050925, -26168.75185593985, -26134.46427994541, -22165.5320722499, -12451.93331860701, -22459.032828692536, -25845.188003204825, 1221589.7109019412, -23462.246175080083, -26395.420896461117, -21457.227642205675, -302.2402885246621, 0.09, 0.9540000000000001, -0.212, 192.0, 1.0, 104.0, 14.5, 104.0, 124.5, 48.0, 0.0, 0.0, 0.0, 1.741802576929455E9, 0.0, 2025-03-12 13:02:56.929
