%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
28.0, 4853.949529403392, -18626.803890085685, 1989.77464315589, 40309.29241291194, 14197.33633963303, 33181.61167879244, -9291.955446237975, 10176.72689875685, 25616.06027079347, 4932.73942860835, 18395.55274195108, 22288.73488768755, -3789.045368319198, -6402.657199222708, 16585.866103871598, -14100.419175674819, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737476261E9, 0.0, 2025-03-18 13:15:37.476
30.0, 4854.061288125669, -18626.021579029748, 1985.3042942648285, 40326.570311375894, 14193.581246564538, 33181.634030536894, -9286.300454890783, 10179.766736002772, 25618.138983027817, 4925.4304081714645, 18380.6888318883, 22279.50361722751, -3801.6964556809016, -6411.732007471563, 16570.04106879724, -14106.45414667775, -0.094, 0.936, 0.28, 192.0, 126.5, 8.0, 14.5, 32.0, 4.0, 96.0, 0.0, 0.0, 0.0, 1.742321737476555E9, 0.0, 2025-03-18 13:15:37.476
32.0, 4861.325605073644, -18626.759186596773, 2000.615239216714, 40300.865805252295, 14199.437403611828, 33192.04994345307, -9283.193562411496, 10193.468355353876, 25596.97188102864, 4920.02128601328, 18383.438096456302, 22278.721306171574, -3789.7382723973124, -6412.536670271954, 16573.215016509894, -14098.541629140573, -0.094, 0.936, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737476828E9, 0.0, 2025-03-18 13:15:37.476
34.0, 4842.192511819901, -18634.470538433856, 1997.351884526239, 40314.6121280923, 14193.916522731368, 33179.689428769285, -9282.634768800113, 10195.547067588219, 25590.6910408367, 4913.5169283767855, 18387.237893013706, 22270.965250845584, -3809.921897640455, -6413.587202261353, 16575.494894444335, -14106.834126333491, -0.094, 0.936, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737477081E9, 0.0, 2025-03-18 13:15:37.477
36.0, 4848.160427589468, -18631.050721532192, 1990.1993263005409, 40312.77928504697, 14213.027264240654, 33188.89834748487, -9254.69508823098, 10200.39739613502, 25611.366404457858, 4915.238012699844, 18386.790858124597, 22261.935146085638, -3782.8986385939884, -6413.542498772443, 16578.914711346, -14094.183038971787, -0.094, 0.936, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737477329E9, 0.0, 2025-03-18 13:15:37.477
38.0, 4842.90776764247, -18643.232422260335, 1988.165317555108, 40308.59950883383, 14198.677444300349, 33172.5815740325, -9275.683376274512, 10185.44407909442, 25603.49859040959, 4908.353675407609, 18376.240834741693, 22271.233471779047, -3800.5118132247703, -6416.381170318266, 16587.31896726119, -14102.676701864804, -0.094, 0.936, 0.28, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737477608E9, 0.0, 2025-03-18 13:15:37.477
40.0, 4861.035032395725, -18628.726140108844, 1999.6317624606804, 40288.617049290784, 14210.412110139385, 33181.09758866997, -9279.326710620728, 10194.474183854365, 25598.24593046259, 4901.044654970724, 18378.565416165045, 22251.899212825207, -3806.8597086500777, -6421.589126776354, 16579.13822879055, -14096.50762039514, -0.088, 0.934, 0.278, 192.0, 126.5, 32.0, 14.5, 24.0, 4.0, 88.0, 0.0, 0.0, 0.0, 1.742321737477871E9, 0.0, 2025-03-18 13:15:37.477
42.0, 4847.62398572254, -18635.36460821207, 1995.9213728810994, 40298.42946510667, 14201.918447246368, 33170.50286179815, -9278.07501293123, 10182.672462781962, 25608.170105000747, 4910.9911812533355, 18382.320509233537, 22261.041076307425, -3795.5050224667816, -6409.0945016258365, 16581.440458469446, -14105.671835621815, -0.088, 0.934, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737478151E9, 0.0, 2025-03-18 13:15:37.478
44.0, 4853.3460323030995, -18630.000189542796, 1987.807689643823, 40311.482883868564, 14201.314950146074, 33181.54462355907, -9281.427774599526, 10204.800689792715, 25614.763869615064, 4904.397416639021, 18384.35451797897, 22257.93418382814, -3790.453528219882, -6419.711580242108, 16578.490028201348, -14088.59510285796, -0.088, 0.934, 0.278, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74232173747841E9, 0.0, 2025-03-18 13:15:37.478
0.0, 2308.6222778108454, -9296.179925940029, 1033.9246432691389, 19832.54639298277, 7131.815806843735, 17268.354269069943, -4415.117730512349, 5223.200347805065, 12815.484442172581, 2451.9863667471845, 9188.846849065643, 11134.052113777652, -1890.1529181185865, -3211.789216016438, 8285.769317837872, -7047.572081991682, -0.094, 0.935, 0.28200000000000003, 192.0, 126.0, 112.0, 14.5, 32.0, 4.0, 120.0, 0.0, 0.0, 0.0, 1.742321737633847E9, 0.0, 2025-03-18 13:15:37.633
2.0, 4616.037561421104, -18597.09842170458, 2064.809449292356, 39649.04423344663, 14251.271099003685, 34517.08370650813, -8856.789333437602, 10423.065474398789, 25685.55184430502, 4805.826223591116, 18261.08464730795, 22313.210047866112, -3799.528336468737, -6341.100494992793, 16551.93615578844, -13930.94824921468, -0.094, 0.935, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737634188E9, 0.0, 2025-03-18 13:15:37.634
4.0, 4614.830567220517, -18598.238360671803, 2071.157344717663, 39669.83135579006, 14263.25163403173, 34533.17696251595, -8833.990554093189, 10456.615442826205, 25698.158228177814, 4802.831089834105, 18258.715362395687, 22316.048719411938, -3790.811156131167, -6339.290003691913, 16556.674725612967, -13932.155243415267, -0.094, 0.935, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74232173763444E9, 0.0, 2025-03-18 13:15:37.634
6.0, 4605.666351993841, -18610.26359918876, 2077.7958128208893, 39653.31341663759, 14255.048543816632, 34524.37037520056, -8837.298612272574, 10447.719448532993, 25676.722905245177, 4796.438490919887, 18267.23137703316, 22312.65125425473, -3797.7849004012232, -6349.951785797094, 16560.8097983372, -13920.867612465336, -0.094, 0.935, 0.28200000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742321737634708E9, 0.0, 2025-03-18 13:15:37.634
8.0, 4603.162956614847, -18610.554171866675, 2054.147667187174, 39639.96942519777, 14249.192386769342, 34510.0429070047, -8852.1401705909, 10432.229689625465, 25696.90653048832, 4790.872906550516, 18255.027324560564, 22297.519123258488, -3800.489461480315, -6353.773934098952, 16551.287955199237, -13938.726656285127, -0.1, 0.9380000000000001, 0.28, 192.0, 126.0, 112.0, 14.5, 40.0, 4.0, 96.0, 0.0, 0.0, 0.0, 1.742321737634961E9, 0.0, 2025-03-18 13:15:37.634
