%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
42.0, 3720.112588419031, -17521.2866093262, -3449.7458874876365, 35447.69858690484, 15788.35586170624, 26049.885278926526, -8428.395799207186, 10356.256110221877, 25948.542469566164, 29328.03682423077, 15696.57959897275, 23170.131226793674, -4796.840822320083, -8348.354202312732, 22418.352653783877, -10101.803851342662, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339645988E9, 0.0, 2025-03-18 13:25:39.645
44.0, 3717.9891726957767, -17519.69963546987, -3462.195809149243, 35443.272941502684, 15786.612425638728, 26048.2983050702, -8421.690275870595, 10355.607909632672, 25969.62016458752, 29330.56257135422, 15704.782689187849, 23189.01845085841, -4777.75243255525, -8341.156940598124, 22427.829793432928, -10082.290778433178, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339646401E9, 0.0, 2025-03-18 13:25:39.646
46.0, 3722.2360041422853, -17518.962027902846, -3453.5680357894944, 35445.41870897039, 15796.536600176883, 26052.768653961262, -8401.551354116364, 10362.268729480355, 25965.775664541205, 29330.540219609764, 15699.351215285209, 23170.82413087179, -4787.9001245379595, -8327.88000439167, 22426.4439852767, -10094.226609972311, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339646797E9, 0.0, 2025-03-18 13:25:39.646
48.0, 3728.7403617787795, -17512.345911544075, -3448.3377275869525, 35459.366197510506, 15797.855353099747, 26050.935810915926, -8403.317141928334, 10355.987889288413, 25980.125484481512, 29335.591713856666, 15708.738947956437, 23197.087430606774, -4776.299569165655, -8330.182234070568, 22432.143680112804, -10079.027423742704, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339647179E9, 0.0, 2025-03-18 13:25:39.647
50.0, 3727.1980914113633, -17511.720062699325, -3446.0354979080557, 35453.26417127421, 15799.084699044788, 26060.01061916478, -8411.274362954422, 10360.90527306858, 25966.155644196948, 29344.33124593869, 15712.985779402947, 23181.77648565489, -4787.7213105823175, -8324.750760167928, 22432.076624879435, -10077.261635930734, -0.12, 0.922, 0.306, 192.0, 126.0, 32.0, 14.0, 104.0, 4.5, 72.0, 0.0, 0.0, 0.0, 1.742322339647556E9, 0.0, 2025-03-18 13:25:39.647
52.0, 3726.1028559330534, -17509.194315575878, -3449.7011839987263, 35442.40122346893, 15799.084699044788, 26056.479043540843, -8429.133406774212, 10345.90725253907, 25972.14591171097, 29344.822984316706, 15716.897334682624, 23192.013584615423, -4777.081880221592, -8307.875193104172, 22433.551840013486, -10079.027423742704, -0.12, 0.922, 0.306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339647964E9, 0.0, 2025-03-18 13:25:39.647
54.0, 3726.59459431107, -17512.502373755262, -3445.8566839524133, 35439.13786877845, 15795.039033298379, 26048.231249836834, -8420.237412481, 10351.182264230521, 25972.66000183344, 29336.75400456834, 15710.929418913058, 23183.519921722404, -4775.763127298728, -8335.904280651126, 22431.00374114558, -10085.241208701278, -0.12, 0.922, 0.306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339648358E9, 0.0, 2025-03-18 13:25:39.648
56.0, 3723.085370431587, -17517.442109279884, -3449.097686898433, 35445.73163339277, 15798.056518799845, 26034.462575252364, -8416.147043245679, 10333.770255299838, 25965.75331279675, 29332.75304231084, 15706.302607810809, 23183.69873567805, -4781.015787245726, -8338.74295219695, 22428.701511466686, -10092.729043093806, -0.12, 0.922, 0.306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339648676E9, 0.0, 2025-03-18 13:25:39.648
58.0, 3728.0027542117546, -17520.0349116367, -3441.766314717092, 35448.83852587206, 15789.428745440096, 26038.172964831945, -8441.00218307998, 10321.610906316151, 25970.357772154544, 29336.932818523983, 15715.958561415502, 23176.30030826334, -4776.836011032583, -8342.967431899004, 22434.021226647048, -10091.85732506005, -0.12, 0.922, 0.306, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339648934E9, 0.0, 2025-03-18 13:25:39.648
0.0, 1732.2154917973867, -8904.71147354978, -1823.4106091750396, 17948.584908078305, 7852.234882382737, 14133.857385379957, -4021.2352897209275, 5787.738357512755, 12989.202200079228, 14666.924138894576, 7857.152266162904, 11589.535962287899, -2385.400520014825, -4173.629483417211, 11212.529088560235, -5049.884921298614, -0.124, 0.925, 0.29300000000000004, 192.0, 126.0, 0.0, 14.5, 0.0, 4.0, 96.0, 0.0, 0.0, 0.0, 1.742322339811735E9, 0.0, 2025-03-18 13:25:39.811
2.0, 3452.0034136776226, -17823.48219436195, -3662.6239016799814, 35870.92886816608, 15702.793383931326, 28263.53499454677, -8044.281070742735, 11563.563235230833, 25762.888880120383, 29517.199637556034, 15693.67387219356, 23066.486187754417, -4754.908949721927, -8373.634025291685, 22555.50295776164, -10241.368143721598, -0.124, 0.925, 0.29300000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339812053E9, 0.0, 2025-03-18 13:25:39.812
4.0, 3440.961651916701, -17837.85436604671, -3675.565561719604, 35874.549850767835, 15694.456183249496, 28243.97721814838, -8053.646451669509, 11555.874235138206, 25744.918077578317, 29495.1608175231, 15666.874130591648, 23041.89926885358, -4765.391917871466, -8392.94593250107, 22535.118166818404, -10263.026984098791, -0.124, 0.925, 0.29300000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339812316E9, 0.0, 2025-03-18 13:25:39.812
6.0, 3441.609852505905, -17835.283915434353, -3673.464497740805, 35868.3137140648, 15698.770069929371, 28246.614723994106, -8043.252890497791, 11556.589490960776, 25739.62071414241, 29497.97713732447, 15669.422229459553, 23029.18112625851, -4766.330691138589, -8400.120842471224, 22545.958762879225, -10254.846245628149, -0.124, 0.925, 0.29300000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742322339812578E9, 0.0, 2025-03-18 13:25:39.812
