%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -48980.808136559506, -49162.61722595897, -3380.254313976087, -51565.74267932686, 5102.7020934465045, 169.023891571032, -20318.227448252135, -30286.0996468186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74352781690292E9, 0.0, 2025-04-01 12:16:56.902
120.0, -48980.91989528178, -49169.16628708438, -3378.3991191862965, -51569.318958439704, 5117.007209897901, 164.73235663561306, -20312.080718526926, -30297.119056835065, -1238.2866428240113, -36546.15271641644, -33607.0324310103, -18961.968298193016, -22880.09499074161, -23545.729940620655, -27454.71476968703, -40584.621201112415, -0.014, 0.978, 0.044, 192.0, 127.5, 72.0, 15.0, 72.0, 0.5, 48.0, 0.0, 0.0, 0.0, 1.743527816902992E9, 0.0, 2025-04-01 12:16:56.902
122.0, -48976.673063835275, -49161.656100947395, -3387.8539070908914, -51574.14693524205, 5126.2384803579425, 156.1045832758645, -20314.159430761272, -30316.27450183326, -1236.7220207121397, -36539.35778610203, -33606.58539612119, -18963.13058890469, -22902.67025264147, -23539.22558298416, -27453.06074059734, -40590.18678548179, -0.014, 0.978, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.743527816903088E9, 0.0, 2025-04-01 12:16:56.903
124.0, -48976.337787668446, -49165.411194015884, -3392.190145515221, -51573.69990035295, 5109.318209805276, 161.1113740338533, -20310.694910370697, -30300.605928970093, -1240.5441690139974, -36548.61140830653, -33604.97607052041, -18963.711734260527, -22912.415613223984, -23542.108958018896, -27460.61563022323, -40594.52302390612, -0.014, 0.978, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.743527816903165E9, 0.0, 2025-04-01 12:16:56.903
126.0, -48979.332921425455, -49164.83004866005, -3393.7547676270924, -51572.04587126325, 5124.629154757161, 166.11816479184208, -20314.986445306116, -30307.400859284506, -1234.9562329001706, -36532.78637323217, -33601.802122807756, -18953.787559722372, -22897.372889205562, -23541.32664696296, -27453.887755142183, -40587.45987265824, -0.014, 0.978, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.743527816903234E9, 0.0, 2025-04-01 12:16:56.903
128.0, -48987.26779070709, -49172.38493828594, -3405.24356427712, -51579.93603705598, 5111.732198206449, 156.9763013096215, -20326.810518122973, -30331.67485376297, -1242.9805091596259, -36547.58322806159, -33613.51443690234, -18963.644679027162, -22930.520526232784, -23544.724112120166, -27465.57771749231, -40593.69600936127, -0.014, 0.978, 0.044, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74352781690331E9, 0.0, 2025-04-01 12:16:56.903
130.0, -48986.48547965116, -49170.01565337368, -3400.125014796855, -51575.33157769818, 5117.029561642356, 171.14730729428618, -20326.251724511592, -30292.26872828826, -1249.261349351567, -36552.05357695265, -33622.41043119555, -18975.982841966492, -22914.91900860298, -23543.293600475026, -27473.534938518398, -40600.84856758697, -0.016, 0.99, 0.042, 192.0, 127.5, 64.0, 15.0, 120.0, 0.5, 40.0, 0.0, 0.0, 0.0, 1.743527816903392E9, 0.0, 2025-04-01 12:16:56.903
132.0, -48967.77706954206, -49157.92335962336, -3380.1425552538108, -51553.42686813198, 5112.313343562287, 180.15506030977494, -20306.783355091018, -30280.668172915957, -1234.620956733341, -36539.00015819075, -33605.04312575378, -18954.100484144747, -22902.223217752366, -23531.447175913716, -27460.928554645605, -40577.356884164445, -0.016, 0.99, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.743527816903501E9, 0.0, 2025-04-01 12:16:56.903
134.0, -48983.535049383056, -49169.32274929556, -3395.38644497233, -51571.30826369623, 5124.472692545974, 160.35141472237288, -20326.45289021169, -30310.306586063696, -1225.9931833735923, -36523.4209923054, -33599.41048615104, -18942.70109447254, -22911.633302168048, -23525.166335721773, -27451.67493244111, -40580.26261094363, -0.016, 0.99, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.743527816903569E9, 0.0, 2025-04-01 12:16:56.903
0.0, -24520.71303376115, -24563.404865670786, -1679.823002794147, -25776.67990644931, 3151.7747821539383, 96.73835000256896, -10146.350878042089, -15127.392426418357, -621.423199346447, -18274.294528281036, -16808.6682926021, -9481.453535730068, -11466.757829994898, -11766.13709522928, -13737.404493976175, -20297.708546842165, -0.014, 0.986, 0.046, 192.0, 127.5, 72.0, 15.0, 104.0, 0.5, 56.0, 0.0, 0.0, 0.0, 1.743527817044325E9, 0.0, 2025-04-01 12:16:57.044
