%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 43796.879803762415, -6636.4340944807645, 31899.180340669198, 1818.046190505766, 9343.051534062808, -16821.542897408355, 64122.170403262426, 12891.145097153796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994014305E9, 0.0, 2025-04-10 15:46:34.014
134.0, 43809.91087077986, -6604.873431309871, 31899.962651725134, 1860.358042759662, 9279.438469343004, -16690.96400630045, 63895.76958367462, 12918.280114922538, 23597.965967412707, 17437.89225076345, -19924.56852490527, 30940.78224191454, 39165.91127704517, 26796.478247222694, 22335.762958021518, -2478.450832182268, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994014654E9, 0.0, 2025-04-10 15:46:34.014
136.0, 43812.123693480935, -6625.638201908851, 31907.45048611766, 1821.7118765964362, 9360.821170904777, -16828.22606900049, 64130.66406615545, 12885.065422661952, 23612.80752573103, 17428.83979425905, -19917.460670168482, 30904.7959333415, 39217.72262069257, 26755.48514789166, 22403.153467554268, -2498.030960325117, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994014913E9, 0.0, 2025-04-10 15:46:34.014
138.0, 43824.707725609274, -6603.822899320472, 31906.26584366153, 1873.6796824550252, 9275.705728018967, -16667.71819206693, 63884.5266562136, 12926.103225481895, 23614.48390656518, 17446.005934000725, -19921.70750161499, 30942.21275355968, 39174.47199517155, 26798.735773412678, 22341.641466813264, -2479.501364171668, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994015179E9, 0.0, 2025-04-10 15:46:34.015
140.0, 43812.123693480935, -6634.713010157706, 31905.59529132787, 1817.4426934054725, 9368.04078436384, -16839.558403439332, 64165.91276716146, 12875.476524290625, 23615.24386587666, 17427.83396575856, -19920.567562647768, 30912.708450878676, 39208.46899848807, 26761.095435749943, 22398.750173896573, -2492.0630445555503, 0.014, 0.486, -0.057, 192.0, 0.0, 112.0, 15.0, 48.0, 126.0, 56.0, 0.0, 0.0, 0.0, 1.744317994015439E9, 0.0, 2025-04-10 15:46:34.015
142.0, 43829.2451297337, -6602.146518486324, 31900.946128481166, 1872.3832812766173, 9251.252919584862, -16676.368317171135, 63864.16421701482, 12903.147983926296, 23613.366319342414, 17443.346076410544, -19919.539382402825, 30936.69187267922, 39169.80048058039, 26786.24114826216, 22341.5744115799, -2490.364311976947, 0.014, 0.486, -0.057, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994015721E9, 0.0, 2025-04-10 15:46:34.015
144.0, 43837.47057169325, -6620.385541961854, 31908.83629427389, 1818.716742839425, 9374.14281060014, -16849.460226233034, 64159.5425199917, 12868.234559087106, 23629.079595694497, 17441.73675080976, -19920.925190559054, 30924.55487543999, 39201.69641991812, 26770.125540509885, 22381.964013810637, -2495.616971923944, 0.014, 0.486, -0.057, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994015966E9, 0.0, 2025-04-10 15:46:34.015
146.0, 43844.846647363505, -6582.052300221003, 31904.388297127283, 1879.0664528687541, 9249.26361432834, -16667.159398455547, 63853.39067618736, 12915.419091632259, 23624.76570901462, 17457.248861461743, -19926.8036993508, 30934.389643000322, 39181.31162897487, 26787.202273273742, 22349.106949461337, -2492.3536172334693, 0.014, 0.486, -0.057, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994016218E9, 0.0, 2025-04-10 15:46:34.016
148.0, 43823.29956570859, -6623.604193163418, 31911.965538497632, 1813.8887660370788, 9394.23702886546, -16839.267830761415, 64187.951587194395, 12879.343376081393, 23622.441127591268, 17449.381047413473, -19921.551039403803, 30934.79197440052, 39203.976297852554, 26784.184787772276, 22384.71327837864, -2485.558686919056, 0.014, 0.486, -0.057, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74431799401647E9, 0.0, 2025-04-10 15:46:34.016
0.0, 21702.15805794693, -3466.1967714067428, 15897.365319414774, 885.8666879971848, 4707.769120665685, -8388.721452799016, 31429.88311408557, 6460.637624339774, 11809.745348661585, 8730.211404587199, -9961.211378718779, 15476.146695154512, 19585.35845105153, 13401.010739923804, 11174.911102641952, -1241.170017858746, 0.02, 0.97, -0.094, 192.0, 0.0, 80.0, 15.0, 40.0, 126.5, 8.0, 0.0, 0.0, 0.0, 1.744317994144355E9, 0.0, 2025-04-10 15:46:34.144
2.0, 43386.367665096244, -6930.5159962792395, 31788.44979863761, 1766.950102680934, 9373.47225826648, -16805.22612395598, 62876.86531267945, 12898.208248401672, 23185.419820001105, 17044.926231494694, -20006.57707531179, 30736.308483637393, 39148.72278555903, 26643.011169792557, 22307.398594307735, -2502.7471784051872, 0.02, 0.97, -0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994144642E9, 0.0, 2025-04-10 15:46:34.144
4.0, 43375.16944112414, -6916.948487394869, 31795.334135929843, 1807.0714839782102, 9334.781388614343, -16683.5879306302, 62689.49063891061, 12940.542452400025, 23171.941718094557, 17068.820246317417, -19998.932778708077, 30796.747600644543, 39100.934755913586, 26701.282167587542, 22245.104282510794, -2464.0563087530504, 0.02, 0.97, -0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994144906E9, 0.0, 2025-04-10 15:46:34.144
6.0, 43384.02073192844, -6927.967897411335, 31796.943461530624, 1762.9491404234338, 9399.512040556912, -16812.80336532633, 62907.576609561045, 12907.908905495276, 23164.409180213115, 17042.355780882335, -20003.71605202151, 30744.89155350823, 39135.535256330404, 26643.637018637302, 22318.663873513207, -2490.5878294215, 0.02, 0.97, -0.094, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994145178E9, 0.0, 2025-04-10 15:46:34.145
8.0, 43407.0430287174, -6893.523859205707, 31805.615938379284, 1817.755617827847, 9342.380981729148, -16661.191482685983, 62691.94933080069, 12948.298507726015, 23177.283785019376, 17071.94949054116, -19997.412860085115, 30800.90502511323, 39099.817168690824, 26696.767115207567, 22259.74467512902, -2464.5703988755226, 0.01, 0.982, -0.084, 192.0, 0.0, 40.0, 15.0, 88.0, 126.5, 48.0, 0.0, 0.0, 0.0, 1.744317994145407E9, 0.0, 2025-04-10 15:46:34.145
10.0, 43399.48813909151, -6903.939772121879, 31812.410868693696, 1771.1522306385316, 9430.133930460684, -16819.352426451736, 62944.345229190025, 12910.457004363181, 23174.82509312929, 17062.94173752567, -19987.57809252478, 30767.444463663636, 39144.23008492352, 26658.523280444537, 22327.917495717706, -2483.4799746847125, 0.01, 0.982, -0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74431799414566E9, 0.0, 2025-04-10 15:46:34.145
12.0, 43422.89041553622, -6872.557922906629, 31808.58872039184, 1823.6341266195927, 9332.65797289109, -16644.405322600047, 62688.26129296557, 12956.479246196657, 23185.55393046784, 17087.90863608225, -19983.77829596738, 30805.75535366003, 39113.4293810641, 26701.81860945447, 22277.26844278198, -2461.195285462771, 0.01, 0.982, -0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7443179941459E9, 0.0, 2025-04-10 15:46:34.145
14.0, 43422.57749111384, -6893.926190605902, 31805.794752334925, 1758.29997757673, 9437.644116597667, -16818.7712810959, 62973.7154214043, 12916.760196299578, 23189.979575869987, 17071.01071727404, -19988.829790214277, 30776.832196334864, 39143.60423607877, 26668.022771838045, 22323.491850315553, -2474.3381112024917, 0.01, 0.982, -0.084, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744317994146154E9, 0.0, 2025-04-10 15:46:34.146
