%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
42.0, -2069.190391205596, -4424.706628883676, 21164.151568907688, 7394.068824537853, -7664.32376674697, -6046.415096094024, -32725.881961093186, 22755.215794469812, 2674.6544450109536, 26738.855450016912, -15360.588176320574, -6736.704020107272, -9587.870191081785, 7861.153228420405, -42147.38811819412, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340648743E9, 0.0, 2025-04-16 12:25:40.648
44.0, -2068.542190616392, -4416.34707645739, 21163.257499129475, 7400.282609496428, -7675.432583741258, -6044.761067004331, -32735.13558329768, 22759.529681149685, 2671.905180442951, 26662.65835316877, -15357.302469885644, -6747.09758127899, -9594.083976040361, 7858.560426063589, -42140.25791171288, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74482434064892E9, 0.0, 2025-04-16 12:25:40.648
46.0, -2062.842495780289, -4419.3869137033125, 21166.90083347569, 7406.205821777085, -7667.922397604275, -6041.654174525043, -32733.727423397, 22756.64630611495, 2678.5883520350876, 26741.738825051645, -15354.866129740016, -6730.423179915331, -9591.200601005627, 7868.708118046298, -42142.53778964732, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340649086E9, 0.0, 2025-04-16 12:25:40.649
48.0, -2061.6578533241577, -4409.77566358753, 21170.43240909963, 7413.067807324864, -7676.058432586006, -6031.104151142139, -32728.117135538716, 22766.950460308846, 2674.900314199962, 26667.933364860222, -15351.200443649346, -6740.660278875862, -9595.022749307484, 7864.640100555433, -42137.57570237824, -187500.02235174447, -0.12, 0.9500000000000001, 0.242, 192.0, 126.0, 32.0, 14.5, 88.0, 3.5, 72.0, 0.0, 0.0, 0.0, 1.744824340649186E9, 0.0, 2025-04-16 12:25:40.649
50.0, -2054.0806119538083, -4414.357771200868, 21175.461551602075, 7414.94535385911, -7665.351946991915, -6032.400552320547, -32726.5748651713, 22768.93976556537, 2685.3385788605906, 26738.028435472064, -15347.333591858578, -6720.811929799549, -9586.394975947736, 7875.2124756827925, -42136.97220527795, -187500.02235174447, -0.12, 0.9500000000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340649295E9, 0.0, 2025-04-16 12:25:40.649
52.0, -2049.6996700405684, -4401.214945461148, 21190.57133085386, 7427.037647609431, -7669.263502271593, -6017.156662602028, -32720.539894168367, 22770.906719077437, 2684.57861954911, 26679.55627197698, -15334.50369054123, -6729.171482225834, -9585.433850936157, 7874.877199515963, -42124.3434696607, -187500.02235174447, -0.12, 0.9500000000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340649382E9, 0.0, 2025-04-16 12:25:40.649
54.0, -2038.0544111793533, -4397.549259370478, 21188.783191297436, 7430.680981955646, -7647.247033983116, -6019.503595769835, -32724.406745959135, 22778.46160870333, 2700.6942273013865, 26741.515307607093, -15324.624219491985, -6702.394092368376, -9570.301719939915, 7891.5292491351665, -42119.38138239162, -187500.02235174447, -0.12, 0.9500000000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340649464E9, 0.0, 2025-04-16 12:25:40.649
56.0, -2052.6948037975794, -4401.706683839165, 21190.213702942576, 7423.550775474403, -7663.206179524205, -6014.921488156497, -32714.3708126987, 22777.522835436208, 2688.445471339878, 26693.52611226155, -15334.302524841134, -6723.874118789926, -9579.935321800152, 7875.547751849623, -42122.398867893084, -187500.02235174447, -0.12, 0.9500000000000001, 0.242, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824340649551E9, 0.0, 2025-04-16 12:25:40.649
58.0, -2029.2478238639624, -4391.670750578732, 21193.253540188496, 7433.027915123453, -7636.831121066943, -6019.883575425574, -32702.211463715015, 22785.345945995563, 2709.657276827965, 26742.29761866303, -15317.896344410938, -6695.353292864954, -9561.204559946604, 7897.8100893271085, -42104.22689965092, -187500.02235174447, -0.124, 0.9520000000000001, 0.24, 192.0, 126.0, 16.0, 14.5, 96.0, 3.5, 64.0, 0.0, 0.0, 0.0, 1.744824340649645E9, 0.0, 2025-04-16 12:25:40.649
0.0, -1052.0072045334823, -2236.20262577565, 10580.645272808704, 3704.153442877942, -3827.3115548266837, -3022.2911265243447, -16345.160167832395, 11356.854302508153, 1346.1338098208678, 13372.892245399029, -7665.553112692012, -3362.775249812037, -4786.201391959356, 3936.812750913233, -21058.628983334183, -93750.01117587223, -0.12, 0.9480000000000001, 0.244, 192.0, 126.0, 32.0, 14.5, 80.0, 3.5, 80.0, 0.0, 0.0, 0.0, 1.744824340825057E9, 0.0, 2025-04-16 12:25:40.825
