%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
254.0, 2716.0275239977273, 1787.4690040909059, 21020.049872404325, 8539.014582516502, -6051.667756041022, -4849.076849112135, -29370.43808346249, 22414.396395015287, 163.16773452374156, 26365.670724591106, -13966.599281620895, -4895.412015367987, -7524.737122623578, 5105.585468481239, -38940.56098944676, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728656797E9, 0.0, 2025-04-16 12:32:08.656
0.0, 2691.6194190525316, 1766.1007363916322, 21007.1082123647, 8512.058378703401, -6063.111849202139, -4861.280901584733, -29380.831644634207, 22403.42168848773, 173.8071648844677, 26413.324643769818, -13967.448647910196, -4895.479070601353, -7518.545689409458, 5109.877003416658, -38939.21988477944, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728657109E9, 0.0, 2025-04-16 12:32:08.657
2.0, 2713.613535596554, 1783.4233383444953, 21007.264674575887, 8529.313925422899, -6064.520009102823, -4859.20218935039, -29394.734429685406, 22405.209828044157, 159.23382749960751, 26338.938038222557, -13972.746011346104, -4908.06310272969, -7535.7565326400445, 5094.588410209228, -38954.17320182004, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728657373E9, 0.0, 2025-04-16 12:32:08.657
4.0, 2707.3997506379787, 1776.2260766298864, 21004.805982685804, 8515.679361305161, -6067.6492533265655, -4866.48885804282, -29393.549787229276, 22393.609272671853, 169.42622297122753, 26422.533562485405, -13970.801409578493, -4891.858087999593, -7521.6749336332, 5099.371683522664, -38954.46377449796, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728657558E9, 0.0, 2025-04-16 12:32:08.657
6.0, 2727.7621898367634, 1793.1239954380985, 21016.38418631365, 8534.991268514546, -6061.3684131346245, -4855.380041048532, -29387.514816226343, 22410.931874624715, 164.8888188468002, 26347.722273793494, -13964.900549042291, -4900.821137526172, -7524.87123309031, 5094.5437067203175, -38949.36757676215, -187500.02235174447, -0.05, 0.466, 0.157, 192.0, 126.0, 112.0, 14.5, 16.0, 4.5, 104.0, 0.0, 0.0, 0.0, 1.744824728657728E9, 0.0, 2025-04-16 12:32:08.657
8.0, 2734.087733517615, 1798.2201931739085, 21025.81662247379, 8532.331410924366, -6046.146875160561, -4852.00492763578, -29375.95896434295, 22409.277845535024, 177.94223760869951, 26432.435385279106, -13955.848092537892, -4884.392605351521, -7507.772148582, 5110.569907494772, -38941.72328015844, -187500.02235174447, -0.05, 0.466, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728657915E9, 0.0, 2025-04-16 12:32:08.657
10.0, 2736.97110855235, 1803.6293153320928, 21019.848706704226, 8538.612251116307, -6053.031212452795, -4850.8202851796495, -29374.550804442264, 22409.3896042573, 177.8975341197889, 26354.20427968553, -13951.534205858017, -4894.607352567596, -7513.673009118201, 5101.5845062237395, -38938.01289057886, -187500.02235174447, -0.05, 0.466, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728658085E9, 0.0, 2025-04-16 12:32:08.658
12.0, 2742.804913855185, 1796.8567367621347, 21023.760261983905, 8530.364457412297, -6039.776627990798, -4852.854293925082, -29370.05810380675, 22409.21079030166, 187.75465342457932, 26431.206039334065, -13948.539072101006, -4874.446079068909, -7502.7206543351, 5116.314305819787, -38932.78258237631, -187500.02235174447, -0.05, 0.466, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728658253E9, 0.0, 2025-04-16 12:32:08.658
14.0, 2733.73010560633, 1804.009294987833, 21018.976988670467, 8529.693905078639, -6057.546264832767, -4849.233311323323, -29381.68101092351, 22412.027110103027, 179.95389460967715, 26353.2208029295, -13951.601261091384, -4902.855146271604, -7515.774073097, 5098.254096299898, -38942.41618423655, -187500.02235174447, -0.05, 0.466, 0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.744824728658417E9, 0.0, 2025-04-16 12:32:08.658
0.0, 1327.6265654118736, 867.8064784772968, 10506.660998661639, 4269.831391552852, -3034.2269580634784, -2439.2011689187493, -14675.57426399878, 11177.436849765403, 89.71990224360255, 13201.119089259993, -6973.185476444421, -2441.235177664182, -3752.2543969457624, 2558.134801165438, -19469.934042684323, -93750.01117587223, -0.108, 0.932, 0.302, 192.0, 126.0, 80.0, 14.5, 16.0, 4.5, 56.0, 0.0, 0.0, 0.0, 1.744824728812206E9, 0.0, 2025-04-16 12:32:08.812
