%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
254.0, -24279.627118066208, 241.57765407295872, 10316.224135902421, 4143.29816619136, 7665.1284295473615, 16026.513698877538, -7803.999817848185, 9691.336416165403, 5427.02590549301, -14536.92639314251, -14192.396604108406, 50963.497276723065, -4346.363764567825, 6653.063792355513, 10827.699104273213, -187500.02235174447, -0.11, 0.962, -0.154, 192.0, 126.0, 72.0, 15.0, 8.0, 125.5, 24.0, 0.0, 0.0, 0.0, 1.745267636802959E9, 0.0, 2025-04-21 15:33:56.802
0.0, -24267.288955126878, 246.13740994184138, 10317.051150447269, 4148.662584860634, 7665.687223158744, 16030.335847179396, -7799.395358490391, 9702.936971537707, 5429.752818316558, -14531.338457028683, -14186.47339182775, 50967.18531455819, -4346.475523290101, 6660.596330236952, 10835.321049132473, -187500.02235174447, -0.11, 0.962, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636803494E9, 0.0, 2025-04-21 15:33:56.803
2.0, -24265.254946381447, 257.8050205475117, 10323.667266806038, 4150.316613950326, 7667.251845270615, 16030.514661135037, -7804.424500992835, 9695.717358078642, 5437.777094576013, -14514.261724264828, -14175.208112622275, 50977.78004143001, -4340.19468309816, 6665.714879717217, 10837.399761366816, -187500.02235174447, -0.11, 0.962, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636803734E9, 0.0, 2025-04-21 15:33:56.803
4.0, -24260.874004468205, 252.03827047804245, 10315.240659146388, 4144.1475324806615, 7658.691127144233, 16031.609896613349, -7814.058102853072, 9690.598808598377, 5442.292146955985, -14525.348189514661, -14174.157580632876, 50990.81110844745, -4340.1499796092485, 6666.765411706617, 10833.890537487334, -187500.02235174447, -0.11, 0.962, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636803974E9, 0.0, 2025-04-21 15:33:56.803
6.0, -24261.097521912758, 257.40268914731615, 10313.22900214541, 4140.77241906791, 7654.556054420002, 16032.951001280666, -7816.539146487612, 9685.122631206827, 5440.07932425491, -14528.343323271672, -14177.979728934733, 50977.42241351872, -4341.960470910129, 6662.071545371002, 10818.400778579806, -187500.02235174447, -0.11, 0.962, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636804221E9, 0.0, 2025-04-21 15:33:56.804
8.0, -24267.46776908252, 246.29387215302853, 10309.205688143455, 4140.168921967616, 7649.728077617655, 16033.330980936407, -7818.908431399875, 9696.119689478837, 5442.806237078457, -14523.135366813585, -14175.386926577918, 50989.58176250241, -4347.168427368215, 6660.998661637147, 10811.918772687766, -187500.02235174447, -0.116, 0.964, -0.154, 192.0, 126.0, 48.0, 15.0, 16.0, 125.5, 24.0, 0.0, 0.0, 0.0, 1.745267636804454E9, 0.0, 2025-04-21 15:33:56.804
10.0, -24279.314193643833, 236.81673250397833, 10302.097833406668, 4128.903642762142, 7645.123618259861, 16031.006399513055, -7826.642134981411, 9694.420956900234, 5432.83735905139, -14521.101358068152, -14184.685252271325, 50959.89864586576, -4352.398735570757, 6659.814019181016, 10808.61071450838, -187500.02235174447, -0.116, 0.964, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636804708E9, 0.0, 2025-04-21 15:33:56.804
12.0, -24268.786522005383, 245.600968074914, 10308.713949765439, 4137.687878333078, 7653.617281152879, 16044.395094441785, -7823.065855868561, 9704.188669227204, 5426.154187459253, -14537.552241987258, -14193.469487842262, 50975.164887328734, -4361.048860674961, 6650.582748720974, 10798.194801592208, -187500.02235174447, -0.116, 0.964, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636804945E9, 0.0, 2025-04-21 15:33:56.804
14.0, -24261.902184713148, 248.79726753202291, 10312.938429467491, 4135.184482954083, 7657.7076503882, 16039.924745550723, -7815.8685941539525, 9696.20909645666, 5441.956870789155, -14526.085797081685, -14173.643490510403, 50958.1775615427, -4339.747648209053, 6666.094859372957, 10817.551412290504, -187500.02235174447, -0.116, 0.964, -0.154, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.745267636805166E9, 0.0, 2025-04-21 15:33:56.805
0.0, -12169.65313788094, 171.8402113724007, 5173.400661158641, 1934.521130862371, 3824.696400725413, 7942.155950326437, -3920.2501082718504, 4934.013478042302, 2718.8885472880065, -7264.674575886081, -7090.554486579238, 25503.876865372287, -2173.282465133961, 3328.1747493952216, 5406.194079660664, -93750.01117587223, -0.124, 0.968, -0.096, 192.0, 126.0, 16.0, 15.0, 32.0, 126.5, 0.0, 0.0, 0.0, 0.0, 1.745267636937059E9, 0.0, 2025-04-21 15:33:56.937
