%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
72.0, -47558.298415934856, -32116.863979919435, 102003.61633343891, -55691.472374376346, -59848.6733256189, -57821.23599305582, -65853.38006655933, -59780.27698758567, 19509.876610025956, -36334.86167608043, -61433.23319354453, -52839.859168512725, -57522.01319003263, -60191.0573471853, -42046.73821291187, -49923.314145006436, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837255396E9, 0.0, 2025-02-28 14:50:37.255
74.0, -47540.46172385952, -32098.35673551044, 102023.57644123751, -55672.85337124507, -59830.65781958793, -57802.63934166901, -65840.25959256406, -59760.607452464996, 19619.288399134686, -36334.705213869245, -61436.85417614629, -52839.233319667976, -57523.46605342222, -60190.476201829464, -42052.773183914804, -49921.36954323883, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837255631E9, 0.0, 2025-02-28 14:50:37.255
76.0, -47550.16238095312, -32104.79403791357, 102001.38115899339, -55682.88930450551, -59842.057209260136, -57816.564478464665, -65845.10992111087, -59776.857170684, 19483.635662035427, -36332.0230045346, -61426.84059463032, -52835.880557999684, -57519.21922197571, -60188.933931462045, -42043.81013438823, -49918.50851994855, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837255801E9, 0.0, 2025-02-28 14:50:37.255
78.0, -47535.767857523904, -32089.10311330594, 101974.53671390256, -55664.69498451889, -59828.355589909035, -57797.78901312221, -65833.39760701629, -59757.54526347462, 19658.046324020186, -36322.34469918546, -61421.43147247213, -52826.381066606176, -57518.01222777513, -60180.66378601358, -42047.542875712265, -49912.56295592344, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837255974E9, 0.0, 2025-02-28 14:50:37.255
80.0, -47552.822238543304, -32105.17401756931, 101987.76894662011, -55683.02341497224, -59846.05817151764, -57816.54212672021, -65847.56861300094, -59776.477191028265, 19457.662934978358, -36321.60709161843, -61419.03983581541, -52825.665810783605, -57516.6264196189, -60178.942701690525, -42041.48555296488, -49910.037208799986, 0.046, 0.978, 0.106, 192.0, 0.5, 56.0, 15.0, 72.0, 1.5, 40.0, 0.0, 0.0, 0.0, 1.740775837256163E9, 0.0, 2025-02-28 14:50:37.256
82.0, -47543.45685761653, -32092.858206374432, 102005.89621137336, -55670.46173458836, -59838.99502026976, -57803.086376558116, -65847.88153742332, -59767.89412115743, 19690.41164999147, -36329.98899578917, -61435.31190577888, -52837.35577313373, -57529.23280349169, -60187.63753028364, -42060.819811918715, -49922.0847990614, 0.046, 0.978, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837256353E9, 0.0, 2025-02-28 14:50:37.256
84.0, -47543.27804366089, -32090.131293550887, 101984.81851635201, -55670.17116191044, -59838.59268886956, -57805.142737048, -65847.32274381194, -59774.666699727386, 19434.864155633946, -36310.654736835335, -61421.69969340559, -52822.111883415215, -57512.53605038358, -60172.214826609474, -42046.492343722864, -49910.9312785782, 0.046, 0.978, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837256534E9, 0.0, 2025-02-28 14:50:37.256
86.0, -47534.29264238985, -32077.59196491146, 101958.10818172792, -55656.11191464805, -59829.89786027645, -57792.75987061976, -65846.78630194502, -59763.78140017765, 19699.75467917379, -36311.571158358, -61421.45382421659, -52823.162415404615, -57513.05014050605, -60173.24300685442, -42050.426250747, -49914.19463326867, 0.046, 0.978, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837256733E9, 0.0, 2025-02-28 14:50:37.256
88.0, -47544.64150007266, -32086.085627804474, 101991.23346701068, -55666.01373744175, -59839.956145281336, -57806.30502775968, -65853.22360434814, -59777.2595020842, 19420.51433569364, -36305.13385595487, -61411.3955392117, -52812.79120597735, -57504.57882935749, -60165.84457943971, -42042.35727099863, -49905.276287231005, 0.046, 0.978, 0.106, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775837256949E9, 0.0, 2025-02-28 14:50:37.256
90.0, -47545.356755895235, -32091.919433107312, 102023.24116507068, -55663.24212112929, -59839.48675864778, -57808.13787080501, -65858.87859569534, -59778.37708930697, 19716.630246237546, -36326.70328935424, -61430.036894087425, -52833.913604487614, -57520.82854757649, -60188.35278610621, -42058.025843861804, -49928.16447355324, 0.046, 0.974, 0.106, 192.0, 0.5, 56.0, 15.0, 56.0, 1.5, 40.0, 0.0, 0.0, 0.0, 1.740775837257157E9, 0.0, 2025-02-28 14:50:37.257
