%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -49961.781497214026, -32025.512400330594, 101934.23651864965, -57329.1846906167, -61590.5894745099, -59733.740655629714, -69594.57034999972, -61771.30332843105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598690382E9, 0.0, 2025-02-28 14:46:38.690
38.0, -49958.56284601246, -32030.675653299768, 101914.67874225126, -57331.01753366203, -61588.53311402001, -59734.05358005209, -69588.80359993024, -61773.40439240985, 26169.020076873312, -45071.599790048575, -61126.09787298416, -53979.32874909983, -59100.29221776631, -61972.58078725109, -44084.770272346774, -52302.83615622952, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598690491E9, 0.0, 2025-02-28 14:46:38.690
40.0, -49957.37820355633, -32022.271397384575, 101953.81664679249, -57321.76391145753, -61580.46413427164, -59721.603658390486, -69587.68601270748, -61763.83784578298, 26451.90375469968, -45091.38108389152, -61147.15321626106, -54002.28399065542, -59124.74502620042, -61993.77024099472, -44102.33874348864, -52321.52221459415, 0.026000000000000002, 0.48, 0.089, 192.0, 0.5, 80.0, 15.0, 0.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.740775598690608E9, 0.0, 2025-02-28 14:46:38.690
42.0, -49951.45499127567, -32018.985690949645, 101972.54740864605, -57319.506385267545, -61579.45830577115, -59719.212021733765, -69587.21662607392, -61768.37524990741, 26177.89371942207, -45064.24606612278, -61122.14161421557, -53972.98085367452, -59098.68289216553, -61962.947185390854, -44077.14832748751, -52292.08496714652, 0.026000000000000002, 0.48, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598690748E9, 0.0, 2025-02-28 14:46:38.690
44.0, -49965.29072109351, -32028.77575502107, 101950.32977465747, -57328.9835249166, -61593.405794311264, -59729.8961555834, -69604.11454488213, -61778.16531397883, 26421.86301015175, -45084.78731927721, -61142.504053414355, -53995.57846731883, -59123.94036340003, -61986.0812409021, -44099.72358938737, -52319.35409538199, 0.026000000000000002, 0.48, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598690868E9, 0.0, 2025-02-28 14:46:38.690
46.0, -49939.72032543663, -32004.52411228706, 101926.03342843454, -57307.972885128605, -61570.09292484438, -59710.02545476264, -69573.15737881153, -61756.26060441263, 26201.586568544695, -45060.64743526548, -61117.06776822422, -53966.54355127139, -59100.06870032176, -61959.50501674474, -44076.99186527632, -52291.95085667978, 0.026000000000000002, 0.48, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598691016E9, 0.0, 2025-02-28 14:46:38.691
48.0, -49964.419003059746, -32029.58041782146, 101937.6563355513, -57330.10111213936, -61595.35039607887, -59733.62889690744, -69604.8745041936, -61777.74063083418, 26381.294593965365, -45070.72807201482, -61126.05316949525, -53982.323882856836, -59111.624552205154, -61977.20759835334, -44084.68086536895, -52308.133519665425, 0.026000000000000002, 0.48, 0.089, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598691132E9, 0.0, 2025-02-28 14:46:38.691
50.0, -49972.21976187465, -32036.062423713498, 101953.28020492557, -57336.560766286944, -61601.49712580408, -59741.49671095571, -69604.91920768251, -61783.440325670286, 26243.831365565227, -45080.20521166387, -61139.10658825715, -53990.61638004975, -59119.961752886986, -61985.70126124636, -44096.907269586, -52313.2967726346, 0.038000000000000006, 0.72, 0.1335, 192.0, 0.5, 72.0, 15.0, 0.0, 2.5, 72.0, 0.0, 0.0, 0.0, 1.740775598691228E9, 0.0, 2025-02-28 14:46:38.691
52.0, -49984.692035280714, -32048.82526979748, 101931.15197791481, -57348.027211192515, -61614.05880618797, -59752.270251783164, -69623.09117592468, -61794.258569986654, 26354.36074189672, -45098.48893862831, -61156.138617532095, -54011.51526111547, -59137.68668624004, -62008.522392335224, -44108.597231936124, -52332.87690077745, 0.038000000000000006, 0.72, 0.1335, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598691345E9, 0.0, 2025-02-28 14:46:38.691
54.0, -49953.35488955437, -32022.71843227368, 101921.80894873249, -57323.149719613764, -61583.347509306375, -59726.31987647055, -69584.75793418383, -61767.212959195735, 26269.602926922194, -45085.54727858869, -61142.30288771426, -53994.03619695142, -59118.41948251957, -61992.58559853859, -44097.62252540857, -52315.64370580241, 0.038000000000000006, 0.72, 0.1335, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74077559869143E9, 0.0, 2025-02-28 14:46:38.691
0.0, -24974.40874271497, -16059.884853349311, 50981.37867228731, -28648.85671721181, -30770.55135614292, -29805.872417196326, -34869.7271787795, -30833.158592362237, 13068.260320217649, -22537.062768586013, -30564.04358912034, -26992.43599086237, -29554.057664162836, -30992.928861728775, -22038.395349788112, -26152.055102831735, 0.054, 0.9580000000000001, 0.186, 192.0, 0.5, 88.0, 14.5, 120.0, 2.5, 104.0, 0.0, 0.0, 0.0, 1.740775598790844E9, 0.0, 2025-02-28 14:46:38.790
2.0, -49961.42386930274, -32134.07482315002, 101968.25587371063, -57312.75615844204, -61551.29510775747, -59627.54751772255, -69754.16180541061, -61688.288949524045, 24527.95499896467, -45114.55984289168, -61350.71055301554, -54073.74251767904, -59045.97747873992, -61935.99098157776, -43986.757872910246, -52190.13866068586, 0.054, 0.9580000000000001, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598850523E9, 0.0, 2025-02-28 14:46:38.850
4.0, -49950.04683137499, -32118.16038109784, 101947.49110311165, -57293.48895472157, -61529.03277027998, -59605.64280815635, -69736.50392729092, -61667.68064113625, 24842.756967873214, -45120.84068308362, -61357.95251821906, -54079.82219217088, -59048.32441190773, -61940.39427523545, -43991.54114622369, -52195.27956191058, 0.054, 0.9580000000000001, 0.186, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775598850611E9, 0.0, 2025-02-28 14:46:38.850
