%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
250.0, -47242.6023772481, -31599.801075434814, 102158.04453588063, -51524.10137940662, -55828.220346953916, -53239.39660065134, -65551.38564722368, -55408.745158761165, 14189.80380175159, -37807.66282172952, -57912.408758689024, -49112.81753931255, -53508.06456900413, -55886.021958115336, -37236.0393090295, -45191.20397462892, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477701098E9, 0.0, 2025-02-28 15:01:17.701
252.0, -47241.663603980975, -31598.30350855631, 102133.56937570208, -51524.81663522919, -55829.20382370995, -53242.95052801973, -65551.60916466823, -55416.18828966478, 14127.733007399203, -37792.6200977111, -57903.93744754046, -49098.802995539074, -53497.849821788055, -55869.660481174054, -37225.64574785778, -45175.17777385447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477701475E9, 0.0, 2025-02-28 15:01:17.701
254.0, -47238.10967661258, -31596.314203299786, 102103.5509828986, -51521.016838671785, -55827.035704497786, -53242.07880998598, -65559.94636535006, -55418.87049899942, 14202.521944346661, -37792.95537387793, -57899.93648528296, -49099.69706531728, -53499.86147878903, -55873.88496087611, -37226.85274205837, -45181.928000679975, 0.021, 0.493, 0.042, 192.0, 0.5, 40.0, 15.0, 104.0, 1.0, 80.0, 0.0, 0.0, 0.0, 1.740776477701826E9, 0.0, 2025-02-28 15:01:17.701
0.0, -47252.235979108336, -31606.327784815763, 102119.44307320632, -51535.32195512318, -55837.20574822495, -53263.514132918615, -65565.35548750823, -55437.66831608633, 14126.0342748206, -37791.94954537744, -57897.5672003707, -49093.48328035871, -53495.03350198668, -55874.80138239877, -37223.47762864562, -45181.503317535324, 0.021, 0.493, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477702196E9, 0.0, 2025-02-28 15:01:17.702
2.0, -47271.525534573266, -31623.046889668334, 102146.77925667516, -51551.19169368645, -55853.947204821976, -53278.91448484832, -65581.60520572725, -55446.45255165727, 14186.831019739035, -37820.336260835684, -57916.63323839108, -49117.600812625984, -53521.900298821965, -55905.89265893611, -37243.25892248857, -45211.65582080553, 0.021, 0.493, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477702512E9, 0.0, 2025-02-28 15:01:17.702
4.0, -47252.21362736388, -31603.355002803208, 102152.72482070027, -51531.45510333242, -55827.48273938689, -53257.568568893505, -65551.83268211278, -55421.195080422774, 14103.950751298757, -37818.86104570163, -57918.08610178067, -49114.9409550358, -53520.425083687915, -55901.80228970078, -37242.789535855, -45202.84923349014, 0.021, 0.493, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477702829E9, 0.0, 2025-02-28 15:01:17.702
6.0, -47243.407040048485, -31591.128598586158, 102125.29923025361, -51524.8613387181, -55818.72085556041, -53249.99132752315, -65552.3691239797, -55415.36127511994, 14202.946627491312, -37799.795007681256, -57890.816973545196, -49095.89726875988, -53496.62047584301, -55885.932551137514, -37214.38046865231, -45183.26910534729, 0.021, 0.493, 0.042, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477703158E9, 0.0, 2025-02-28 15:01:17.703
8.0, -47246.64804299451, -31594.2578428099, 102140.69958218331, -51531.43275158796, -55826.454559141945, -53254.95341479223, -65558.49350196046, -55425.75483629166, 14137.590126703994, -37788.77559766479, -57888.47004037739, -49084.5872860655, -53490.16082169543, -55873.929664365016, -37212.36881165133, -45173.30022732022, 0.0325, 0.7355, 0.064, 192.0, 0.5, 48.0, 15.0, 72.0, 1.0, 88.0, 0.0, 0.0, 0.0, 1.740776477703473E9, 0.0, 2025-02-28 15:01:17.703
10.0, -47263.2553891248, -31608.071220883277, 102161.15142835992, -51548.48713260736, -55847.59930939667, -53268.09624053195, -65582.65573771665, -55439.67997308731, 14196.375214621452, -37807.72987696289, -57906.93258129747, -49108.77187356614, -53513.94307779588, -55897.06371987626, -37231.88188456081, -45199.675285777485, 0.0325, 0.7355, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477703808E9, 0.0, 2025-02-28 15:01:17.703
12.0, -47245.575159260654, -31587.798188662317, 102136.98919260374, -51526.85064397462, -55831.43899815548, -53245.476275143184, -65564.34965900776, -55421.21743216723, 14130.214051033743, -37793.64827795605, -57904.228020218376, -49097.50659436067, -53507.05874050364, -55879.76346966785, -37233.53591365051, -45186.86773620459, 0.0325, 0.7355, 0.064, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776477704142E9, 0.0, 2025-02-28 15:01:17.704
