%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
82.0, -49334.882120476024, -32260.51864153369, 102080.77455529865, -53988.78353700442, -58100.7669092139, -55799.0736721842, -63905.671406468326, -57934.11230255513, 16644.606488300145, -36833.30557743378, -59984.795449351725, -51391.17555513091, -55618.51628047422, -58218.60530598227, -39852.64627369002, -47742.74501118005, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117793315E9, 0.0, 2025-02-28 14:55:17.793
84.0, -49341.118257179056, -32261.01037991171, 102056.12058116443, -53999.06533945386, -58106.22073486099, -55805.26510539831, -63918.90363918587, -57935.341648500165, 16940.096549999304, -36861.15585102509, -60004.7108536614, -51421.57392759013, -55644.10902787555, -58251.1494459092, -39880.98828565935, -47779.60303778685, 0.07, 0.484, 0.054, 192.0, 2.0, 48.0, 15.0, 32.0, 1.5, 48.0, 0.0, 0.0, 0.0, 1.740776117793628E9, 0.0, 2025-02-28 14:55:17.793
86.0, -49318.09596039009, -32231.61783595298, 102029.05261862907, -53974.5901792753, -58077.63285370265, -55779.672357996984, -63889.3322812715, -57906.954933041925, 16675.04956424827, -36826.82357154174, -59988.2599697423, -51390.39324407497, -55618.67274268541, -58211.78802392341, -39860.849363905116, -47742.18621756866, 0.07, 0.484, 0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117793901E9, 0.0, 2025-02-28 14:55:17.793
88.0, -49333.31749836415, -32243.9112954034, 102042.41896181334, -53993.231534151026, -58089.635740475154, -55799.29718962875, -63912.17576410482, -57925.640991406566, 16911.285151396412, -36842.11216474917, -59996.194839023934, -51405.100691926564, -55634.05074287066, -58225.62375374124, -39868.3595500421, -47753.473848518595, 0.07, 0.484, 0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117794186E9, 0.0, 2025-02-28 14:55:17.794
90.0, -49312.08334113161, -32226.856914384, 102062.91551147884, -53981.16159214516, -58068.20041754251, -55788.38953833456, -63893.1320778289, -57911.04530227725, 16730.50424224189, -36835.6972140905, -59994.54080993424, -51395.44473832187, -55626.942888133875, -58214.827861169324, -39871.332332054655, -47742.74501118005, 0.07, 0.484, 0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117794395E9, 0.0, 2025-02-28 14:55:17.794
92.0, -49301.44391077089, -32214.004661322197, 102066.24592140269, -53982.882676468216, -58060.8019901278, -55790.33414010217, -63890.02518534961, -57911.425281932985, 16882.071421393328, -36841.44161241551, -59988.75170812032, -51399.378645346005, -55627.32286778961, -58221.8910124172, -39869.63359947605, -47751.32808105089, 0.07, 0.484, 0.054, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117794562E9, 0.0, 2025-02-28 14:55:17.794
94.0, -49276.83464012559, -32185.103855741487, 102049.86209271695, -53961.96144365805, -58037.95850729448, -55772.139820115546, -63872.054382807546, -57890.414642145, 16782.85202775622, -36802.90720497456, -59960.72262057336, -51359.324319282096, -55598.08678604207, -58183.580122420804, -39849.405270744, -47718.15809227921, 0.10400000000000001, 0.728, 0.081, 192.0, 2.0, 40.0, 15.0, 48.0, 1.5, 48.0, 0.0, 0.0, 0.0, 1.740776117794717E9, 0.0, 2025-02-28 14:55:17.794
96.0, -49290.46920424333, -32193.105780256486, 102064.12250567944, -53982.63680727921, -58051.526016178854, -55796.61498029411, -63894.58494121849, -57917.594363402655, 16862.96067988404, -36811.892606245594, -59961.68374558494, -51368.95792114233, -55610.67081817041, -58195.203029537566, -39855.97668361386, -47733.42433374219, 0.10400000000000001, 0.728, 0.081, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117794901E9, 0.0, 2025-02-28 14:55:17.794
98.0, -49287.921105375426, -32184.768579574655, 102082.85326753298, -53978.278217110426, -58048.240309743924, -55795.072709926695, -63898.76471743164, -57917.12497676909, 16859.518511237922, -36810.99853646738, -59969.05982125519, -51368.1756100864, -55616.34816126206, -58194.33131150381, -39869.90182040952, -47736.93355762167, 0.10400000000000001, 0.728, 0.081, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117795076E9, 0.0, 2025-02-28 14:55:17.795
100.0, -49298.91816364744, -32191.22823372224, 102058.62397654343, -53992.0915951838, -58062.61248142868, -55810.294247900754, -63918.72482523022, -57939.677886924495, 16833.858708603228, -36823.89549301809, -59979.18516149344, -51381.81017420413, -55633.62605972601, -58209.19522156659, -39883.357570571614, -47755.19493284165, 0.10400000000000001, 0.728, 0.081, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74077611779525E9, 0.0, 2025-02-28 14:55:17.795
102.0, -49270.66555865593, -32156.60538156097, 102031.5783657525, -53961.20148434657, -58032.59408862521, -55772.3633375601, -63887.25356903715, -57896.15904047001, 16908.58059031732, -36799.62149853963, -59965.34943167561, -51358.09497333706, -55614.694132172364, -58180.96496831954, -39871.757015199306, -47727.881101117266, 0.10400000000000001, 0.728, 0.081, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117795439E9, 0.0, 2025-02-28 14:55:17.795
104.0, -49295.29718104567, -32177.191338204306, 102045.14587463687, -53997.09838594179, -58062.00898432839, -55807.05324495474, -63916.62376125142, -57930.08898855317, 16801.56043786531, -36800.7390857624, -59964.0530304972, -51362.341804783566, -55615.610553695034, -58185.547075932875, -39866.2584860633, -47730.540958707454, 0.12200000000000001, 0.849, 0.0925, 192.0, 2.0, 48.0, 15.0, 40.0, 1.5, 32.0, 0.0, 0.0, 0.0, 1.740776117795619E9, 0.0, 2025-02-28 14:55:17.795
106.0, -49281.260285527744, -32162.059207208065, 102064.25661614617, -53989.27527538244, -58054.56585342477, -55799.9230384735, -63915.34971181747, -57919.36015121462, 16979.50267547401, -36815.670051058536, -59981.15211500551, -51375.059947378635, -55635.90593766045, -58207.31767503234, -39893.72877999888, -47753.00446188504, 0.12200000000000001, 0.849, 0.0925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117795807E9, 0.0, 2025-02-28 14:55:17.795
108.0, -49283.160183806445, -32164.674361309335, 102049.4374095723, -54002.105176699784, -58060.98080408345, -55813.177622935495, -63918.05427289657, -57933.240584521365, 16777.12998117566, -36808.472789343934, -59966.77994332075, -51366.54393274116, -55628.10517884555, -58205.01544535345, -39881.211803103906, -47748.10942984932, 0.12200000000000001, 0.849, 0.0925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117795977E9, 0.0, 2025-02-28 14:55:17.795
110.0, -49254.482895670284, -32136.108831895453, 102049.52681655012, -53973.092612396795, -58029.53189963483, -55782.689843498454, -63891.545103972574, -57900.092947494144, 17022.46272831711, -36806.95287072097, -59963.58364386364, -51363.794668173156, -55624.3277340326, -58203.56258196385, -39880.45184379242, -47746.768325182005, 0.12200000000000001, 0.849, 0.0925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117796155E9, 0.0, 2025-02-28 14:55:17.796
112.0, -49267.60336966555, -32149.072843679533, 102065.2400929022, -53995.28789464091, -58043.59114689722, -55805.77919552079, -63899.524676743116, -57919.069578536706, 16760.433228067544, -36789.40675132356, -59942.371838375555, -51345.2203685308, -55601.841879110565, -58183.62482590972, -39851.08165157815, -47724.99772608253, 0.12200000000000001, 0.849, 0.0925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117796325E9, 0.0, 2025-02-28 14:55:17.796
114.0, -49253.432363680884, -32131.593779515482, 102085.31195942307, -53979.19463863309, -58030.4483211575, -55792.52461105879, -63893.869685395926, -57905.85969756362, 17071.14482774077, -36809.50096958887, -59962.57781536315, -51367.21448507482, -55622.13726307598, -58206.40125350968, -39876.294419323734, -47748.98114788308, 0.131, 0.9095, 0.09825, 192.0, 2.0, 48.0, 15.0, 40.0, 1.5, 32.0, 0.0, 0.0, 0.0, 1.740776117796478E9, 0.0, 2025-02-28 14:55:17.796
116.0, -49260.74138411777, -32137.382881329406, 102061.99908995618, -53989.92347597164, -58041.87006257416, -55809.73545428937, -63899.45762150975, -57924.009314061324, 16752.677172741554, -36791.44076006899, -59943.824701765145, -51345.93562435337, -55604.85936461203, -58189.235113768, -39855.99903535832, -47732.91024361971, 0.131, 0.9095, 0.09825, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117796645E9, 0.0, 2025-02-28 14:55:17.796
118.0, -49250.25841596823, -32121.893122421876, 102033.50061577567, -53972.042080407395, -58032.12470199165, -55793.35162560364, -63891.612159205935, -57904.33977894065, 17099.598598432374, -36796.76047524935, -59952.787751291726, -51352.57409245659, -55616.5269752177, -58200.65685518466, -39869.56654424269, -47746.611862970814, 0.131, 0.9095, 0.09825, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117796811E9, 0.0, 2025-02-28 14:55:17.796
120.0, -49259.1767620059, -32127.235189346695, 102048.3868775829, -53980.13341190021, -58041.55713815179, -55801.152384418536, -63890.02518534961, -57910.35239819913, 16753.012448908383, -36778.6332104961, -59939.28729764072, -51333.48570269176, -55601.32778898809, -58178.66273864064, -39852.042776589726, -47724.84126387135, 0.131, 0.9095, 0.09825, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117796975E9, 0.0, 2025-02-28 14:55:17.796
122.0, -49261.81426785162, -32123.54715151157, 102067.36350862545, -53970.00807166196, -58041.51243466287, -55790.669416269, -63899.70349069876, -57904.026854518284, 17114.551915472974, -36803.935385219505, -59963.91892003047, -51359.70429893784, -55632.731989947795, -58201.72973891852, -39881.43532054846, -47749.60699672782, 0.131, 0.9095, 0.09825, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117797144E9, 0.0, 2025-02-28 14:55:17.797
124.0, -49260.20494225084, -32119.032099131597, 102044.74354323669, -53968.95753967256, -58041.4006759406, -55790.870581969095, -63896.77541217511, -57907.9160580535, 16748.162120361583, -36777.783844206795, -59943.73529478733, -51332.32341198008, -55610.715521659324, -58172.538360659884, -39861.18464007195, -47721.44379871414, 0.1345, 0.93775, 0.102125, 192.0, 2.0, 40.0, 15.0, 24.0, 1.5, 40.0, 0.0, 0.0, 0.0, 1.740776117797323E9, 0.0, 2025-02-28 14:55:17.797
126.0, -49258.819134094614, -32110.583139727492, 102020.00016212466, -53959.390993045694, -58036.17036773806, -55782.980416176375, -63890.919255127825, -57902.14930798404, 17104.270113023533, -36789.29499260128, -59953.79357979222, -51344.415705730404, -55627.233460811796, -58185.01063406595, -39870.930000654465, -47736.30770877692, 0.1345, 0.93775, 0.102125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117797507E9, 0.0, 2025-02-28 14:55:17.797
128.0, -49248.80555257864, -32098.53554946608, 102063.36254636795, -53952.70782145355, -58024.9944955104, -55775.9619684174, -63875.27303400911, -57895.913171281005, 16768.815132238287, -36759.63422770909, -59932.11238767057, -51313.72676059327, -55602.15480353294, -58155.774552318406, -39846.030157331246, -47707.83158634086, 0.1345, 0.93775, 0.102125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74077611779768E9, 0.0, 2025-02-28 14:55:17.797
130.0, -49272.36429123453, -32119.725003209714, 102083.27795067763, -53973.76316473045, -58047.949737066, -55795.3185791157, -63902.34099654448, -57912.18524124447, 17098.995101332082, -36789.876137957115, -59956.67695482695, -51344.281595263674, -55632.86610041453, -58190.12918354621, -39871.28762856575, -47740.73335417907, 0.1345, 0.93775, 0.102125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117797852E9, 0.0, 2025-02-28 14:55:17.797
132.0, -49254.25937822573, -32103.8776163909, 102061.41794460034, -53961.11207736875, -58029.218975212454, -55778.51006728531, -63877.93289159929, -57894.236790446856, 16789.915179004096, -36772.17355634851, -59946.79748377771, -51326.37784795497, -55614.94000136138, -58171.39842169266, -39857.563657470186, -47720.30385974692, 0.1345, 0.93775, 0.102125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117798031E9, 0.0, 2025-02-28 14:55:17.798
134.0, -49247.48679965577, -32093.126427307896, 102033.94765066478, -53953.35602204276, -58022.20052745349, -55769.70347996992, -63879.11753405542, -57885.54196185374, 17057.577318856398, -36778.78967270728, -59943.489425598316, -51334.69269689235, -55617.95748686284, -58180.22736075251, -39858.74829992632, -47728.26108077301, 0.13725, 0.9508749999999999, 0.1010625, 192.0, 2.0, 48.0, 15.0, 16.0, 1.5, 16.0, 0.0, 0.0, 0.0, 1.740776117798201E9, 0.0, 2025-02-28 14:55:17.798
136.0, -49251.13013400199, -32094.467531975217, 102048.74450549418, -53952.21608307554, -58023.206355953975, -55771.49161952634, -63879.721031155714, -57890.325235167176, 16822.772243353396, -36754.76154741783, -59925.22805037833, -51309.63639135795, -55595.270466240705, -58152.690011583574, -39839.79402062822, -47700.835490326346, 0.13725, 0.9508749999999999, 0.1010625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117798363E9, 0.0, 2025-02-28 14:55:17.798
138.0, -49276.097032558566, -32116.282834563597, 102066.91647373635, -53973.07026065234, -58047.56975741026, -55791.3176168582, -63910.40997629285, -57913.392235445055, 17031.001094699037, -36786.63513501109, -59948.92089950096, -51341.62173767349, -55626.11587358903, -58186.03881431089, -39861.87754415006, -47733.893720375745, 0.13725, 0.9508749999999999, 0.1010625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74077611779853E9, 0.0, 2025-02-28 14:55:17.798
140.0, -49259.69085212837, -32100.189578555775, 102046.10699964846, -53956.35115579977, -58034.38222818163, -55772.631558493566, -63885.84540913647, -57892.69452007944, 16863.251252561957, -36778.342637818176, -59950.262004168275, -51331.3175834796, -55618.963315363326, -58175.04175603888, -39860.60349471611, -47723.94719409313, 0.13725, 0.9508749999999999, 0.1010625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117798702E9, 0.0, 2025-02-28 14:55:17.798
142.0, -49256.98629104928, -32097.663831432325, 102046.71049674875, -53953.177208087116, -58034.605745626184, -55769.85994218111, -63885.62189169192, -57894.8179358027, 16978.206274295604, -36776.75566396185, -59941.388361619516, -51331.54110092415, -55615.02940833919, -58177.27693048441, -39852.802735901205, -47726.830569127866, 0.13725, 0.9508749999999999, 0.1010625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117798869E9, 0.0, 2025-02-28 14:55:17.798
144.0, -49250.012546779224, -32094.31106976403, 102066.91647373635, -53943.76712367143, -58026.715579833464, -55761.232168821356, -63873.373135730406, -57885.139630453545, 16911.19574441859, -36763.99281787787, -59933.967582460355, -51318.912365306904, -55601.61836166601, -58162.345965188266, -39844.912570108485, -47711.29610673143, 0.134625, 0.9604374999999999, 0.10053125, 192.0, 2.0, 16.0, 15.0, 40.0, 1.5, 16.0, 0.0, 0.0, 0.0, 1.740776117799041E9, 0.0, 2025-02-28 14:55:17.799
146.0, -49275.29236975818, -32123.144820111374, 102085.28960767861, -53971.885618196204, -58056.44339995902, -55793.79866049274, -63905.112612856945, -57919.60602040363, 16944.58925063482, -36780.17548086351, -59937.43210285093, -51334.62564165898, -55612.48130947129, -58181.702575886564, -39847.93005560995, -47727.54582495044, 0.134625, 0.9604374999999999, 0.10053125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117799222E9, 0.0, 2025-02-28 14:55:17.799
148.0, -49252.76181134723, -32102.625918701404, 102062.62493880093, -53942.3813155152, -58030.8953560466, -55765.1660758455, -63880.995080589666, -57890.034662489255, 16963.230605510547, -36786.27750709981, -59948.384457634034, -51338.850121361036, -55617.01871359572, -58186.77642187791, -39861.631674961056, -47729.11044706231, 0.134625, 0.9604374999999999, 0.10053125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117799401E9, 0.0, 2025-02-28 14:55:17.799
150.0, -49262.663634140925, -32116.416945030327, 102033.92529892032, -53961.11207736875, -58047.748571365904, -55782.2651603538, -63904.41970877883, -57913.01225578931, 16891.190933131093, -36778.72261747392, -59935.95688771688, -51333.530406180675, -55603.49590820025, -58177.67926188461, -39848.198276543415, -47719.432141713165, 0.134625, 0.9604374999999999, 0.10053125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74077611779957E9, 0.0, 2025-02-28 14:55:17.799
152.0, -49237.2720524397, -32089.72896215069, 102049.99620318368, -53942.44837074857, -58022.73696932042, -55761.880369410566, -63883.096144568466, -57892.001616001326, 17002.189696096146, -36774.8781174276, -59934.72754177184, -51329.93177532337, -55597.88562034198, -58172.24778798196, -39853.160363812494, -47719.38743822425, 0.134625, 0.9604374999999999, 0.10053125, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776117799742E9, 0.0, 2025-02-28 14:55:17.799
