%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
246.0, -44360.50139194744, -31885.277555618, 102059.38393585492, -52746.96531855647, -56804.32102731717, -54421.066274770055, -65829.95543837016, -56560.06116390958, 20981.694278919018, -36422.92754923434, -58864.302499807185, -50145.84811280348, -54501.84547923154, -56959.86681698165, -38435.72448917919, -46348.867875202646, -0.009000000000000001, 0.487, 0.05, 192.0, 127.5, 56.0, 15.0, 56.0, 1.5, 16.0, 0.0, 0.0, 0.0, 1.740776307707349E9, 0.0, 2025-02-28 14:58:27.707
248.0, -44356.45572620103, -31886.484549818582, 102074.6948808068, -52741.33267895373, -56799.023663881264, -54413.89136479991, -65822.55701095545, -56547.5441870146, 21041.462843592508, -36414.456238085775, -58858.759267182264, -50135.85688303196, -54493.709444249806, -56949.85323546568, -38433.51166647812, -46338.49666577538, -0.009000000000000001, 0.487, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307707715E9, 0.0, 2025-02-28 14:58:27.707
250.0, -44377.1757933111, -31902.868378504325, 102094.83380256103, -52760.39871697411, -56817.62031526808, -54433.29267898711, -65836.77272042903, -56568.1524954024, 20921.23281016741, -36432.62820632794, -58873.69023247841, -50153.671223362835, -54509.78034851317, -56969.343956630706, -38440.19483807026, -46354.94754969449, -0.009000000000000001, 0.487, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307708044E9, 0.0, 2025-02-28 14:58:27.708
252.0, -44358.757955879926, -31881.053075915945, 102072.28089240563, -52745.266585977864, -56805.684483728946, -54419.72517010274, -65828.14494706929, -56552.886253939425, 21053.376323387187, -36428.582540581534, -58873.04203188921, -50150.385516927905, -54508.46159559031, -56967.89109324111, -38442.809992171526, -46351.728898492926, -0.009000000000000001, 0.487, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307708325E9, 0.0, 2025-02-28 14:58:27.708
254.0, -44351.001900553936, -31867.64202924276, 102071.56563658305, -52747.39000170112, -56806.08681512914, -54422.094455015, -65827.72026392464, -56559.323556342555, 20878.853902680148, -36417.56313056507, -58860.21213057186, -50143.92586278032, -54499.789118741646, -56966.01354670686, -38433.39990775584, -46350.1419246366, -0.009000000000000001, 0.487, 0.05, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307708614E9, 0.0, 2025-02-28 14:58:27.708
0.0, -44326.81731305329, -31833.175639292676, 102093.87267754944, -52719.51737636535, -56789.54652423222, -54397.28401866961, -65815.3821009853, -56534.982506630724, 21068.933137528078, -36395.56901402104, -58845.012944342256, -50127.58673758349, -54488.30032209162, -56953.78714248981, -38427.67786117528, -46338.34020356419, -0.0145, 0.7324999999999999, 0.07200000000000001, 192.0, 127.5, 48.0, 15.0, 72.0, 1.0, 120.0, 0.0, 0.0, 0.0, 1.740776307708912E9, 0.0, 2025-02-28 14:58:27.708
2.0, -44350.353699964726, -31848.844212155847, 102113.0057708032, -52750.8992255806, -56822.805919981714, -54428.21883299576, -65842.96415364316, -56567.32548085755, 20877.803370690748, -36394.607889009465, -58848.83509264411, -50132.615880085934, -54497.24101987374, -56960.55972105977, -38432.63994844436, -46348.75611648037, -0.0145, 0.7324999999999999, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307709214E9, 0.0, 2025-02-28 14:58:27.709
4.0, -44322.816350795794, -31818.334080974353, 102090.02817750313, -52722.95954501147, -56801.77292844927, -54401.352036160475, -65817.61727543084, -56536.882404909426, 21121.817364909337, -36401.38046757942, -58858.915729393455, -50142.56240636855, -54507.58987755655, -56970.57330257575, -38450.141364352865, -46359.28378811882, -0.0145, 0.7324999999999999, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307709514E9, 0.0, 2025-02-28 14:58:27.709
6.0, -44329.56657762129, -31818.982281563556, 102061.12737192243, -52731.69907709349, -56809.75250121982, -54414.40545492237, -65818.22077253113, -56550.47226553825, 20887.95106267346, -36375.72066494473, -58831.89247034699, -50115.494443833166, -54484.344063323035, -56947.12632264213, -38423.56514019551, -46335.41212504055, -0.0145, 0.7324999999999999, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307709837E9, 0.0, 2025-02-28 14:58:27.709
8.0, -44324.000993251924, -31808.499313414017, 102075.9912819852, -52719.4950246209, -56807.04794014072, -54405.397701906884, -65824.16633655624, -56542.06800962306, 21152.752179235482, -36391.56805176354, -58846.71167692086, -50131.94532775228, -54503.34304611004, -56965.499456584395, -38440.932445637285, -46352.757078737865, -0.0145, 0.7324999999999999, 0.07200000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740776307710147E9, 0.0, 2025-02-28 14:58:27.710
