%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -52385.090575825045, -30065.08559764452, 101872.05396557499, -64296.6257687361, -67054.29459265407, -65881.47620933964, -77232.31789258933, -67527.54807800628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316477E9, 0.0, 2025-02-28 14:38:12.316
190.0, -52395.68530269686, -30071.031161669634, 101847.75761935207, -64301.45374553845, -67059.14492120087, -65886.28183439754, -77233.56959027881, -67528.57625825123, -10760.643870907292, -51430.80519805017, -67959.60729832736, -59832.535366122174, -64470.09765745374, -67442.25382116484, -49489.62324734012, -58305.15126051322, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316504E9, 0.0, 2025-02-28 14:38:12.316
192.0, -52387.92924737087, -30066.359647078472, 101858.46410494615, -64295.061146624226, -67052.327639142, -65877.38584010433, -77229.36746232123, -67523.70357795997, -10782.302711284485, -51423.65263982447, -67951.60537381237, -59821.22538342779, -64461.26871839389, -67429.89330648104, -49480.727253046905, -58292.075490006864, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316524E9, 0.0, 2025-02-28 14:38:12.316
194.0, -52402.74845394474, -30077.759036750682, 101872.85862837537, -64307.26519909683, -67070.58901436199, -65889.03109896554, -77248.32174161932, -67537.85223220018, -10772.914978613255, -51436.571948119636, -67964.81525478546, -59838.95031678085, -64478.90424476913, -67444.667809566, -49495.524107876314, -58310.80625186041, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316565E9, 0.0, 2025-02-28 14:38:12.316
196.0, -52394.23243930727, -30064.9961906667, 101852.98792755461, -64291.39546053356, -67057.69205781128, -65874.88244472533, -77232.40729956714, -67522.72010120393, -10791.80220267799, -51426.55836660366, -67958.33324889341, -59826.3215811636, -64471.6175760767, -67432.0167222043, -49491.70195957446, -58297.70812960961, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316584E9, 0.0, 2025-02-28 14:38:12.316
198.0, -52404.60364873453, -30078.09431291751, 101829.11626447634, -64308.136917130585, -67072.39950566286, -65892.13799144483, -77249.81930849783, -67539.99799966789, -10767.662318666258, -51421.73038980131, -67956.52275759254, -59824.98047649628, -64468.913014997604, -67436.37531237309, -49487.25396242785, -58300.2115249886, 0.024, 0.984, 0.004, 192.0, 0.0, 96.0, 15.0, 96.0, 0.0, 16.0, 0.0, 0.0, 0.0, 1.740775092316607E9, 0.0, 2025-02-28 14:38:12.316
200.0, -52388.08570958206, -30062.783367965625, 101841.16385473775, -64291.842495422665, -67057.64735432235, -65875.50829357008, -77234.95539843505, -67523.52476400432, -10791.556333488981, -51422.0880177126, -67959.67435356074, -59822.25356367273, -64467.169578930094, -67436.62118156209, -49491.29962817427, -58298.803365087915, 0.024, 0.984, 0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316628E9, 0.0, 2025-02-28 14:38:12.316
202.0, -52394.187735818356, -30076.596746039006, 101879.60885520087, -64311.86965845462, -67073.94177603027, -65892.62972982285, -77246.66771252963, -67539.97564792343, -10770.009251834066, -51432.25806143977, -67964.7481995521, -59836.75984582423, -64474.54565460035, -67450.85924278012, -49498.02750325531, -58309.82277510438, 0.024, 0.984, 0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316647E9, 0.0, 2025-02-28 14:38:12.316
204.0, -52377.98272108826, -30046.310132302064, 101871.31635800796, -64265.19921603194, -67035.58618254497, -65846.42867403373, -77206.85925565472, -67496.54620844677, -10771.149190801287, -51406.866479738535, -67945.59275455389, -59810.78711876716, -64450.27166012188, -67421.55610579922, -49474.13348843259, -58279.983196256544, 0.024, 0.984, 0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740775092316666E9, 0.0, 2025-02-28 14:38:12.316
0.0, -26165.242632060366, -15163.266976269124, 50942.75485786854, -32029.37925212136, -33399.965870376334, -32813.3443371468, -38447.9732451407, -33622.52218991783, -5376.645073490748, -25705.400193381334, -33975.00919997802, -29908.77984866856, -32229.181495807352, -33713.69495555102, -24736.630885199414, -29144.752519697253, 0.03, 0.982, 0.04, 192.0, 0.0, 120.0, 15.0, 88.0, 0.5, 32.0, 0.0, 0.0, 0.0, 1.740775092450728E9, 0.0, 2025-02-28 14:38:12.450
