%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
210.0, -29489.304660475813, -10320.269801648832, -36491.301535523125, -31954.053873306977, -17373.273357543156, -25149.959343666953, -24712.1333732764, -16761.617870523678, -28679.366848393303, -32002.42304830826, -35703.38019172909, -10825.866261227879, -35250.399738597844, -25724.4215279128, -35914.00067973145, -32105.330479780496, -0.058, 0.98, 0.26, 192.0, 127.0, 24.0, 15.0, 80.0, 4.0, 16.0, 0.0, 0.0, 0.0, 1.741627768284685E9, 0.0, 2025-03-10 12:29:28.284
212.0, -29488.477645930965, -10320.560374326751, -36495.92834662537, -31955.663198907758, -17370.63585169743, -25143.11970986363, -24712.26748374313, -16739.17671909055, -28690.319203176405, -32002.37834481935, -35723.67557569451, -10831.677714786258, -35293.42684667431, -25732.758728594632, -35989.12489284574, -32108.05739260404, -0.058, 0.98, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768284774E9, 0.0, 2025-03-10 12:29:28.284
214.0, -29492.657422144108, -10325.209537173456, -36504.19849207383, -31966.23557403512, -17385.969148393768, -25165.851433974676, -24755.89808891989, -16798.162972708105, -28692.06263924392, -32007.854522210902, -35712.298537766765, -10834.046999698521, -35262.80495677054, -25731.216458227213, -35930.38450841719, -32115.20995082974, -0.058, 0.98, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768284837E9, 0.0, 2025-03-10 12:29:28.284
216.0, -29492.45625644401, -10323.75667378386, -36492.01679134569, -31960.155899543275, -17368.87006388546, -25151.434558801004, -24700.689280115283, -16747.133940116637, -28696.555339879436, -32008.055687910997, -35730.11287809764, -10846.251052171117, -35303.41807644583, -25738.05609203054, -36003.83234069733, -32120.708479965746, -0.058, 0.98, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7416277682849E9, 0.0, 2025-03-10 12:29:28.284
218.0, -29484.767256351384, -10325.455406362464, -36494.855462891515, -31962.391073988805, -17370.367630763965, -25139.87870691761, -24708.40063195236, -16723.77636716084, -28690.609775854326, -32009.9555861897, -35713.10320056715, -10842.317145146984, -35260.70389279174, -25730.925885549295, -35936.30772069785, -32107.11861933692, -0.058, 0.98, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768284986E9, 0.0, 2025-03-10 12:29:28.284
220.0, -29496.83719835725, -10323.063769705746, -36495.68247743636, -31948.55534417097, -17373.11689533197, -25143.052654630264, -24711.596931409473, -16743.75882670389, -28695.795380567957, -32001.640737252324, -35726.87187515162, -10837.802092767011, -35303.06044853455, -25730.747071593654, -35994.13168360373, -32101.150703567353, -0.052000000000000005, 0.982, 0.26, 192.0, 127.0, 48.0, 15.0, 88.0, 4.0, 16.0, 0.0, 0.0, 0.0, 1.741627768285049E9, 0.0, 2025-03-10 12:29:28.285
222.0, -29476.608869625197, -10312.156118411556, -36492.30736402361, -31954.590315173904, -17362.522168460153, -25160.41996007204, -24709.764088364136, -16755.06880939827, -28683.85954902882, -31996.969222661166, -35702.55317718425, -10820.85947046989, -35259.78747126907, -25710.876370772883, -35932.574979373814, -32097.462665732226, -0.052000000000000005, 0.982, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768285129E9, 0.0, 2025-03-10 12:29:28.285
224.0, -29502.492189704444, -10327.020028474335, -36500.376343771975, -31958.948905342688, -17379.375383779454, -25151.099282634175, -24734.99920785418, -16764.143617647125, -28693.761371822522, -32004.72527798716, -35725.419011762024, -10835.43280785475, -35304.289794479584, -25730.277684960092, -35992.9470411476, -32123.904779422854, -0.052000000000000005, 0.982, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768285194E9, 0.0, 2025-03-10 12:29:28.285
226.0, -29470.328029433254, -10315.173603913023, -36486.3617999985, -31956.80313787498, -17363.416238238366, -25156.866032703645, -24703.863227827936, -16735.868660911165, -28687.16760720821, -32004.367650075874, -35706.129456297094, -10829.599002551915, -35271.49978536365, -25725.6732256023, -35939.638130621686, -32101.128351822896, -0.052000000000000005, 0.982, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768285259E9, 0.0, 2025-03-10 12:29:28.285
228.0, -29506.247282772936, -10339.782874558316, -36500.17517807188, -31958.56892568695, -17378.458962256787, -25159.011800171353, -24711.03813779809, -16757.996887921916, -28698.745810836055, -32004.948795431712, -35723.74263092788, -10839.970211979176, -35308.58132941501, -25731.328216949492, -35973.92570661613, -32116.238131074686, -0.052000000000000005, 0.982, 0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768285305E9, 0.0, 2025-03-10 12:29:28.285
230.0, -29465.768273564372, -10312.111414922645, -36484.21603253079, -31945.984893558612, -17355.973107334747, -25138.492898761382, -24697.090649257978, -16736.762730689374, -28692.129694477284, -32002.110123885886, -35711.873854622114, -10831.230679897151, -35275.12076796541, -25720.46526914421, -35944.10847951275, -32100.346040766963, -0.054, 0.98, 0.266, 192.0, 127.0, 40.0, 15.0, 80.0, 4.0, 40.0, 0.0, 0.0, 0.0, 1.741627768285347E9, 0.0, 2025-03-10 12:29:28.285
232.0, -29512.4163642426, -10336.698333823482, -36505.94192814135, -31956.110233796866, -17384.560988493085, -25155.010837913855, -24743.023484113633, -16758.73449548894, -28695.39304916776, -32000.18787386273, -35723.005023360856, -10836.326877632962, -35302.81457934553, -25718.23009469868, -35953.5856191618, -32099.519026222115, -0.054, 0.98, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741627768285403E9, 0.0, 2025-03-10 12:29:28.285
