%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -22320.384957836268, -7123.188033483986, -29105.346394222546, -24850.311857499106, -11260.540635650235, -18336.164156933326, -13573.052116996303, -9251.610547496146, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973978012E9, 0.0, 2025-03-10 12:49:33.978
232.0, -22353.152615207746, -7142.924623838023, -29107.581568668076, -24843.271057995687, -11265.860350830597, -18326.329389372993, -13585.92672180256, -9266.228588369917, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973978362E9, 0.0, 2025-03-10 12:49:33.978
232.0, -22360.86396704483, -7144.913929094545, -29118.712737406822, -24849.26132550971, -11279.60667367061, -18341.48387211369, -13608.703149402518, -9270.654233772068, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.005, 0.488, 0.14400000000000002, 192.0, 127.5, 88.0, 15.0, 64.0, 4.5, 0.0, 0.0, 0.0, 0.0, 1.741628973978735E9, 0.0, 2025-03-10 12:49:33.978
232.0, -22326.84461198385, -7136.017934801333, -29098.126780763483, -24837.571363159583, -11249.253004700304, -18323.20014514925, -13576.382526920144, -9240.25586131285, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.011500000000000002, 0.732, 0.218, 192.0, 191.25, 100.0, 22.5, 96.0, 6.75, 16.0, 0.0, 0.0, 0.0, 1.741628973979116E9, 0.0, 2025-03-10 12:49:33.979
232.0, -22348.77167329451, -7109.173489710509, -29106.888664589962, -24819.086470495044, -11280.992481826841, -18336.09710169996, -13581.277558955857, -9279.080841431718, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.011500000000000002, 0.732, 0.218, 192.0, 95.625, 50.0, 11.25, 48.0, 3.375, 8.0, 0.0, 0.0, 0.0, 1.741628973979454E9, 0.0, 2025-03-10 12:49:33.979
232.0, -22319.75910899152, -7108.458233887939, -29092.47178941629, -24842.421691706382, -11260.69709786142, -18330.844441752964, -13592.006396294404, -9265.111001147152, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.01575, 0.853, 0.25, 192.0, 175.3125, 73.0, 20.625, 80.0, 5.6875, 108.0, 0.0, 0.0, 0.0, 1.741628973979721E9, 0.0, 2025-03-10 12:49:33.979
232.0, -22350.98449599558, -7114.3590944241405, -29107.223940756794, -24829.77060434468, -11276.209208513405, -18329.816261508022, -13597.303759730312, -9275.191637896496, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.017875000000000002, 0.9155, 0.266, 192.0, 215.15625, 84.5, 25.3125, 112.0, 6.84375, 158.0, 0.0, 0.0, 0.0, 1.741628973979991E9, 0.0, 2025-03-10 12:49:33.979
232.0, -22358.785254810486, -7139.258937747352, -29122.51253396422, -24857.307953513617, -11279.718432392889, -18341.416816880326, -13598.823678353272, -9273.06822217324, -22778.238091258776, -25427.635065035232, -28441.54428738884, -6026.745560973354, -26524.233999757053, -19217.314626850442, -28816.338338415426, -24268.406542349643, -0.017875000000000002, 0.9155, 0.266, 192.0, 107.578125, 42.25, 12.65625, 56.0, 3.421875, 79.0, 0.0, 0.0, 0.0, 1.74162897398027E9, 0.0, 2025-03-10 12:49:33.980
248.0, -22310.93016993167, -7088.2969603892525, -29093.030583027674, -24818.974711772767, -11269.637795643544, -18320.763805003622, -13608.077300557768, -9265.289815102795, -22769.543262665662, -25418.269684108458, -28444.226496723473, -6021.403494048535, -26509.951235050114, -19221.248533874576, -28853.106958044405, -24272.385152862687, -0.017875000000000002, 0.9155, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973980545E9, 0.0, 2025-03-10 12:49:33.980
16.0, -22348.74932155005, -7119.343533437674, -29104.407620955422, -24829.48003166676, -11279.472563203879, -18336.275915655606, -13601.908219088105, -9268.061431415252, -22745.582192609574, -25397.773134442945, -28414.297510897817, -6002.180993816972, -26468.846376996804, -19198.717975463627, -28842.33341721695, -24229.335693041765, -0.017875000000000002, 0.9155, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973980782E9, 0.0, 2025-03-10 12:49:33.980
16.0, -22360.86396704483, -7133.715705122436, -29110.621405914, -24824.607351375504, -11275.493952690835, -18324.34008411647, -13609.55251569182, -9270.207198882961, -22745.582192609574, -25397.773134442945, -28414.297510897817, -6002.180993816972, -26468.846376996804, -19198.717975463627, -28842.33341721695, -24229.335693041765, -0.017875000000000002, 0.9155, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973981021E9, 0.0, 2025-03-10 12:49:33.981
16.0, -22316.786326978963, -7108.100605976654, -29095.019888284194, -24829.658845622405, -11257.143170493027, -18340.276877913104, -13595.090937029236, -9268.620225026634, -22745.582192609574, -25397.773134442945, -28414.297510897817, -6002.180993816972, -26468.846376996804, -19198.717975463627, -28842.33341721695, -24229.335693041765, -0.017875000000000002, 0.9155, 0.266, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628973981281E9, 0.0, 2025-03-10 12:49:33.981
