%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -27763.370008870366, -9799.317693628991, -34675.06583631824, -30272.12980653403, -15816.474356231018, -23300.03956556792, -15800.090527545277, -14337.057094223153, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035545428E9, 0.0, 2025-03-10 12:33:55.545
226.0, -27800.74212559964, -9812.84049902445, -34683.67125793353, -30268.933507076923, -15834.333400050808, -23304.062879569876, -15826.242068557987, -14347.562414117148, -27468.639906482687, -30918.139924781317, -33383.24676552376, -11111.029816988686, -33205.81861803754, -24392.659889776696, -34328.65850074989, -30586.887071953664, -0.008, 1.012, 0.14200000000000002, 192.0, 127.5, 96.0, 15.5, 80.0, 2.0, 56.0, 0.0, 0.0, 0.0, 1.741628035545516E9, 0.0, 2025-03-10 12:33:55.545
228.0, -27769.82966301795, -9807.543135588543, -34680.51966196533, -30268.128844276533, -15826.89026914719, -23299.950158590098, -15794.435536198085, -14307.955122942343, -27472.685572229097, -30918.698718392698, -33388.90175687096, -11114.360226912526, -33225.689318858305, -24406.24975040552, -34372.132643715464, -30579.44394105005, -0.008, 1.012, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035545615E9, 0.0, 2025-03-10 12:33:55.545
230.0, -27802.0608785225, -9819.098987471938, -34698.66927846304, -30274.052056557186, -15856.551034039383, -23324.179449579653, -15846.828025201325, -14352.882129297512, -27469.176348349614, -30920.553913182488, -33378.79876837716, -11109.755767554732, -33219.58729262201, -24403.83576200435, -34323.58465475853, -30584.5177870414, -0.008, 1.012, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035545706E9, 0.0, 2025-03-10 12:33:55.545
232.0, -27765.91810773827, -9796.948408716727, -34679.1338538091, -30273.38150422353, -15826.040902857889, -23320.267894299974, -15796.98363506599, -14346.422475149928, -27470.003362894462, -30922.40910797228, -33400.56936747663, -11118.58470661458, -33262.97202860976, -24425.181677959168, -34401.18991150736, -30606.601310563245, -0.008, 1.012, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035545831E9, 0.0, 2025-03-10 12:33:55.545
234.0, -27795.802390075016, -9803.095138441937, -34676.07166481872, -30267.32418147614, -15832.075873860822, -23311.058975584387, -15818.821289398826, -14351.473969396828, -27461.24147906798, -30908.26045373207, -33366.281791482186, -11089.8180115006, -33192.407571364354, -24403.992224215537, -34305.68090744983, -30585.702429497534, -0.008, 1.012, 0.14200000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74162803554593E9, 0.0, 2025-03-10 12:33:55.545
236.0, -27771.39428512982, -9781.905684698306, -34670.30491474926, -30270.296963488694, -15825.727978435514, -23302.587664435825, -15796.514248432428, -14316.717006768824, -27462.493176757478, -30904.483008919124, -33384.76668414673, -11100.47979360578, -33227.32099620355, -24409.937788240648, -34380.179271719375, -30585.18833937506, -0.006, 1.014, 0.146, 192.0, 127.5, 104.0, 15.5, 88.0, 2.0, 72.0, 0.0, 0.0, 0.0, 1.741628035546021E9, 0.0, 2025-03-10 12:33:55.546
238.0, -27788.225148704667, -9788.387690590345, -34674.57409794022, -30271.682771644926, -15828.589001725793, -23297.960853333578, -15815.356769008253, -14337.548832601171, -27453.507775486443, -30901.73374435112, -33366.37119846001, -11096.47883134828, -33202.9352430028, -24399.63363404675, -34303.53513998212, -30586.842368464753, -0.006, 1.014, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035546173E9, 0.0, 2025-03-10 12:33:55.546
240.0, -27776.490482865633, -9787.3595103454, -34670.573135682724, -30272.219213511853, -15813.32276026282, -23297.33500448883, -15790.814553596325, -14327.937582485389, -27459.453339511558, -30897.911596049264, -33390.824006894116, -11101.642084317456, -33241.29083648811, -24408.574331828873, -34373.7643210607, -30585.791836475353, -0.006, 1.014, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035546288E9, 0.0, 2025-03-10 12:33:55.546
242.0, -27774.2553084201, -9786.84542022293, -34667.57800192571, -30268.397065209996, -15816.988446353489, -23295.52451318795, -15792.401527452652, -14308.312750853629, -27453.418368508625, -30902.046668773495, -33369.768663617215, -11097.372901126493, -33201.012992979646, -24404.88629399375, -34294.84031138901, -30582.886109696166, -0.006, 1.014, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628035546361E9, 0.0, 2025-03-10 12:33:55.546
