%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
192.0, -26806.380070016396, -9856.918139090318, -33300.38884882794, -28741.370587512327, -14290.610169245027, -21890.80678114972, -16967.388029979233, -12656.809408284356, -26369.761093826426, -30222.754803032258, -31665.805776811336, -11355.446142607469, -31284.82029257063, -22888.67806061245, -32550.10784269665, -28725.8808286048, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333279695E9, 0.0, 2025-03-10 12:38:53.279
194.0, -26772.517177166603, -9838.3214877035, -33293.12453187997, -28737.213163043638, -14281.133029595976, -21880.033240322264, -16964.236434011036, -12656.720001306534, -26368.956431026036, -30218.731489030302, -31673.897108304158, -11355.133218185094, -31299.19246425539, -22882.419572164963, -32604.288471256314, -28724.249151259562, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333279889E9, 0.0, 2025-03-10 12:38:53.279
196.0, -26803.004956603643, -9859.309775747035, -33303.54044479614, -28739.425985744714, -14292.912398923923, -21886.448190980936, -16958.49203568602, -12646.102922690265, -26362.541480367363, -30224.40883212195, -31657.870907529705, -11350.975793716407, -31276.013705255238, -22889.415668179474, -32552.991217731385, -28730.7311571516, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74162833328007E9, 0.0, 2025-03-10 12:38:53.280
198.0, -26781.614337159914, -9856.225235012202, -33301.126456394966, -28745.036273602997, -14286.788020943168, -21881.486103711857, -16958.73790487503, -12652.763742537945, -26371.146901982655, -30223.26889315473, -31669.47146290201, -11357.055468208251, -31304.668641646942, -22895.09301127112, -32609.898759114596, -28722.30454949195, -0.038, 0.994, 0.17, 192.0, 127.0, 104.0, 15.5, 8.0, 2.5, 40.0, 0.0, 0.0, 0.0, 1.741628333280261E9, 0.0, 2025-03-10 12:38:53.280
200.0, -26804.502523482148, -9862.841351370973, -33302.64637501793, -28741.750567168066, -14292.107736123531, -21891.119705572095, -16963.543529932922, -12657.971698996033, -26371.236308960477, -30232.65662582596, -31659.681398830584, -11359.268290909326, -31280.372295424022, -22895.383583949042, -32539.379005358103, -28732.675758919213, -0.038, 0.994, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333280441E9, 0.0, 2025-03-10 12:38:53.280
202.0, -26785.615299417415, -9844.177644750793, -33289.19062485584, -28738.30839852195, -14277.690860949859, -21882.38017349007, -16947.69614311411, -12635.418788840627, -26371.728047338493, -30220.69844254237, -31674.433550171085, -11361.078782210207, -31310.077763805126, -22893.90836881499, -32609.272910269847, -28719.19765701266, -0.038, 0.994, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333280627E9, 0.0, 2025-03-10 12:38:53.280
204.0, -26793.706630910234, -9854.817075111518, -33291.962241168294, -28744.16455556924, -14286.139820353965, -21887.208150292416, -16965.219910767068, -12652.719039049034, -26364.55313736834, -30223.02302396572, -31658.02736974089, -11352.920395484018, -31273.264440687235, -22887.873397812058, -32540.004854202853, -28721.790459369477, -0.038, 0.994, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333280799E9, 0.0, 2025-03-10 12:38:53.280
206.0, -26790.21975877521, -9853.833598355484, -33288.52007252217, -28748.41138701575, -14284.821067431101, -21896.6182347081, -16962.87297759926, -12666.308899677862, -26372.912689794626, -30228.54390484618, -31681.228480485497, -11361.905796755053, -31319.264330776256, -22903.184342763943, -32615.330233017237, -28735.626189187315, -0.038, 0.994, 0.17, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333280975E9, 0.0, 2025-03-10 12:38:53.280
208.0, -26794.10896231043, -9858.259243757635, -33295.940851681335, -28755.519241752536, -14289.090250622065, -21900.507438243323, -16956.83800659633, -12666.532417122415, -26366.430683902585, -30232.164887447943, -31658.094424974257, -11354.887348996086, -31273.309144176146, -22889.996813535312, -32543.648188549065, -28731.625226929813, -0.04, 0.992, 0.17, 192.0, 127.0, 96.0, 15.5, 0.0, 2.5, 40.0, 0.0, 0.0, 0.0, 1.741628333281159E9, 0.0, 2025-03-10 12:38:53.281
0.0, -13312.520183625244, -4920.7365418358495, -16526.388111876026, -14299.863791449523, -7074.170657893498, -10894.799041128044, -8432.642630653696, -6296.821689226829, -13194.771193834686, -15125.55958337302, -15847.722094979537, -5688.988350509209, -15657.218176986955, -11451.782161209841, -16308.033920292131, -14374.60802490807, -0.05, 1.008, 0.182, 192.0, 127.0, 56.0, 15.5, 64.0, 2.5, 88.0, 0.0, 0.0, 0.0, 1.741628333391591E9, 0.0, 2025-03-10 12:38:53.391
2.0, -26617.351367157862, -9839.707295859731, -33057.09011043193, -28599.727582899046, -14145.279126796619, -21788.88282643352, -16868.749781697963, -12594.49274474296, -26310.372508808676, -29182.52696782672, -31476.128873363603, -11404.35175947568, -30948.15831758479, -22836.33027509812, -32417.8525707546, -28547.580963084816, -0.05, 1.008, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333391783E9, 0.0, 2025-03-10 12:38:53.391
4.0, -26645.067530282442, -9852.023107054605, -33068.22127917067, -28597.961795087078, -14156.075019368533, -21794.6942799919, -16888.10639239626, -12597.68904420007, -26323.940017693047, -29192.83112202062, -31497.966527696437, -11412.599553179689, -30999.164998431803, -22850.05424619368, -32469.216879512893, -28556.85693703377, -0.05, 1.008, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333391983E9, 0.0, 2025-03-10 12:38:53.391
6.0, -26620.570018359427, -9847.440999441267, -33062.54393607902, -28595.726620641544, -14143.692152940292, -21786.893521176997, -16877.71283122454, -12615.123404875209, -26315.02167165538, -29192.674659809432, -31478.341696064675, -11400.976646062929, -30963.893945681328, -22828.350702327574, -32422.837009768133, -28554.957038755067, -0.05, 1.008, 0.182, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449137E9, 0.0, 2025-03-10 12:38:53.449
8.0, -26655.17051877624, -9865.724726405708, -33082.21347119969, -28610.85875163779, -14167.653222996381, -21790.290986334203, -16893.604921532264, -12585.753212660935, -26330.466727073996, -29206.17511346044, -31501.65456553156, -11418.925096860541, -31002.785981033565, -22843.169908901444, -32462.980742809865, -28561.103768480276, -0.042, 0.994, 0.192, 192.0, 127.0, 88.0, 15.5, 8.0, 3.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449294E9, 0.0, 2025-03-10 12:38:53.449
10.0, -26624.03453875, -9858.080429801992, -33072.1551861948, -28602.968585845065, -14152.878719911423, -21783.36194555306, -16880.43974404809, -12589.150677818141, -26329.416195084596, -29219.273235711247, -31493.585585783196, -11417.561640448766, -30980.568347044988, -22854.256374151275, -32437.678568086456, -28556.85693703377, -0.042, 0.994, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449429E9, 0.0, 2025-03-10 12:38:53.449
12.0, -26664.13356830282, -9876.922950377817, -33089.83541605895, -28610.65758593769, -14168.837865452513, -21789.06164038916, -16906.032491449416, -12594.895076143155, -26332.388977097155, -29220.59198863411, -31500.89460622008, -11420.042684083306, -31007.479847369177, -22843.46048157936, -32456.923420062474, -28562.444873147593, -0.042, 0.994, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449542E9, 0.0, 2025-03-10 12:38:53.449
14.0, -26630.874172553322, -9887.361215038445, -33090.17069222578, -28617.452516252106, -14155.650336223882, -21797.97998642683, -16896.711814011553, -12601.019454123909, -26346.60468657073, -29242.474346455856, -31500.939309708992, -11427.374056264647, -30993.532358829067, -22843.818109490647, -32454.889411317043, -28570.536204640415, -0.042, 0.994, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449673E9, 0.0, 2025-03-10 12:38:53.449
16.0, -26669.118007316352, -9896.950113409772, -33112.164808769805, -28620.917036642677, -14191.837810497023, -21814.810850001675, -16940.521233143954, -12620.085492144286, -26356.59591634225, -29249.962180848383, -31512.00342321437, -11426.681152186531, -31010.586739848466, -22856.893879997002, -32459.51622241929, -28576.839396576812, -0.042, 0.994, 0.192, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333449785E9, 0.0, 2025-03-10 12:38:53.449
18.0, -26651.504832685572, -9913.468052562244, -33090.349506181425, -28611.99869060501, -14165.015717150656, -21803.970253940854, -16899.237561135003, -12604.081643114287, -26360.21689894401, -29253.65021868351, -31516.987862227903, -11430.838576655218, -31012.486638127168, -22851.015371205256, -32483.38788549756, -28582.919071068656, -0.05, 0.992, 0.198, 192.0, 127.0, 56.0, 15.5, 0.0, 3.0, 24.0, 0.0, 0.0, 0.0, 1.741628333449904E9, 0.0, 2025-03-10 12:38:53.449
20.0, -26704.67963274475, -9939.329020897034, -33100.832474330964, -28613.94329237262, -14179.700813257792, -21804.663158018968, -16915.084947953816, -12604.171050092107, -26394.392716216174, -29283.623907998077, -31535.651568848083, -11446.708315218488, -31019.259216697126, -22842.968743201345, -32455.60466713961, -28568.32338193934, -0.05, 0.992, 0.198, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333450037E9, 0.0, 2025-03-10 12:38:53.450
22.0, -26668.0451235825, -9920.240631132201, -33078.950116509215, -28611.03756559343, -14155.024487379133, -21796.795343970698, -16890.54273254189, -12615.101053130753, -26399.08658255179, -29277.49953001732, -31550.850755077692, -11444.160216350581, -31016.062917240015, -22829.110661639057, -32486.137150065562, -28566.065855749355, -0.05, 0.992, 0.198, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333507655E9, 0.0, 2025-03-10 12:38:53.507
24.0, -26696.498894274104, -9932.712904538263, -33079.3077444205, -28606.343699257817, -14170.357784075473, -21781.864378674552, -16897.829401234318, -12585.753212660935, -26394.996213316466, -29274.638506727042, -31541.53007763983, -11432.40319876709, -30993.018268706594, -22829.51299303925, -32442.7077105889, -28550.93372475311, -0.05, 0.992, 0.198, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333507774E9, 0.0, 2025-03-10 12:38:53.507
26.0, -26656.13164378782, -9914.697398507285, -33061.51575583407, -28606.030774835443, -14152.454036766772, -21767.045172100687, -16879.18804635859, -12565.435476951061, -26399.26539650743, -29273.923250904474, -31544.25699046338, -11433.699599945498, -31003.434181622768, -22824.528554025717, -32484.751341909334, -28542.797689771378, -0.05, 0.992, 0.198, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7416283335079E9, 0.0, 2025-03-10 12:38:53.507
28.0, -26676.672896942247, -9912.283410106113, -33049.803441739496, -28591.077457794843, -14165.574510762039, -21785.328899065127, -16882.00436615996, -12616.978599664999, -26385.89905332316, -29269.117625846582, -31521.838190774703, -11417.204012537482, -30983.429370335267, -22813.03975737569, -32430.257788927294, -28537.187401913096, -0.05, 1.018, 0.202, 192.0, 127.0, 56.0, 15.5, 104.0, 3.0, 40.0, 0.0, 0.0, 0.0, 1.741628333508019E9, 0.0, 2025-03-10 12:38:53.508
30.0, -26650.588411162906, -9902.180421612313, -33048.462337072175, -28598.23001602054, -14157.214958335753, -21783.429000786426, -16899.125802412727, -12583.942721360056, -26383.350954455254, -29267.351838034614, -31526.219132687944, -11418.746282904898, -31003.568292089498, -22818.67239697843, -32485.399542498537, -28538.640265302693, -0.05, 1.018, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333508146E9, 0.0, 2025-03-10 12:38:53.508
32.0, -26681.05383885549, -9911.769319983641, -33071.23876467213, -28605.51668471297, -14158.444304280794, -21793.97902416933, -16882.406697560156, -12564.496703683937, -26387.46367543503, -29280.964050407896, -31524.319234409242, -11429.609230710177, -30998.76266703161, -22823.008635402755, -32429.877809271555, -28552.36423639825, -0.05, 1.018, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333508262E9, 0.0, 2025-03-10 12:38:53.508
34.0, -26637.490288912093, -9878.95695912325, -33048.66350277227, -28582.114408268262, -14125.497832953673, -21756.33868650659, -16816.491403161457, -12518.04977870581, -26378.187701486077, -29266.278954300757, -31520.452382618474, -11423.417797496057, -31017.873408540894, -22814.69378646538, -32465.819414355687, -28527.956131453055, -0.05, 1.018, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333508377E9, 0.0, 2025-03-10 12:38:53.508
36.0, -26639.054911023966, -9866.261168272635, -33055.99487495361, -28579.298088466894, -14137.74658891518, -21785.261843831762, -16865.531130496398, -12569.414087464105, -26349.8680412612, -29258.58995420813, -31473.98310589589, -11394.315826215246, -30973.013457419096, -22796.61122520104, -32388.41532330696, -28529.49840182047, -0.05, 1.018, 0.202, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74162833356366E9, 0.0, 2025-03-10 12:38:53.563
38.0, -26624.168649216732, -9841.294269716058, -33053.06679642997, -28569.21745171755, -14130.146995800376, -21782.244358330296, -16874.538883511887, -12595.275055798897, -26340.703826034525, -29245.335369746135, -31475.011286140834, -11380.502448141868, -31011.391402648856, -22790.308033264642, -32453.70476886091, -28542.998855471476, -0.048, 0.996, 0.2, 192.0, 127.0, 64.0, 15.5, 16.0, 3.0, 32.0, 0.0, 0.0, 0.0, 1.741628333563802E9, 0.0, 2025-03-10 12:38:53.563
40.0, -26614.110364211843, -9817.422606637789, -33044.32726434794, -28547.826832273822, -14119.798138117569, -21753.72353240532, -16857.417447259122, -12520.106139195697, -26305.365718050685, -29231.320825972656, -31433.79466936525, -11348.718267526421, -30975.002762675616, -22770.92907082189, -32373.327895799626, -28526.41386108564, -0.048, 0.996, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74162833356392E9, 0.0, 2025-03-10 12:38:53.563
42.0, -26605.527294341005, -9808.213687922203, -33047.03182542704, -28553.41476838765, -14120.513393940138, -21771.917852391944, -16876.662299235144, -12569.682308397569, -26290.278290543356, -29223.922398557952, -31435.60516066613, -11344.985526202385, -31006.116390957402, -22767.84453008706, -32436.538629119234, -28515.841485958277, -0.048, 0.996, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333564044E9, 0.0, 2025-03-10 12:38:53.564
44.0, -26591.468047078615, -9777.16711487378, -33038.71697648966, -28539.064948447343, -14104.286027465587, -21751.89068935999, -16846.95683085404, -12519.86027000669, -26267.613621665674, -29219.228532222336, -31406.816113807694, -11326.433578304479, -30961.524660769068, -22749.56080312262, -32357.324046769627, -28520.669462760623, -0.048, 0.996, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333564162E9, 0.0, 2025-03-10 12:38:53.564
46.0, -26589.36698309982, -9761.230321077148, -33027.988139151115, -28536.963884468543, -14111.729158369204, -21763.5359482212, -16869.3309270538, -12552.806741333812, -26251.81093833577, -29208.276177439235, -31414.572169133684, -11317.135252611071, -31000.23788216566, -22762.971849795802, -32413.784553263733, -28516.55674178085, -0.048, 0.996, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333564274E9, 0.0, 2025-03-10 12:38:53.564
48.0, -26569.20570960113, -9731.21192827367, -33010.55377847597, -28527.956131453055, -14104.822469332514, -21751.980096337807, -16873.42129628912, -12548.224633720474, -26220.205571675968, -29197.882616267518, -31385.02316296377, -11288.99440634184, -30942.503326237602, -22749.18082346688, -32352.920753111932, -28515.26034060244, -0.054, 0.994, 0.20800000000000002, 192.0, 127.0, 40.0, 15.5, 8.0, 3.0, 64.0, 0.0, 0.0, 0.0, 1.741628333564388E9, 0.0, 2025-03-10 12:38:53.564
50.0, -26576.246509104552, -9710.983599541618, -33006.329298773926, -28529.096070420277, -14109.963370557234, -21769.436808757404, -16848.052066332348, -12572.163352032108, -26213.99178671739, -29189.97009873034, -31406.659651596507, -11289.843772631142, -30977.282640610058, -22746.342151921053, -32401.915776957965, -28512.68988999008, -0.054, 0.994, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333564511E9, 0.0, 2025-03-10 12:38:53.564
52.0, -26536.795680140935, -9684.742651551087, -32990.727781144116, -28522.8822854617, -14095.702957594749, -21751.935392848896, -16836.116234793215, -12536.445264392527, -26173.08809436418, -29182.48226433781, -31374.27197388077, -11272.632929400555, -30925.98538708513, -22743.436425141863, -32352.764290900745, -28525.340977351785, -0.054, 0.994, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333622934E9, 0.0, 2025-03-10 12:38:53.622
54.0, -26551.838404159356, -9678.4841631036, -32986.86092935335, -28516.065003402833, -14098.496925651662, -21741.40772121045, -16859.85378740475, -12534.523014369372, -26162.09103609217, -29183.219871904836, -31378.272936138266, -11265.770943852776, -30949.700587952208, -22741.760044307717, -32379.65343948048, -28489.309965289827, -0.054, 0.994, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333623061E9, 0.0, 2025-03-10 12:38:53.623
56.0, -26519.763650865993, -9653.561968035934, -32996.740400402596, -28529.408994842648, -14090.539704625573, -21749.431997469903, -16846.867423876218, -12536.177043459063, -26138.46524220291, -29186.05854345066, -31357.418758561464, -11257.053763515207, -30918.02816605904, -22735.3674453935, -32343.667130907434, -28505.850256186757, -0.054, 0.994, 0.20800000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333623188E9, 0.0, 2025-03-10 12:38:53.623
58.0, -26531.990055083046, -9631.120816602805, -32986.81622586444, -28509.247721343963, -14082.336614410475, -21749.700218403366, -16827.17553701109, -12507.723272767458, -26121.12028850559, -29182.191691659893, -31360.369188829565, -11260.965318794886, -30949.83469841894, -22742.251782685733, -32369.97513413133, -28503.79389569687, -0.056, 0.978, 0.218, 192.0, 127.0, 32.0, 15.0, 72.0, 3.0, 104.0, 0.0, 0.0, 0.0, 1.741628333623298E9, 0.0, 2025-03-10 12:38:53.623
60.0, -26491.399287152206, -9608.657313425221, -32975.37213270332, -28504.7773724529, -14066.377468869385, -21733.986942051288, -16826.214411999514, -12522.184851430042, -26092.17477943597, -29166.143139140982, -31321.991243599805, -11233.047989970206, -30903.96891879665, -22715.474392828273, -32326.009252787742, -28485.73368617698, -0.056, 0.978, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333623424E9, 0.0, 2025-03-10 12:38:53.623
62.0, -26521.797659611424, -9599.940133087652, -32979.03781879399, -28502.251625329453, -14086.985777257178, -21750.81780562613, -16848.56615645482, -12547.598784875725, -26078.383753107042, -29152.508575023247, -31324.427583745433, -11227.638867812022, -30925.225427773647, -22710.512305559198, -32350.573819944126, -28487.79004666687, -0.056, 0.978, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333623536E9, 0.0, 2025-03-10 12:38:53.623
64.0, -26475.015458466467, -9575.621435120278, -32953.243905692565, -28494.272052558907, -14064.9693089687, -21729.896572815964, -16801.672196587588, -12482.37639455514, -26061.53053778774, -29153.045016890173, -31315.86686561905, -11220.5980683086, -30914.74245962411, -22708.12066890248, -32355.714721168846, -28493.132113591688, -0.056, 0.978, 0.218, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628333623655E9, 0.0, 2025-03-10 12:38:53.623
