%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
76.0, -24119.05218589928, -8410.872031554227, -31029.250446468646, -26852.82699499452, -13069.422610929325, -20220.930304638186, -15399.994301795281, -11343.420904090513, -24728.450146728774, -27637.149707931247, -30592.76558074541, -7451.311642087894, -28364.9448591405, -20993.853627902703, -30925.873628362853, -26522.468211945084, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624653211E9, 0.0, 2025-03-10 12:43:44.653
78.0, -24103.71888920294, -8392.90122901216, -31026.747051089653, -26855.039817695597, -13067.768581839631, -20236.084787378884, -15398.675548872417, -11363.828046778208, -24704.287910972587, -27624.02923393598, -30566.43522577706, -7431.820920922866, -28311.41243117004, -20969.177302024043, -30851.241153626583, -26512.834610084847, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624653514E9, 0.0, 2025-03-10 12:43:44.653
80.0, -24118.024005654337, -8403.227734950511, -31027.775231334595, -26851.17296590483, -13070.54019815209, -20213.822449901396, -15398.899066316972, -11342.750351756853, -24718.70478614626, -27622.554018801933, -30583.891938196655, -7443.7791042064555, -28360.0945305937, -20984.130619064646, -30932.445041232713, -26525.77627012447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624653784E9, 0.0, 2025-03-10 12:43:44.653
82.0, -24088.072668084227, -8389.302598154854, -31022.254350454135, -26855.442149095794, -13065.376945182914, -20227.233496574583, -15421.451976472375, -11389.465497668445, -24695.66013761284, -27613.27804485298, -30556.399292516628, -7422.187319062629, -28310.071326502723, -20965.846892100202, -30851.39761583777, -26513.192237996132, -0.024, 0.464, 0.2, 192.0, 127.0, 64.0, 14.5, 0.0, 6.0, 64.0, 0.0, 0.0, 0.0, 1.741628624654052E9, 0.0, 2025-03-10 12:43:44.654
84.0, -24121.376767322632, -8404.412377406643, -31026.47883015619, -26850.65887578236, -13079.413840700847, -20239.035217646982, -15437.679342946929, -11353.233319906392, -24711.12754477591, -27620.922341456695, -30579.890975939154, -7429.831615666344, -28361.078007349734, -20983.661232431084, -30922.83379111693, -26540.930752865166, -0.024, 0.464, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624654332E9, 0.0, 2025-03-10 12:43:44.654
86.0, -24084.295223271278, -8385.212228919534, -31022.835495809974, -26855.062169440054, -13073.892959820387, -20233.894316422262, -15435.801796412683, -11385.822163322231, -24697.582387635994, -27608.718288984095, -30557.405121017116, -7412.7995863914, -28318.877913818113, -20968.77497062385, -30871.82711026992, -26532.280627760963, -0.024, 0.464, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624654594E9, 0.0, 2025-03-10 12:43:44.654
88.0, -24126.137688891613, -8408.323932686322, -31029.675129613297, -26857.051474696575, -13075.099954020972, -20234.609572244834, -15409.314979233144, -11389.532552901812, -24710.769916864625, -27620.36354784531, -30575.867661937198, -7431.731513945046, -28360.31804803825, -20975.882825360637, -30923.50434345059, -26553.917116393703, -0.024, 0.464, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624654867E9, 0.0, 2025-03-10 12:43:44.654
90.0, -24084.876368627116, -8386.508630097942, -31021.673205098297, -26855.710370029257, -13049.39544789737, -20215.63294120228, -15372.591063093074, -11320.644476490555, -24702.432716182797, -27620.85528622333, -30562.56837398629, -7428.669324954668, -28322.901227820068, -20975.90517710509, -30877.6385638283, -26530.78306088246, -0.024, 0.464, 0.2, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624655131E9, 0.0, 2025-03-10 12:43:44.655
92.0, -24133.647875028597, -8417.510499657452, -31034.86073432693, -26855.844480495987, -13077.178666255317, -20239.951639169652, -15423.128357306525, -11373.01461374934, -24715.195562266777, -27629.572466560898, -30576.605269504224, -7438.459389026093, -28356.18297531402, -20981.11313356318, -30897.308098948968, -26522.512915433996, -0.034, 0.6960000000000001, 0.29700000000000004, 192.0, 127.0, 80.0, 14.5, 0.0, 6.0, 40.0, 0.0, 0.0, 0.0, 1.741628624655408E9, 0.0, 2025-03-10 12:43:44.655
94.0, -24077.276775512313, -8385.838077764283, -31015.74999281764, -26847.26141062515, -13057.15150322336, -20223.590162228367, -15407.10215653207, -11378.937826029996, -24705.60666389545, -27622.46461182411, -30564.736493198456, -7427.439979009626, -28335.32879773722, -20974.29585150431, -30895.7434768371, -26532.370034738786, -0.034, 0.6960000000000001, 0.29700000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628624655683E9, 0.0, 2025-03-10 12:43:44.655
