%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -22857.832653264126, -7468.991871952042, -29609.80291483437, -25402.55640775638, -11754.13420845678, -18709.70651027042, -14021.696331703226, -9687.134288207804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888522342E9, 0.0, 2025-03-10 12:48:08.522
52.0, -22873.501226127297, -7473.998662710031, -29613.66976662514, -25388.40775351617, -11756.19056894667, -18688.695870482432, -14010.475755986663, -9645.828264454398, -23154.797930097335, -26134.017245056304, -28962.563450642047, -6482.609389139341, -26978.53320581117, -19635.471062120327, -29334.027091744792, -24846.15443303042, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888522573E9, 0.0, 2025-03-10 12:48:08.522
54.0, -22850.65774329397, -7460.677023014668, -29606.96424328855, -25383.512721480456, -11752.815455533917, -18678.391716288534, -14004.843116383925, -9654.657203514244, -23160.117645277696, -26125.814154841206, -28967.391427444392, -6475.278016958001, -26995.028793219186, -19632.74414929678, -29352.981371042893, -24819.600560617517, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888522824E9, 0.0, 2025-03-10 12:48:08.522
56.0, -22870.57314760365, -7470.511790575003, -29616.374327704234, -25388.228939560526, -11760.70562132664, -18681.16333260099, -14017.874183401369, -9642.363744063825, -23150.43933992855, -26126.663521130507, -28952.59457261498, -6466.493781387065, -26981.215415145805, -19630.754844040257, -29318.067946203704, -24825.032034520154, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74162888852305E9, 0.0, 2025-03-10 12:48:08.523
58.0, -22857.385618375018, -7461.861665470799, -29615.703775370574, -25391.73816344001, -11760.459752137633, -18691.7133559839, -14044.226890114176, -9655.57362503691, -23160.87760458918, -26129.1669165095, -28962.63050587541, -6478.094336759369, -27015.05595625114, -19638.89087902199, -29361.229164746903, -24826.95428454331, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888523282E9, 0.0, 2025-03-10 12:48:08.523
60.0, -22871.690734826414, -7475.585636566358, -29623.415127207652, -25396.700250709087, -11766.092391740369, -18705.03499567926, -14039.801244712025, -9675.220808413125, -23147.600668382725, -26129.613951398605, -28942.53628761009, -6474.920389046716, -26990.022002461195, -19631.380692885006, -29331.054309732237, -24831.804613090113, -0.032, 0.966, 0.308, 192.0, 127.5, 0.0, 15.0, 24.0, 4.5, 80.0, 0.0, 0.0, 0.0, 1.741628888523518E9, 0.0, 2025-03-10 12:48:08.523
62.0, -22860.80543527668, -7474.579808065869, -29624.28684524141, -25395.18033208613, -11765.578301617898, -18692.048632150727, -14029.899421918324, -9662.748535007064, -23167.58312792577, -26131.960884566415, -28967.54788965558, -6482.542333905975, -27020.710947598334, -19637.192146443387, -29372.449740463468, -24840.365331216497, -0.032, 0.966, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888523754E9, 0.0, 2025-03-10 12:48:08.523
64.0, -22858.72672304234, -7474.445697599137, -29622.25283649598, -25390.709983195065, -11765.555949873442, -18669.36161152859, -14025.451424771718, -9661.094505917372, -23153.188604496554, -26122.997835039838, -28944.6820550778, -6466.247912198057, -26987.67506929339, -19606.34673909506, -29319.878437504583, -24822.260418207698, -0.032, 0.966, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888523997E9, 0.0, 2025-03-10 12:48:08.523
66.0, -22872.808322049183, -7481.732366291567, -29624.48801094151, -25398.6448524767, -11774.47429591111, -18701.302254355225, -14049.792474483547, -9680.317006148936, -23175.24977627394, -26136.230067757377, -28967.614944888945, -6483.257589728545, -27029.294017469172, -19647.205727959365, -29377.747103899375, -24840.499441683227, -0.032, 0.966, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888524232E9, 0.0, 2025-03-10 12:48:08.524
68.0, -22865.812226034668, -7474.244531899039, -29617.223693993536, -25400.209474588573, -11765.42183940671, -18705.124402657082, -14038.996581911635, -9667.732974020599, -23160.45292144453, -26130.016282798802, -28950.649970847368, -6474.987444280082, -26986.691592537358, -19636.45453887636, -29323.164143939513, -24833.078662524065, -0.032, 0.966, 0.308, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741628888524465E9, 0.0, 2025-03-10 12:48:08.524
