%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -34952.40628151969, -17196.53811413504, -13307.803965545174, 1944.6017676117144, -35212.647642212825, -27.62675614675953, -20361.522777262067, -4573.94922661176, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.007, 0.47200000000000003, 0.146, 192.0, 127.5, 72.0, 14.5, 64.0, 4.5, 16.0, 0.0, 0.0, 0.0, 1.741146140061265E9, 0.0, 2025-03-04 21:42:20.061
58.0, -34930.16629578666, -17195.375823423365, -13306.887544022507, 1951.2178839704854, -35083.76748368353, -34.19816901661981, -20354.325515547458, -4582.800517416063, 16389.483677087268, -2879.3964242215666, -18004.41956572766, 22839.057187921666, -16240.375189825916, -10831.253031641607, 6453.194493436157, -818.4091232310681, -0.007, 0.47200000000000003, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741146140061455E9, 0.0, 2025-03-04 21:42:20.061
60.0, -34926.791182373905, -17194.325291433965, -13311.983741758317, 1949.9214827920775, -35191.30172625801, -34.421686461172875, -20345.407169509792, -4570.797630643562, 16369.389458821948, -2896.026122096315, -18031.353417796305, 22821.153440612965, -16219.453957015749, -10850.408476639805, 6446.332507888378, -827.282765779825, -0.007, 0.47200000000000003, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741146140061568E9, 0.0, 2025-03-04 21:42:20.061
62.0, -34923.32666198333, -17199.801468825517, -13321.259715707269, 1961.9243695645773, -35072.52455622251, -45.95518660011132, -20324.217715766157, -4563.421554973311, 16375.647947269434, -2885.498450457865, -18000.955045337087, 22834.385673330507, -16204.59004695297, -10839.05379045651, 6447.60655732233, -816.799797630286, -0.007, 0.47200000000000003, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74114614006169E9, 0.0, 2025-03-04 21:42:20.061
64.0, -34929.67455740864, -17192.917131533282, -13301.25490441977, 1967.2217330004853, -35177.711865629186, -37.10389579580973, -20357.141835348826, -4560.649938660853, 16338.56640321808, -2901.122319832125, -18034.32619980886, 22824.0368156477, -16219.789233182579, -10836.86331949989, 6446.51132184402, -817.4479982194899, -0.007, 0.47200000000000003, 0.146, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741146140061836E9, 0.0, 2025-03-04 21:42:20.061
66.0, -34908.0380687759, -17186.837457041438, -13290.034328703205, 1984.0749483197867, -35090.093027364375, -30.35366897030699, -20332.68902691472, -4571.423479488311, 16349.09407485653, -2882.1680405340244, -17999.27866450294, 22841.873507723038, -16153.963345761698, -10834.71755203218, 6475.501534402554, -794.9844950419063, -0.0115, 0.7090000000000001, 0.21700000000000003, 192.0, 127.5, 64.0, 14.5, 72.0, 4.5, 0.0, 0.0, 0.0, 0.0, 1.741146140061951E9, 0.0, 2025-03-04 21:42:20.061
68.0, -34916.08469677981, -17181.853018027905, -13291.621302559532, 1982.0185878298985, -35178.09184528492, -19.669535120670215, -20321.848430853897, -4562.661595661831, 16342.56736547558, -2878.9046858435495, -17996.95408307959, 22845.0921589246, -16158.657212097314, -10824.368694349372, 6471.321758189411, -782.2663524468365, -0.0115, 0.7090000000000001, 0.21700000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74114614006209E9, 0.0, 2025-03-04 21:42:20.062
70.0, -34880.70188530706, -17183.77526805106, -13278.299662864169, 1976.29654124934, -35122.01131844656, -35.96395682858906, -20326.83286986743, -4554.123229279903, 16366.595490765036, -2876.960084075938, -17998.98809182502, 22845.673304280437, -16134.047941452021, -10810.577668020447, 6477.110860003336, -774.0409104872836, -0.0115, 0.7090000000000001, 0.21700000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741146140062205E9, 0.0, 2025-03-04 21:42:20.062
72.0, -34910.02737403243, -17183.77526805106, -13276.779744241208, 1968.2722649898847, -35171.38632194833, -34.153465527709194, -20343.149643319804, -4567.020185830615, 16345.316630043582, -2879.307017243745, -17991.79083011041, 22836.553792542672, -16135.321990885974, -10827.967325206677, 6485.001025796059, -773.3480064091691, -0.0115, 0.7090000000000001, 0.21700000000000003, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741146140062322E9, 0.0, 2025-03-04 21:42:20.062
0.0, -17478.706536138838, -8604.952228659658, -6651.275652799089, 938.5273979338882, -17539.480929312816, -37.50622719600525, -10161.661822993974, -2289.578591534924, 8152.016479017316, -1442.089848767501, -8996.979474661288, 11419.64035268311, -8054.317004003168, -5413.3913413752725, 3246.1438472442446, -383.17595519732896, -0.02, 0.9420000000000001, 0.29, 192.0, 127.5, 48.0, 14.5, 56.0, 4.5, 8.0, 0.0, 0.0, 0.0, 1.741146140226145E9, 0.0, 2025-03-04 21:42:20.226
