%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -32216.977443334752, -10563.032098177922, -6547.384744570822, 10031.12763537498, -30250.13568999001, 10271.990033625369, -2953.760678024373, 19157.41195171022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032369167E9, 0.0, 2025-03-04 21:57:12.369
20.0, -32218.67617591336, -10568.70944126957, -6545.976584670137, 10067.717441048319, -30113.81240055709, 10286.563371010228, -2896.0037703518597, 19185.284577045986, 19008.594037126786, 22.485854922038904, -8525.357666654309, 23807.33475772557, -10338.039438490801, -585.6380564735003, 57.9357216281559, 6400.533783499454, 0.007, 0.47800000000000004, 0.117, 192.0, 0.0, 56.0, 14.5, 112.0, 3.5, 40.0, 0.0, 0.0, 0.0, 1.741147032369535E9, 0.0, 2025-03-04 21:57:12.369
22.0, -32215.010489822685, -10557.019478919445, -6538.712267722162, 10049.277251872689, -29981.244204192666, 10289.08911813368, -2896.227287796413, 19191.766582938028, 19028.464737947554, 29.794875358924315, -8520.2614689185, 23818.018891575204, -10335.67015357854, -574.2386668012938, 73.71605321360269, 6416.135301129259, 0.007, 0.47800000000000004, 0.117, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032369983E9, 0.0, 2025-03-04 21:57:12.369
24.0, -32229.13679231844, -10576.152572173187, -6560.862846477372, 10072.031327728191, -29811.616815521338, 10281.690690718971, -2886.6383894250857, 19173.572262951406, 19008.0352435154, 29.951337570111463, -8520.172061940679, 23814.53201944018, -10331.825653532225, -581.7935564271876, 61.668462952192186, 6403.417158534188, 0.007, 0.47800000000000004, 0.117, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032370394E9, 0.0, 2025-03-04 21:57:12.370
26.0, -32232.824830153568, -10578.52185708545, -6565.690823279718, 10043.935184947872, -29554.437643818575, 10265.485675988875, -2940.193169140002, 19153.902727830737, 19011.76798483944, 26.777389857457862, -8529.984477756558, 23821.192839287858, -10351.38342993062, -580.5418587376903, 48.57034070138225, 6385.8486873923175, 0.007, 0.47800000000000004, 0.117, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032370811E9, 0.0, 2025-03-04 21:57:12.370
28.0, -32227.23689403974, -10585.272083910953, -6565.579064557442, 10068.075068959603, -29394.2873947963, 10277.08623136118, -2895.601438951664, 19175.092181574368, 18977.94979547856, 13.098122250809938, -8532.174948713178, 23807.13359202547, -10353.819770076248, -593.7517397107769, 44.323509254873905, 6379.456088478099, 0.007, 0.47800000000000004, 0.117, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032371233E9, 0.0, 2025-03-04 21:57:12.371
30.0, -32233.271865042672, -10581.0476042089, -6568.641253547818, 10059.313185133122, -29049.288219128637, 10274.895760404559, -2917.439093284499, 19153.83567259737, 19014.04786277388, 23.7375526115361, -8528.822187044882, 23832.56987721561, -10353.640956120606, -589.1696320974389, 49.77733490196883, 6389.268504293979, 0.0135, 0.7180000000000001, 0.17450000000000002, 192.0, 0.0, 80.0, 14.5, 120.0, 3.5, 32.0, 0.0, 0.0, 0.0, 1.741147032371621E9, 0.0, 2025-03-04 21:57:12.371
32.0, -32230.52260047467, -10580.578217575337, -6571.077593693447, 10087.163458724435, -28847.407263208304, 10275.32044354921, -2891.1310900606027, 19165.480931458587, 19009.42105167163, 28.61023290279304, -8519.680323562661, 23833.66511269392, -10335.960726256459, -584.7886901841987, 55.92406462717827, 6386.720405426074, 0.0135, 0.7180000000000001, 0.17450000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032372058E9, 0.0, 2025-03-04 21:57:12.372
34.0, -32234.411804009895, -10585.607360077782, -6581.895838009816, 10083.56482786713, -28404.14981891511, 10280.215475584922, -2905.3244477897224, 19176.857969386336, 19048.000162601493, 31.784180615446644, -8523.390713142242, 23851.85943268054, -10347.583633373217, -568.5613237096458, 51.990157603044224, 6400.802004432918, 0.0135, 0.7180000000000001, 0.17450000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032372495E9, 0.0, 2025-03-04 21:57:12.372
36.0, -32225.314644016584, -10586.724947300549, -6577.179619929746, 10097.959351296347, -28188.656650621495, 10289.402042556054, -2888.158308048047, 19190.470181759618, 19040.91465960916, 26.129189268253956, -8520.999076485525, 23843.365769787524, -10339.827578047227, -581.5700389826345, 57.22046580558608, 6395.906972397205, 0.0135, 0.7180000000000001, 0.17450000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741147032372895E9, 0.0, 2025-03-04 21:57:12.372
