%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -43609.929813138224, -22497.4107739223, -15148.738342373175, 2053.0077282199536, -43934.253625184734, -7091.4709081019055, -22714.334453861054, -10806.174374362752, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895579E9, 0.0, 2025-03-04 21:27:11.895
12.0, -43616.88120566383, -22496.449648910722, -15151.889938341374, 2047.7550682729566, -43995.8326811591, -7098.645818072059, -22740.910678018416, -10813.66220875528, 697.4861857278569, -4277.855667812308, -27202.564740486712, 10552.973813173034, -24753.528804007627, -21843.599896860112, -3872.3726716485826, -9627.209261323127, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895641E9, 0.0, 2025-03-04 21:27:11.895
14.0, -43615.02601087404, -22502.104640257912, -15157.14259828837, 2046.3469083722723, -43933.65012808444, -7102.892649518568, -22733.892230259447, -10822.46879607067, 697.8661653835971, -4286.461089427601, -27201.223635819395, 10550.716286983048, -24756.836862187014, -21851.914745797487, -3875.9042472725214, -9632.350162547848, -0.114, 0.962, 0.16, 192.0, 126.0, 56.0, 15.0, 8.0, 2.5, 0.0, 0.0, 0.0, 0.0, 1.741145231895697E9, 0.0, 2025-03-04 21:27:11.895
16.0, -43609.37101952684, -22489.230035451656, -15146.123188271904, 2057.9474637445765, -43979.359445495546, -7088.006387711333, -22736.149756449435, -10807.493127285616, 702.2918107857479, -4284.807060337908, -27196.19449331695, 10557.265348108453, -24758.08855987651, -21851.646524864023, -3871.3668431480937, -9628.90799390173, -0.114, 0.962, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895756E9, 0.0, 2025-03-04 21:27:11.895
18.0, -43628.86174069187, -22519.22607651068, -15165.993889092671, 2045.0728589383198, -43933.38190715098, -7106.133652464588, -22737.20028843883, -10821.150043147809, 703.319991030692, -4284.829412082364, -27196.038031105763, 10556.237167863508, -24755.76397845316, -21845.969181772376, -3867.723508801879, -9626.42695026719, -0.114, 0.962, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895839E9, 0.0, 2025-03-04 21:27:11.895
20.0, -43634.80730471698, -22518.10848928791, -15171.313604273035, 2041.5189315699258, -43923.30127040163, -7109.844042044168, -22742.74352106375, -10828.324953117963, 682.0187785647844, -4307.292915259947, -27220.937874428975, 10532.99135362999, -24782.56372005507, -21869.326754728172, -3891.9080963025212, -9649.315136589425, -0.114, 0.962, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895901E9, 0.0, 2025-03-04 21:27:11.895
22.0, -43614.86954866285, -22502.30580595801, -15155.756790132142, 2062.283702168906, -43951.03978527067, -7096.4553471154395, -22727.991369723248, -10817.305543101495, 696.7932816497424, -4296.452319199124, -27205.693984710455, 10546.9388421701, -24777.981612441734, -21858.016772033785, -3881.8945147865434, -9636.485235272079, -0.114, 0.962, 0.16, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231895956E9, 0.0, 2025-03-04 21:27:11.895
24.0, -43617.23883357511, -22491.062878496992, -15149.297135984558, 2068.117507471741, -43930.43147688288, -7088.185201666975, -22732.796994781136, -10803.715682472668, 708.4608922554127, -4286.550496405423, -27198.20615031793, 10558.271176608941, -24771.365496082963, -21843.577545115655, -3873.467907126893, -9627.902165401241, -0.112, 0.962, 0.158, 192.0, 126.0, 64.0, 15.0, 8.0, 2.0, 120.0, 0.0, 0.0, 0.0, 1.741145231896026E9, 0.0, 2025-03-04 21:27:11.896
26.0, -43614.60132772939, -22492.851018053418, -15147.129016772393, 2067.201085949074, -43975.783166382695, -7089.883934245579, -22729.108956946013, -10808.253086597097, 714.7864359362645, -4277.073356756372, -27187.454961234926, 10563.702650511581, -24754.2440598302, -21827.618399574567, -3861.755593032312, -9617.419197251702, -0.112, 0.962, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231896094E9, 0.0, 2025-03-04 21:27:11.896
28.0, -43624.74901971209, -22495.801448321516, -15154.281574998091, 2059.959120745554, -43904.056418425615, -7094.823669770202, -22765.877576574992, -10812.678731999247, 709.9361073894629, -4293.591295908845, -27198.474371251392, 10559.008784175967, -24778.652164775394, -21844.18104221595, -3880.016968252298, -9630.964354391617, -0.112, 0.962, 0.158, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741145231896164E9, 0.0, 2025-03-04 21:27:11.896
