%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
38.0, -32524.515095295323, -20471.314546026533, -32540.697758280967, -18716.032053951272, -41384.299562489934, -31526.017966987845, -39482.41197853231, -14166.71444972926, -28060.581154892585, -30112.918330778877, -35793.07774222824, -17715.947951787468, -25608.393622445303, -39569.20380225227, -36761.60118122115, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511190089E9, 0.0, 2025-03-13 16:31:51.190
40.0, -32538.216714646427, -20480.255243808657, -32551.3818921306, -18724.458661610923, -41393.64259167226, -31527.739051310906, -39490.458606536224, -14172.347089331995, -28064.64917238345, -30117.120458736477, -35794.03886723982, -17722.027626279312, -25605.532599155023, -39573.182412765316, -36773.89464067157, -187500.02235174447, -0.026000000000000002, 0.461, -0.169, 192.0, 127.0, 48.0, 14.0, 104.0, 122.5, 56.0, 0.0, 0.0, 0.0, 1.741901511192382E9, 0.0, 2025-03-13 16:31:51.192
42.0, -32534.01458668883, -20481.43988626479, -32549.01260721834, -18727.543202345754, -41392.32383874939, -31536.299769437286, -39498.70640024023, -14181.041917925111, -28066.21379449532, -30125.56941814058, -35804.27596620035, -17733.04703629578, -25608.48302942312, -39582.65955241436, -36776.1298151171, -187500.02235174447, -0.026000000000000002, 0.461, -0.169, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511194552E9, 0.0, 2025-03-13 16:31:51.194
44.0, -32546.24099090588, -20485.820828178028, -32557.01453173334, -18735.90275477204, -41397.732960907575, -31531.985882757413, -39497.946440928754, -14179.678461513337, -28072.36052422053, -30128.29633096413, -35807.31580344627, -17736.26568749734, -25614.83092484843, -39581.78783438061, -36783.19296636498, -187500.02235174447, -0.026000000000000002, 0.461, -0.169, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511196528E9, 0.0, 2025-03-13 16:31:51.196
46.0, -32542.172973415018, -20490.090011368993, -32553.997046231874, -18732.66175182602, -41393.08379806087, -31539.741938083404, -39489.989219902665, -14177.487990556716, -28073.947498076857, -30131.559685654604, -35812.00966978189, -17739.79726312128, -25617.088451038417, -39585.81114838256, -36779.66139074104, -187500.02235174447, -0.026000000000000002, 0.461, -0.169, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511198435E9, 0.0, 2025-03-13 16:31:51.198
0.0, -16270.572396585036, -10217.407073665509, -16258.189530156797, -9351.008755088897, -20702.163362760944, -15786.008928538435, -19723.46988004087, -7129.044190531277, -14037.074331888478, -15066.79684720002, -17905.468393024017, -8870.468601044251, -12809.136546747273, -19797.565912910213, -18386.790858124597, -93750.01117587223, -0.042, 0.924, -0.326, 192.0, 127.0, 88.0, 14.0, 112.0, 122.5, 104.0, 0.0, 0.0, 0.0, 1.741901511322233E9, 0.0, 2025-03-13 16:31:51.322
2.0, -32532.025281432307, -20431.394330429357, -32508.265377076314, -18694.529675785267, -41398.2694027745, -31569.626220420152, -39446.649187403826, -14255.719096150291, -28097.103905332555, -30098.546159094116, -35842.16217305209, -17764.808865166768, -25608.773602101042, -39573.78590986561, -36804.628289297616, -187500.02235174447, -0.042, 0.924, -0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511324424E9, 0.0, 2025-03-13 16:31:51.324
4.0, -32549.72786304091, -20438.79275784406, -32512.57926375619, -18693.32268158468, -41400.54928070895, -31562.786586616825, -39443.005853057606, -14247.426598957372, -28106.08930660359, -30106.52573186466, -35839.83759162874, -17761.18788256501, -25611.76873585805, -39573.78590986561, -36807.2881468878, -187500.02235174447, -0.042, 0.924, -0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511326391E9, 0.0, 2025-03-13 16:31:51.326
6.0, -32552.544182842277, -20451.175624272302, -32513.361574812126, -18693.479143795867, -41405.66783018921, -31577.874014124158, -39456.349844497425, -14264.458628232316, -28105.21758856983, -30108.76090631019, -35842.78802189684, -17763.400705266085, -25613.22159924765, -39574.501165688176, -36802.28135612981, -187500.02235174447, -0.042, 0.924, -0.326, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511328385E9, 0.0, 2025-03-13 16:31:51.328
8.0, -32571.319648184737, -20461.01039183264, -32523.82219121721, -18698.50828629831, -41410.33934478037, -31574.320086755764, -39456.19338228624, -14267.140837566953, -28116.840495686592, -30120.272054704674, -35849.605303955715, -17771.357926292174, -25621.6482069073, -39579.93263959082, -36812.384344623606, -187500.02235174447, -0.038, 0.926, -0.33, 192.0, 127.0, 104.0, 14.0, 120.0, 122.5, 88.0, 0.0, 0.0, 0.0, 1.741901511330329E9, 0.0, 2025-03-13 16:31:51.330
10.0, -32559.428520134512, -20460.00456333215, -32515.127362624095, -18695.513152541298, -41405.37725751129, -31573.805996633295, -39461.0660625775, -14259.451837474327, -28115.61114974155, -30118.14863898142, -35847.213667298995, -17767.044039612298, -25622.11759354086, -39584.20182278178, -36809.54567307779, -187500.02235174447, -0.038, 0.926, -0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511332388E9, 0.0, 2025-03-13 16:31:51.332
12.0, -32575.141796486594, -20464.407856989845, -32528.87368546411, -18701.279902610768, -41412.39570527026, -31581.159720559088, -39458.1156323094, -14276.819142916102, -28124.104812634567, -30122.931912294855, -35855.0144261139, -17776.074144372244, -25622.4975731966, -39592.471968230246, -36812.09377194569, -187500.02235174447, -0.038, 0.926, -0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511334317E9, 0.0, 2025-03-13 16:31:51.334
14.0, -32557.21569743344, -20454.886013851883, -32513.920368423507, -18695.80372521922, -41405.24314704456, -31582.389066504133, -39462.40716724481, -14267.9678521118, -28120.46147828835, -30119.690909348836, -35856.24377205894, -17777.884635673123, -25623.30223599699, -39592.6954856748, -36817.61465282615, -187500.02235174447, -0.038, 0.926, -0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511336231E9, 0.0, 2025-03-13 16:31:51.336
16.0, -32565.888174282096, -20456.875319108407, -32527.219656374415, -18696.317815341692, -41416.597833227854, -31580.086836825234, -39467.32455102498, -14271.275910291186, -28115.722908463827, -30118.282749448153, -35855.14853658063, -17778.37637405114, -25620.240047006613, -39592.36020950797, -36812.47375160143, -187500.02235174447, -0.038, 0.926, -0.33, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901511382583E9, 0.0, 2025-03-13 16:31:51.382
