%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -32536.093298923173, -20874.472960766907, -34029.25688377105, -20068.536110941903, -42359.28265563043, -31967.599030446894, -40734.10966802951, -14917.643656449754, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74190138412809E9, 0.0, 2025-03-13 16:29:44.128
208.0, -32531.66765352102, -20877.490446268373, -34025.12181104682, -20070.748933642975, -42364.91529523317, -31979.13253058583, -40744.10089780103, -14926.293781553959, -28739.001302600063, -30543.748205154923, -36357.74986240266, -17425.509384335208, -25857.88379405544, -40206.563795395356, -38113.23352017802, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384130454E9, 0.0, 2025-03-13 16:29:44.130
210.0, -32544.318740882725, -20881.89373992607, -34031.42500298322, -20064.15516902866, -42370.39147262472, -31970.862385137367, -40744.92791234588, -14925.556173986934, -28768.55030876998, -30559.57324022928, -36378.71579870174, -17443.279021177175, -25876.92748033136, -40203.32279244933, -38131.51724714247, -187500.02235174447, -0.033, 0.462, -0.176, 192.0, 126.5, 120.0, 14.0, 112.0, 122.5, 0.0, 0.0, 0.0, 0.0, 1.741901384133224E9, 0.0, 2025-03-13 16:29:44.133
212.0, -32528.33724359718, -20873.824760177704, -34018.23747375458, -20077.45445697957, -42356.04165268441, -31983.982859132633, -40736.76952561969, -14923.343351285857, -28751.585334728403, -30550.364321513694, -36366.511746229146, -17436.573497840585, -25863.02469528016, -40193.979763267016, -38121.05663073738, -187500.02235174447, -0.033, 0.462, -0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384136257E9, 0.0, 2025-03-13 16:29:44.136
214.0, -32541.368310614624, -20878.69744046896, -34025.92647384721, -20049.96181129954, -42363.68594928813, -31962.815757133456, -40738.132982031464, -14918.76124367252, -28754.714578952146, -30548.777347657367, -36360.208554292745, -17429.4656431038, -25866.913898815383, -40189.79998705387, -38115.73691555702, -187500.02235174447, -0.033, 0.462, -0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384139022E9, 0.0, 2025-03-13 16:29:44.139
216.0, -32533.813420988732, -20881.469056781418, -34024.00422382406, -20074.504026711467, -42357.85214398529, -31987.335620800928, -40744.74909839024, -14932.172290345705, -28752.635866717803, -30552.375978514672, -36360.78969964859, -17433.891288505947, -25867.763265104684, -40195.90201329017, -38115.80397079039, -187500.02235174447, -0.033, 0.462, -0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384141123E9, 0.0, 2025-03-13 16:29:44.141
218.0, -32562.96009575845, -20897.025870922313, -34043.763165922544, -20073.095866810785, -42374.34773139331, -31973.43283574973, -40752.01341533821, -14933.222822335103, -28771.433683804713, -30563.417740275592, -36378.00054287917, -17446.341210167553, -25875.720486130773, -40189.59882135377, -38121.995404004505, -187500.02235174447, -0.033, 0.462, -0.176, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384143065E9, 0.0, 2025-03-13 16:29:44.143
220.0, -32546.173935672516, -20893.85192320966, -34031.179133794205, -20086.372803017235, -42362.92598997665, -31985.793350433512, -40745.06202281261, -14929.780653688986, -28768.50560528107, -30565.317638554294, -36378.82755742402, -17447.414093901407, -25883.633003667954, -40211.54823440889, -38124.6999650836, -187500.02235174447, -0.0455, 0.6910000000000001, -0.262, 192.0, 127.0, 24.0, 14.0, 96.0, 122.5, 16.0, 0.0, 0.0, 0.0, 1.741901384145026E9, 0.0, 2025-03-13 16:29:44.145
222.0, -32556.947476499976, -20893.874274954116, -34038.801078653465, -20068.15613128616, -42368.357463879285, -31967.956658358176, -40746.00079607973, -14925.533822242478, -28764.236422090107, -30562.166042586094, -36379.83338592451, -17444.173090955388, -25876.636907653443, -40208.70956286306, -38121.19074120411, -187500.02235174447, -0.0455, 0.6910000000000001, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384147221E9, 0.0, 2025-03-13 16:29:44.147
224.0, -32544.028168204808, -20894.76834473233, -34032.94492160618, -20087.11041058426, -42365.96582722257, -31991.67185922526, -40749.621778681496, -14936.173252603205, -28764.616401745847, -30562.47896700847, -36382.649705725875, -17448.039942746156, -25877.016887309182, -40205.60267038378, -38124.387040661226, -187500.02235174447, -0.0455, 0.6910000000000001, -0.262, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901384149113E9, 0.0, 2025-03-13 16:29:44.149
