%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
12.0, -23335.020045640475, -22577.072391161015, -23348.229926613563, -16916.604866576778, -23399.90715979423, -23413.429965189694, -23419.152011770253, -15296.863352878494, -23305.60514993729, -23319.08325184384, -23390.29590967845, -22630.403653431375, -23402.187037728672, -23389.91593002271, -23429.34440724187, -15483.612177802584, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215216202E9, 0.0, 2025-03-13 16:43:35.216
14.0, -23335.71294971859, -22582.928548208303, -23348.878127202766, -16921.634009079222, -23400.53300863898, -23414.167572756716, -23419.44258444817, -15299.836134891051, -23305.001652837, -23318.34564427682, -23389.737116067066, -22616.836144547004, -23401.516485395015, -23389.312432922416, -23430.7302153981, -15511.954189771914, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215218503E9, 0.0, 2025-03-13 16:43:35.218
16.0, -23336.227039841062, -22567.818768956517, -23349.459272558604, -16916.649570065685, -23401.024747016996, -23414.614607645824, -23421.655407149246, -15280.725393381763, -23306.36510924877, -23319.731452433047, -23391.122924223295, -22626.156821984867, -23402.902293551244, -23390.67588933419, -23432.093671809875, -15520.3137421982, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215220637E9, 0.0, 2025-03-13 16:43:35.220
18.0, -23335.37767355176, -22569.673963746307, -23348.52049929148, -16917.789509032908, -23400.220084216606, -23413.809944845434, -23419.509639681535, -15295.209323788802, -23306.588626693327, -23319.820859410866, -23391.10057247884, -22601.502847850665, -23403.036404017974, -23390.87705503429, -23429.411462475236, -15467.496570050309, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215222729E9, 0.0, 2025-03-13 16:43:35.222
20.0, -23331.890801416732, -22564.93539392178, -23345.167737623186, -16919.10826195577, -23396.733212081577, -23410.367776199317, -23417.050947791453, -15281.463000948788, -23303.615844680768, -23316.91513263168, -23388.39601139975, -22611.024690988626, -23400.15302898324, -23387.881921277276, -23429.29970375296, -15508.824945548171, -0.069, 0.466, -0.14300000000000002, 192.0, 125.5, 88.0, 14.5, 16.0, 123.5, 8.0, 0.0, 0.0, 0.0, 1.741902215224858E9, 0.0, 2025-03-13 16:43:35.224
22.0, -23330.102661860306, -22552.999562382647, -23343.33489457785, -16920.829346278828, -23394.922720780698, -23408.57963664289, -23415.173401257205, -15280.568931170576, -23300.24073126802, -23313.629426196745, -23384.8197322869, -22597.18896117079, -23396.733212081577, -23384.48445612007, -23422.77299437201, -15460.746343224806, -0.069, 0.466, -0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215227138E9, 0.0, 2025-03-13 16:43:35.227
24.0, -23330.99673163852, -22547.612791968917, -23344.340723078338, -16913.63208456422, -23395.950901025644, -23409.607816887834, -23416.8274303469, -15272.902282822406, -23301.51478070197, -23314.881123886244, -23386.272595676495, -22596.47370534822, -23397.984909771076, -23385.825560787387, -23427.422157218716, -15511.328340927166, -0.069, 0.466, -0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215229346E9, 0.0, 2025-03-13 16:43:35.229
26.0, -23329.789737437935, -22533.240620284156, -23343.04432189993, -16913.96736073105, -23394.7215550806, -23408.33376745388, -23416.000415802053, -15261.614651872474, -23300.128972545743, -23313.495315730015, -23384.640918331257, -22571.75267598065, -23396.688508592666, -23384.462104375616, -23422.884753094288, -15468.144770639512, -0.069, 0.466, -0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215231508E9, 0.0, 2025-03-13 16:43:35.231
28.0, -23328.783908937447, -22535.699312174238, -23342.217307355084, -16919.465889867057, -23393.671023091203, -23407.39499418676, -23415.01693904602, -15262.709887350786, -23299.346661489806, -23312.645949440714, -23383.992717742054, -22581.18511214079, -23395.861494047822, -23383.612738086314, -23424.985817073088, -15505.539239113241, -0.069, 0.466, -0.14300000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902215233614E9, 0.0, 2025-03-13 16:43:35.233
0.0, -11653.953689808093, -11179.940245144397, -11660.659213144687, -8406.893421041183, -11686.453126246111, -11693.248056560524, -11697.763108940497, -7558.8235329179215, -11650.01978278396, -11656.725306120552, -11692.331635037855, -11280.456039959912, -11698.299550807424, -11692.197524571124, -11711.732949225063, -7743.158369440838, -0.136, 0.9440000000000001, -0.28600000000000003, 192.0, 125.5, 96.0, 14.5, 64.0, 123.5, 8.0, 0.0, 0.0, 0.0, 1.741902215353634E9, 0.0, 2025-03-13 16:43:35.353
