%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
12.0, -32097.485017476683, -20401.398289370336, -31234.439460568366, -17831.0594357323, -40520.1140666144, -31147.424119403855, -38662.77350935621, -13676.56304556883, -27851.569992491008, -29798.831617692904, -35568.04037905221, -18299.440240793258, -25321.19605793906, -38857.233686117375, -35539.27368393823, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901662989146E9, 0.0, 2025-03-13 16:34:22.989
14.0, -32080.609450412925, -20391.719984021187, -31219.2179225943, -17825.426796129563, -40504.13256932885, -31147.960561270782, -38650.14477373895, -13675.154885668146, -27841.422300508297, -29794.294213568475, -35558.27266672524, -18294.500505268636, -25308.500267088446, -38843.26384583281, -35541.62061710604, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901662991861E9, 0.0, 2025-03-13 16:34:22.991
16.0, -32095.339250008972, -20399.677205047275, -31234.797088479652, -17828.421929886572, -40515.263738067595, -31156.811852075083, -38660.31481746612, -13680.765173526428, -27847.56903023351, -29804.33014682891, -35571.19197502041, -18303.709423984223, -25314.356424135738, -38858.150107640045, -35540.03364324971, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901662993886E9, 0.0, 2025-03-13 16:34:22.993
18.0, -32078.68720038977, -20387.920187463784, -31222.458925540323, -17827.77372929737, -40511.17336883228, -31153.5037938957, -38661.38770119997, -13680.474600848509, -27840.572934218995, -29798.921024670726, -35560.105509770576, -18296.914493669807, -25306.95799672103, -38851.17636336999, -35546.26977995274, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901662995855E9, 0.0, 2025-03-13 16:34:22.995
20.0, -32098.669659932813, -20403.678167304777, -31241.793184494163, -17830.210069442997, -40526.2160928507, -31160.768110843674, -38673.234125761286, -13693.706833566052, -27841.846983652948, -29803.681946239707, -35567.302771485185, -18302.3683193169, -25310.020185711408, -38868.67777927849, -35541.8888380395, -187500.02235174447, -0.044, 0.465, -0.157, 192.0, 126.5, 32.0, 14.5, 8.0, 123.0, 24.0, 0.0, 0.0, 0.0, 1.741901662997875E9, 0.0, 2025-03-13 16:34:22.997
22.0, -32098.379087254896, -20410.406042385825, -31242.933123461382, -17851.801854586825, -40528.339508573954, -31177.3084017406, -38675.89398335147, -13698.512458623942, -27865.718646731217, -29826.368966861843, -35586.05588508319, -18321.590819548466, -25329.689720832077, -38876.523241582305, -35569.98498081982, -187500.02235174447, -0.044, 0.465, -0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901662999945E9, 0.0, 2025-03-13 16:34:22.999
24.0, -32095.607470942436, -20407.65677781782, -31245.056539184636, -17840.022485258876, -40524.003270149624, -31162.958581800292, -38666.9756373138, -13685.861371262237, -27848.440748267265, -29814.723708000627, -35575.57291693365, -18307.28570309707, -25319.273807915906, -38872.23170664689, -35549.84605906559, -187500.02235174447, -0.044, 0.465, -0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901663002003E9, 0.0, 2025-03-13 16:34:23.002
26.0, -32087.11380804942, -20402.22530391518, -31237.389890836468, -17844.112854494197, -40517.47656076867, -31168.83709059204, -38666.103919280045, -13689.102374208258, -27853.671056469808, -29817.070641168433, -35574.924716344445, -18307.978607175184, -25323.83356378479, -38860.809965230226, -35564.82172785065, -187500.02235174447, -0.044, 0.465, -0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7419016630041E9, 0.0, 2025-03-13 16:34:23.004
28.0, -32097.64147968787, -20407.723833051186, -31247.291713630166, -17842.682342849057, -40523.60093874943, -31168.12183476947, -38667.95911406983, -13689.907037008648, -27845.13269008788, -29814.097859155878, -35574.70119889989, -18303.105926883927, -25320.7266713055, -38871.31528512422, -35552.39415793349, -187500.02235174447, -0.044, 0.465, -0.157, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901663006044E9, 0.0, 2025-03-13 16:34:23.006
30.0, -32089.9748313397, -20401.711213792707, -31246.442347340864, -17848.426741174073, -40518.974127647176, -31164.523203912166, -38664.40518670144, -13687.89538000767, -27853.380483791887, -29818.925835958224, -35577.42811172344, -18303.709423984223, -25324.660578329633, -38876.03150320429, -35568.643876152506, -187500.02235174447, -0.064, 0.6995, -0.2355, 192.0, 126.5, 48.0, 14.5, 24.0, 123.0, 24.0, 0.0, 0.0, 0.0, 1.74190166300801E9, 0.0, 2025-03-13 16:34:23.008
