%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
24.0, -36191.00584876607, -24139.526383820343, -34577.254602581816, -21597.820114829556, -44443.02403247643, -35684.82824383119, -42299.84936712377, -17552.95903121937, -32223.638263182434, -34101.96710848416, -39999.85486267267, -23630.890086995376, -29702.942633979637, -42884.30278114114, -38869.527145567794, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835479138E9, 0.0, 2025-03-13 16:37:15.479
26.0, -36190.13413073232, -24144.82374725625, -34575.89114617004, -21585.92898677933, -44444.65570982167, -35692.986630557374, -42311.740495173995, -17567.040630226213, -32179.292402183106, -34061.46574753115, -39960.895772087075, -23592.065106876507, -29659.803767180892, -42845.3660423, -38826.63414795806, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835481241E9, 0.0, 2025-03-13 16:37:15.481
28.0, -36194.35861043437, -24141.202764654492, -34578.6627624825, -21586.398373412892, -44449.37192790174, -35684.40356068654, -42308.56654746134, -17558.122284188543, -32207.053268796597, -34086.58910829891, -39987.06966484424, -23617.05435717754, -29686.178825638155, -42868.00835943322, -38855.69141574996, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74190183548323E9, 0.0, 2025-03-13 16:37:15.483
30.0, -36197.86783431385, -24157.92186950706, -34579.690942727444, -21606.626702144946, -44451.160067458164, -35708.69990690946, -42323.31869880184, -17580.026993754745, -32201.018297793664, -34092.40056185729, -39985.90737413256, -23618.708386267233, -29679.33919183483, -42872.478708324285, -38851.556343025724, -187500.02235174447, -0.037, 0.445, -0.216, 192.0, 126.5, 88.0, 13.5, 104.0, 121.0, 64.0, 0.0, 0.0, 0.0, 1.741901835485239E9, 0.0, 2025-03-13 16:37:15.485
32.0, -36188.18952896471, -24142.78973851082, -34574.68415196945, -21599.630606130435, -44446.063869722355, -35695.020639302806, -42312.12047482973, -17564.403124380486, -32200.303041971096, -34095.440399103216, -39986.77909216632, -23625.548020070557, -29679.652116257206, -42881.687627039864, -38852.15984012602, -187500.02235174447, -0.037, 0.445, -0.216, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835487402E9, 0.0, 2025-03-13 16:37:15.487
0.0, -18019.12701357925, -11962.31835631351, -17192.559503621997, -10679.64114900126, -22114.815964080808, -17725.760367603347, -21026.39776782963, -8648.538130347506, -16093.300711309996, -17039.427702358687, -19982.168970366594, -11803.844488125384, -14832.192937397116, -21432.685426793745, -19424.291780506584, -93750.01117587223, -0.05450000000000001, 0.6685, -0.322, 192.0, 126.5, 96.0, 13.5, 112.0, 121.0, 80.0, 0.0, 0.0, 0.0, 1.741901835616363E9, 0.0, 2025-03-13 16:37:15.616
2.0, -36074.55326015392, -23968.84846315962, -34423.228731540294, -21375.88964413281, -44268.27809432484, -35488.66933449142, -42099.488329826396, -17343.94786881779, -32108.839703659978, -33793.51303500093, -39818.51515990677, -23408.445526176158, -29543.03825414637, -42564.40461449679, -38600.72506674827, -187500.02235174447, -0.05450000000000001, 0.6685, -0.322, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835618636E9, 0.0, 2025-03-13 16:37:15.618
4.0, -36075.246164232034, -23958.96899211037, -34428.99548160976, -21378.460094745173, -44273.106071127186, -35483.88606117798, -42099.197757148475, -17338.62815363743, -32150.324541369027, -33826.86183772825, -39855.73081442485, -23442.9342678707, -29585.57362384482, -42601.82143471497, -38637.73955556626, -187500.02235174447, -0.05450000000000001, 0.6685, -0.322, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74190183562065E9, 0.0, 2025-03-13 16:37:15.620
6.0, -36066.57368738338, -23960.064227588682, -34422.535827462176, -21377.27545228904, -44265.26060882337, -35491.08332289259, -42099.197757148475, -17345.356028718477, -32127.279892835606, -33805.31475607333, -39831.16624726847, -23420.403709459748, -29563.3783416007, -42580.00613212659, -38626.742497294246, -187500.02235174447, -0.05450000000000001, 0.6685, -0.322, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835622583E9, 0.0, 2025-03-13 16:37:15.622
8.0, -36069.255896718016, -23956.68911417593, -34426.313272275125, -21368.75943765157, -44270.75913795938, -35478.096959364055, -42095.88969896909, -17338.248173981687, -32138.03108191861, -33817.98819517949, -39845.49371546432, -23430.819622375922, -29575.94002198458, -42591.83020494344, -38626.60838682752, -187500.02235174447, -0.07200000000000001, 0.9, -0.428, 192.0, 126.5, 96.0, 14.0, 16.0, 121.0, 80.0, 0.0, 0.0, 0.0, 1.741901835624616E9, 0.0, 2025-03-13 16:37:15.624
10.0, -36064.003236771016, -23959.12545432156, -34421.99938559525, -21370.9946120971, -44272.18964960452, -35485.8753664345, -42102.6846292835, -17345.71365662976, -32130.565599270536, -33808.22048285252, -39834.429601958946, -23419.599046659358, -29568.653353292153, -42581.19077458272, -38631.145790951945, -187500.02235174447, -0.07200000000000001, 0.9, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835626758E9, 0.0, 2025-03-13 16:37:15.626
12.0, -36104.75046691304, -23991.490780292843, -34463.61833377103, -21394.28512981953, -44314.18857743604, -35514.48559933729, -42135.944025033, -17378.973052379257, -32155.577201316024, -33833.8355819983, -39864.44799476242, -23445.25884929405, -29598.269414695435, -42612.550272053515, -38649.183648727376, -187500.02235174447, -0.07200000000000001, 0.9, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835628735E9, 0.0, 2025-03-13 16:37:15.628
14.0, -36093.06050456292, -23986.41693430149, -34451.59309525408, -21411.585380027936, -44300.24108889593, -35527.91899775493, -42133.50768488737, -17382.303462303098, -32168.51886135565, -33845.74906179298, -39871.17586984347, -23457.999343633575, -29608.95354854507, -42626.96714722719, -38678.24091651928, -187500.02235174447, -0.07200000000000001, 0.9, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835630725E9, 0.0, 2025-03-13 16:37:15.630
16.0, -36080.297658478936, -23968.200262570415, -34439.50080150375, -21397.72729846565, -44285.10895789969, -35505.96958469982, -42117.593242835195, -17358.92353760285, -32163.847346764487, -33847.47014611604, -39870.03593087625, -23458.804006433966, -29605.466676410044, -42632.063344963, -38665.36631171302, -187500.02235174447, -0.07200000000000001, 0.9, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835676714E9, 0.0, 2025-03-13 16:37:15.676
18.0, -36072.42984443067, -23965.138073580038, -34427.09558333106, -21382.52811223604, -44269.23921933642, -35494.21256711633, -42106.32796362972, -17350.184005520823, -32136.68997725129, -33813.562549777336, -39836.21774151537, -23425.276389751005, -29572.386094616188, -42592.29959157701, -38645.65207310344, -187500.02235174447, -0.074, 0.89, -0.428, 192.0, 126.5, 88.0, 13.5, 104.0, 121.0, 80.0, 0.0, 0.0, 0.0, 1.741901835678812E9, 0.0, 2025-03-13 16:37:15.678
20.0, -36077.52604216648, -23965.205128813403, -34429.9789583658, -21378.974184867642, -44270.803841448294, -35490.83745370358, -42104.83039675122, -17345.62424965194, -32153.587896059504, -33833.902637231666, -39858.122451081574, -23446.443491750182, -29592.323850670324, -42612.63967903134, -38641.628759101484, -187500.02235174447, -0.074, 0.89, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835681004E9, 0.0, 2025-03-13 16:37:15.681
22.0, -36057.74474832353, -23949.424797227955, -34409.460056955824, -21361.27160325904, -44252.9447976285, -35474.185404084375, -42093.90039371257, -17334.04604602409, -32115.053488618552, -33790.8755291552, -39812.07785750364, -23405.11511625232, -29549.2743908494, -42565.499849975095, -38623.12151469249, -187500.02235174447, -0.074, 0.89, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74190183568306E9, 0.0, 2025-03-13 16:37:15.683
24.0, -36065.99254202754, -23958.20903279889, -34418.44545822686, -21372.827455142433, -44261.19259133251, -35484.69072397837, -42099.13070191511, -17341.62328739444, -32135.8853144509, -33820.80451498085, -39841.8056776292, -23435.044102077976, -29575.604745817753, -42598.73689398014, -38627.301290905634, -187500.02235174447, -0.074, 0.89, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835685058E9, 0.0, 2025-03-13 16:37:15.685
26.0, -36041.8079545269, -23938.62890465604, -34396.607803894025, -21357.874138101834, -44235.51043695336, -35461.78018591168, -42076.39897780406, -17318.511583627653, -32118.07097412002, -33796.217596080016, -39814.38008718254, -23412.91587506722, -29551.621324017207, -42570.21606805516, -38619.321718135085, -187500.02235174447, -0.074, 0.89, -0.428, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835687044E9, 0.0, 2025-03-13 16:37:15.687
28.0, -36059.398777413226, -23957.471425231866, -34418.46780997131, -21368.357106251373, -44256.677538952536, -35480.57800299859, -42097.81194899225, -17338.896374570893, -32123.278930578108, -33808.15342761915, -39831.568578668666, -23424.78465137299, -29560.830242732794, -42586.84576592991, -38609.35284010802, -187500.02235174447, -0.07200000000000001, 0.896, -0.42, 192.0, 126.5, 96.0, 14.0, 0.0, 121.0, 112.0, 0.0, 0.0, 0.0, 1.74190183568905E9, 0.0, 2025-03-13 16:37:15.689
30.0, -36040.109221948296, -23937.913648833473, -34401.27931848518, -21354.36491422235, -44238.080887565724, -35460.10380507753, -42075.013169647835, -17317.99749350518, -32117.847456675467, -33794.16123559013, -39817.10700000608, -23409.451354676647, -29552.962428684525, -42571.95950412268, -38619.545235579644, -187500.02235174447, -0.07200000000000001, 0.896, -0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835736902E9, 0.0, 2025-03-13 16:37:15.736
32.0, -36070.95462929662, -23973.251756817313, -34431.342414777566, -21374.749705165592, -44268.99335014741, -35491.9773926708, -42106.50677758536, -17350.832206110026, -32124.88825617889, -33811.05915439835, -39834.47430544785, -23424.78465137299, -29566.440530591077, -42591.226707843154, -38610.20220639732, -187500.02235174447, -0.07200000000000001, 0.896, -0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835739085E9, 0.0, 2025-03-13 16:37:15.739
34.0, -36046.0100824845, -23944.41800646997, -34405.481446442776, -21363.104446304376, -44245.74753591389, -35464.99883711324, -42073.73912021388, -17318.064548738545, -32132.13022138241, -33813.94252943308, -39832.57440716915, -23426.282218251494, -29568.228670147502, -42587.91864966377, -38633.78329679767, -187500.02235174447, -0.07200000000000001, 0.896, -0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835741108E9, 0.0, 2025-03-13 16:37:15.741
36.0, -36043.93137025015, -23947.994285582816, -34404.02858305319, -21363.462074215662, -44247.82624814824, -35467.949267381344, -42082.366893573635, -17324.3900924194, -32109.890235649378, -33801.58201474929, -39819.27511921825, -23412.468840178113, -29550.66019900563, -42576.63101871384, -38606.06713367309, -187500.02235174447, -0.07200000000000001, 0.896, -0.42, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741901835743096E9, 0.0, 2025-03-13 16:37:15.743
38.0, -36024.3512421073, -23922.625055626042, -34386.28129795567, -21347.346466463383, -44230.16837002854, -35440.03193855667, -42055.38833801608, -17296.718632783726, -32106.179846069797, -33788.86387215422, -39805.93112777843, -23400.801229572444, -29543.41823380211, -42563.8458208854, -38615.45486634432, -187500.02235174447, -0.078, 0.892, -0.41600000000000004, 192.0, 126.5, 72.0, 13.5, 112.0, 121.5, 0.0, 0.0, 0.0, 0.0, 1.741901835745077E9, 0.0, 2025-03-13 16:37:15.745
40.0, -36033.806030011896, -23937.01957905526, -34391.93628930286, -21351.79446360999, -44237.00800383187, -35460.23791554426, -42070.45341377895, -17315.270580681634, -32093.48405521918, -33784.326468029794, -39800.29848817569, -23395.257996947526, -29534.544591253354, -42560.64952142829, -38594.645392256425, -187500.02235174447, -0.078, 0.892, -0.41600000000000004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7419018357472E9, 0.0, 2025-03-13 16:37:15.747
