%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -24656.231660393678, -22720.436480097353, -24672.01199197912, -18463.055010206106, -24722.929265848314, -24736.38501601041, -24746.08567310401, -16105.057728893487, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107537577E9, 0.0, 2025-03-13 16:41:47.537
194.0, -24653.79532024805, -22735.434500626863, -24669.575651833493, -18466.27366140767, -24720.470573958228, -24733.859268886958, -24743.626981213925, -16114.825441220457, -24625.76623270109, -24638.77494797408, -24710.345233719974, -23000.861466033635, -24722.884562359402, -24710.83697209799, -24754.780501697125, -16889.469848808032, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107539504E9, 0.0, 2025-03-13 16:41:47.539
196.0, -24655.918735971303, -22733.959285492812, -24671.65436406784, -18464.731391040255, -24722.59398968148, -24735.9379811213, -24745.70569344827, -16104.789507960024, -24625.453308278717, -24638.35026482943, -24709.764088364136, -22997.955739254445, -24722.526934448117, -24710.546399420073, -24750.690132461805, -16806.18724896756, -0.046, 0.462, -0.17400000000000002, 192.0, 126.5, 16.0, 14.0, 112.0, 122.5, 16.0, 0.0, 0.0, 0.0, 1.741902107541585E9, 0.0, 2025-03-13 16:41:47.541
198.0, -24656.79045400506, -22743.525832119685, -24672.615489079417, -18466.36306838549, -24723.488059459694, -24736.899106132878, -24746.644466715392, -16114.937199942733, -24627.554372257517, -24640.518384041596, -24711.619283153927, -23000.280320677797, -24724.717405404735, -24712.669815143327, -24748.790234183103, -16769.17276014957, -0.046, 0.462, -0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107543813E9, 0.0, 2025-03-13 16:41:47.543
200.0, -24655.851680737935, -22734.92041050439, -24671.676715812293, -18460.618670060478, -24722.571637937028, -24735.84857414348, -24745.593934725995, -16100.676786980248, -24626.59324724594, -24639.53490728556, -24711.082841287, -22995.40764038654, -24723.778632137615, -24711.663986642838, -24755.182833097322, -16884.32894758331, -0.046, 0.462, -0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74190210754592E9, 0.0, 2025-03-13 16:41:47.545
202.0, -24654.287058626065, -22753.02532351319, -24670.067390211512, -18466.340716641036, -24720.962312336247, -24734.395710753884, -24743.9399056363, -16115.585400531936, -24627.107337368412, -24639.95959043021, -24711.55222792056, -22994.93825375298, -24724.359777493453, -24712.17807676531, -24754.42287378584, -16834.283391747882, -0.046, 0.462, -0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107548113E9, 0.0, 2025-03-13 16:41:47.548
204.0, -24652.834195236468, -22747.92912577738, -24668.525119844096, -18454.963678713284, -24719.442393713285, -24732.920495619834, -24742.531745735618, -16101.257932336084, -24623.97809314467, -24636.83034620647, -24708.288873230085, -22999.721527066413, -24721.1858297808, -24708.9817773082, -24749.259620816665, -16815.91025780562, -0.046, 0.462, -0.17400000000000002, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107550201E9, 0.0, 2025-03-13 16:41:47.550
206.0, -24653.705913270227, -22762.45775967333, -24669.55330008904, -18474.812027789598, -24720.403518724863, -24733.814565398046, -24743.537574236107, -16118.267609866574, -24624.1122036114, -24636.87504969538, -24708.579445908006, -22997.195779942966, -24721.14112629189, -24709.071184286022, -24752.43356852932, -16855.830473402795, -0.067, 0.6920000000000001, -0.264, 192.0, 126.5, 32.0, 14.0, 104.0, 122.0, 120.0, 0.0, 0.0, 0.0, 1.741902107552276E9, 0.0, 2025-03-13 16:41:47.552
208.0, -24653.862375481414, -22752.0194950127, -24669.620355322404, -18466.85480676351, -24720.51527744714, -24733.926324120323, -24743.626981213925, -16104.498935282105, -24624.91686641179, -24637.702064240228, -24709.048832541568, -23002.02375674531, -24721.923437347825, -24709.8311435975, -24748.61142022746, -16792.932664505563, -0.067, 0.6920000000000001, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107554504E9, 0.0, 2025-03-13 16:41:47.554
210.0, -24653.638858036862, -22757.74154159326, -24669.486244855674, -18481.875179037474, -24720.35881523595, -24733.725158420224, -24743.492870747195, -16113.014949919576, -24624.603941989415, -24637.411491562307, -24709.071184286022, -22990.110276950632, -24721.74462339218, -24709.585274408495, -24753.37234179644, -16894.1860668881, -0.067, 0.6920000000000001, -0.264, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741902107556599E9, 0.0, 2025-03-13 16:41:47.556
