%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
72.0, -16688.81823883274, -742.8602269721302, -187500.02235174447, -5912.349332851092, 24150.38933162562, 14128.001228332667, -41268.67398842263, 8836.717466916736, -1396.7828627565937, 45029.55615872815, 12939.715437855177, 38408.187140010254, -14621.661856372579, 2696.1568231769593, -51781.74993774294, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426872518E9, 0.0, 2025-03-14 14:10:26.872
74.0, -16676.234206704405, -730.5220640328007, -187500.02235174447, -5963.668938120478, 24118.4933922879, 14100.575637886006, -41263.26486626445, 8813.538707916583, -1392.0889964209791, 44921.88780568693, 12806.454337412637, 38298.41772299024, -14632.435397200037, 2665.9819681622944, -51853.990775822494, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426872743E9, 0.0, 2025-03-14 14:10:26.872
76.0, -16690.96400630045, -760.9874917253843, -187500.02235174447, -5925.581565568634, 24143.616753055663, 14117.294742738575, -41267.80227038888, 8825.60864992245, -1389.4738423197082, 45004.924536338396, 12913.116861953362, 38384.62840135436, -14618.622019126657, 2699.0401982116937, -51810.04724622337, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426872906E9, 0.0, 2025-03-14 14:10:26.872
78.0, -16685.666642864544, -736.7805524802867, -187500.02235174447, -5984.456060463913, 24106.132877604115, 14091.366719170419, -41261.72259589703, 8798.674797853804, -1422.062685735546, 44910.44371252581, 12795.591389607358, 38288.538251941, -14614.375187680149, 2665.8478576955627, -51872.11804057575, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426873074E9, 0.0, 2025-03-14 14:10:26.873
80.0, -16675.831875304208, -752.8514567436525, -187500.02235174447, -5892.679797730422, 24175.155064482104, 14148.922461142834, -41267.0423110774, 8850.530844990117, -1434.2667382081436, 45009.19371952936, 12914.659132320778, 38388.71877058969, -14636.771635624365, 2694.01105570925, -51802.53706008638, -187500.02235174447, 0.051000000000000004, 0.489, 0.021, 192.0, 1.5, 24.0, 15.0, 72.0, 0.5, 40.0, 0.0, 0.0, 0.0, 1.741979426873246E9, 0.0, 2025-03-14 14:10:26.873
82.0, -16684.906683553065, -746.5259130628006, -187500.02235174447, -5990.714548911399, 24093.6382524536, 14083.565960355516, -41251.01611030294, 8791.544591372562, -1410.5515373410628, 44928.302756345605, 12815.819718339411, 38310.08533359591, -14635.341123979226, 2676.777860734208, -51855.93537759011, -187500.02235174447, 0.051000000000000004, 0.489, 0.021, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426873424E9, 0.0, 2025-03-14 14:10:26.873
84.0, -16681.39745967358, -735.1488751350493, -187500.02235174447, -5898.759472222266, 24175.333878437745, 14146.396714019385, -41273.32315126934, 8846.216958310242, -1403.7789587711047, 44993.43573968837, 12894.989597200109, 38376.335904161446, -14623.8523273292, 2717.815663554152, -51816.64101083768, -187500.02235174447, 0.051000000000000004, 0.489, 0.021, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426873594E9, 0.0, 2025-03-14 14:10:26.873
86.0, -16688.438259177, -728.4210000540019, -187500.02235174447, -6009.847642165142, 24086.262176783344, 14069.97609972669, -41241.561322398346, 8781.21808543421, -1399.5097755801412, 44932.81780872557, 12824.268677743517, 38320.72476395664, -14637.173967024562, 2680.3094363581463, -51851.17445602113, -187500.02235174447, 0.051000000000000004, 0.489, 0.021, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426873778E9, 0.0, 2025-03-14 14:10:26.873
88.0, -16678.312918938747, -729.158607621027, -187500.02235174447, -5904.101539147084, 24174.149235981615, 14137.41131274835, -41259.30860749586, 8838.550309962071, -1408.2940111510768, 44976.69428309135, 12869.799181198978, 38352.486592827634, -14610.821260311755, 2691.8652882415404, -51834.075371512816, -187500.02235174447, 0.051000000000000004, 0.489, 0.021, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741979426873948E9, 0.0, 2025-03-14 14:10:26.873
0.0, -8290.150259751113, -289.566849418503, -93750.01117587223, -2826.0875136956593, 12258.791894768703, 7157.408554245062, -20541.521375360655, 4501.484871087655, -713.4900347578567, 22497.097849499925, 6448.0088887225265, 19188.860856158837, -7314.384855554683, 1334.1979782817339, -25905.5153614897, -93750.01117587223, 0.0795, 0.7344999999999999, 0.0405, 192.0, 1.5, 48.0, 15.0, 80.0, 0.5, 112.0, 0.0, 0.0, 0.0, 1.74197942704896E9, 0.0, 2025-03-14 14:10:27.048
