%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
32.0, 17706.962550516433, 25850.708884085285, -6706.685627303795, 3101.975095507514, 10704.228067902097, 13133.84033844952, 4438.587062190421, 22182.92172943613, 51564.580388615184, -1523.3607916069975, 21074.632832364183, 38708.28166106721, 10311.887897478093, 1246.6685469947515, 25505.374432250792, -14036.783759210559, 0.004, 0.984, 0.078, 192.0, 0.0, 16.0, 15.0, 96.0, 1.0, 56.0, 0.0, 0.0, 0.0, 1.741985268067717E9, 0.0, 2025-03-14 15:47:48.067
34.0, 17704.63796909308, 25848.719578828764, -6724.701133334772, 3097.8623745277378, 10698.863649232824, 13126.799538946098, 4433.580271432433, 22180.753610223965, 51564.222760703895, -1527.9428992203354, 21075.616309120218, 38707.5887569891, 10307.730473009406, 1243.4498957931871, 25498.646557169744, -14039.220099356187, 0.004, 0.984, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268067907E9, 0.0, 2025-03-14 15:47:48.067
36.0, 17704.146230715065, 25848.898392784406, -6709.1666709383335, 3100.3881216511872, 10702.574038812405, 13129.235879091726, 4435.860149366874, 22181.222996857527, 51565.02742350429, -1523.4501985848187, 21072.040030007367, 38702.604317975565, 10312.357284111653, 1244.1427998713018, 25499.98766183706, -14040.695314490238, 0.004, 0.984, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268068032E9, 0.0, 2025-03-14 15:47:48.068
38.0, 17702.805126047748, 25850.239497451723, -6725.99753451318, 3098.9352582615925, 10701.054120189443, 13129.437044791825, 4435.524873200045, 22183.212302114047, 51562.68049033648, -1523.5619573070953, 21080.421934178106, 38707.25348082226, 10312.781967256304, 1243.002860904081, 25499.920606603697, -14041.142349379345, 0.004, 0.984, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268068127E9, 0.0, 2025-03-14 15:47:48.068
40.0, 17693.752669543348, 25840.40472989139, -6712.161804695345, 3097.817671038827, 10700.584733555883, 13125.860765678975, 4432.574442931944, 22179.77013346793, 51561.51819962481, -1526.6464980419278, 21061.244137435453, 38698.42454176242, 10310.837365488693, 1244.7239452271397, 25504.078031072382, -14040.15887262331, 0.004, 0.984, 0.078, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268068244E9, 0.0, 2025-03-14 15:47:48.068
42.0, 17702.626312092103, 25850.172442218358, -6721.28131643311, 3102.75740656345, 10706.396187114262, 13134.913222183373, 4436.0613150669715, 22185.58158702631, 51558.50071412334, -1530.7145155327935, 21082.254777223443, 38709.10867561206, 10311.127938166612, 1242.7346399706173, 25504.23449328357, -14040.561204023506, 0.004, 0.982, 0.08600000000000001, 192.0, 0.0, 16.0, 15.0, 88.0, 1.0, 88.0, 0.0, 0.0, 0.0, 1.74198526806835E9, 0.0, 2025-03-14 15:47:48.068
44.0, 17700.145268457563, 25849.099558484504, -6709.434891871798, 3100.94691526257, 10702.618742301314, 13124.385550544925, 4433.624974921343, 22177.5349590224, 51565.139182226565, -1526.1771114083663, 21063.278146180888, 38699.81034991865, 10320.918002238037, 1244.3216138269443, 25506.112039817817, -14038.25897434461, 0.004, 0.982, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74198526806846E9, 0.0, 2025-03-14 15:47:48.068
46.0, 17704.928541771, 25859.582526634043, -6714.687551818794, 3106.8030723098605, 10703.982198713089, 13132.812158204575, 4442.409210492278, 22193.516456307945, 51566.79321131625, -1521.058561928101, 21094.74940237396, 38716.06006813766, 10323.242583661387, 1247.0261749060364, 25509.107173574826, -14031.508747519107, 0.004, 0.982, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268068571E9, 0.0, 2025-03-14 15:47:48.068
48.0, 17715.947951787468, 25875.184044263846, -6697.119080676924, 3117.308392203855, 10716.767396541525, 13137.573079773556, 4451.193446063215, 22198.25502613247, 51568.76016482832, -1514.44244556933, 21064.283974681377, 38704.28069880971, 10330.506900609364, 1254.1563813872792, 25515.231551555582, -14021.562221236494, 0.004, 0.982, 0.08600000000000001, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.741985268068679E9, 0.0, 2025-03-14 15:47:48.068
0.0, 8766.153009671332, 12865.485294519103, -3394.134747282833, 1572.3558154530306, 5365.357442540818, 6530.687991462707, 2223.6856488806784, 11018.381836221437, 25789.37569729992, -754.4384305999793, 10558.114714397754, 19368.255957157133, 5171.500762879939, 630.3862488730251, 12763.71780201409, -7004.969657059867, 0.066, 0.992, 0.01, 192.0, 1.0, 8.0, 15.5, 0.0, 0.0, 40.0, 0.0, 0.0, 0.0, 1.741985268226023E9, 0.0, 2025-03-14 15:47:48.226
