%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
102.0, -2522.8861001594187, 427.18654002982856, -187500.02235174447, 187500.0, -35676.82631931619, -38509.10526622597, 11731.60365004583, 7396.8180891058555, -27055.467910226336, -19029.984656570516, -14961.587186048888, -28786.27524212304, 8125.753179282329, -19038.85829911927, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253889655E9, 0.0, 2025-03-24 21:37:33.889
104.0, -2518.482806501723, 424.81725511756605, -187500.02235174447, 187500.0, -35666.72333082239, -38497.16943468683, 11724.719312753596, 7451.110476387797, -27060.854680640066, -19031.079892048823, -14973.724183288121, -28788.8456927354, 8091.331492821157, -19028.732958881017, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253889911E9, 0.0, 2025-03-24 21:37:33.889
106.0, -2520.136835591416, 424.86195860647666, -187500.02235174447, 187500.0, -35659.4143103855, -38499.337553899, 11735.805778003429, 7436.604194236303, -27066.040285353698, -19028.487089692007, -14961.67659302671, -28791.46084683667, 8064.30823377469, -19042.90396486568, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253890162E9, 0.0, 2025-03-24 21:37:33.890
108.0, -2522.0590856145723, 418.55876667008005, -187500.02235174447, 187500.0, -35660.82247028619, -38503.96436500125, 11721.388902829756, 7464.4991713165255, -27064.721532430834, -19029.850546103782, -14959.843749981375, -28786.141131656306, 8043.632870153531, -19047.709589923572, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253890377E9, 0.0, 2025-03-24 21:37:33.890
110.0, -2505.138815061905, 432.08157206554085, -187500.02235174447, 187500.0, -35662.07416797569, -38501.6397835779, 11746.199339175146, 7452.04924965492, -27057.25604978276, -19032.510403693963, -14954.546386545468, -28776.50752979607, 8035.362724705068, -19033.851508361284, -187500.02235174447, -187500.02235174447, -0.029, 0.506, -0.095, 192.0, 127.0, 24.0, 15.5, 80.0, 125.0, 8.0, 0.0, 0.0, 0.0, 1.742870253890625E9, 0.0, 2025-03-24 21:37:33.890
112.0, -2519.488635002212, 442.430429748348, -187500.02235174447, 187500.0, -35652.28410390426, -38488.92164098283, 11736.677496037186, 7455.849046212322, -27048.427110722914, -19014.472545918532, -14938.184909604182, -28757.754416198066, 8037.620250895054, -19026.698950135586, -187500.02235174447, -187500.02235174447, -0.029, 0.506, -0.095, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74287025389086E9, 0.0, 2025-03-24 21:37:33.890
114.0, -2516.560556478567, 432.79682788811067, -187500.02235174447, 187500.0, -35658.453185373924, -38493.16847242934, 11758.001060247549, 7453.658575255701, -27054.462081725847, -19023.726168123027, -14937.492005526068, -28754.245192318584, 8021.437587909411, -19037.67365666314, -187500.02235174447, -187500.02235174447, -0.029, 0.506, -0.095, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253891081E9, 0.0, 2025-03-24 21:37:33.891
116.0, -2509.9667918642513, 428.0806098080409, -187500.02235174447, 187500.0, -35656.82150802869, -38491.402684617366, 11746.244042664057, 7433.631412223746, -27055.333799759603, -19024.217906501046, -14933.021656635006, -28751.02654111702, 8008.96531450335, -19034.186784528112, -187500.02235174447, -187500.02235174447, -0.029, 0.506, -0.095, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253891315E9, 0.0, 2025-03-24 21:37:33.891
118.0, -2499.953210348274, 423.1855777723286, -187500.02235174447, 187500.0, -35654.116946949594, -38491.04505670608, 11754.80476079044, 7431.910327900688, -27059.580631206114, -19035.57259268434, -14951.528901044001, -28751.384169028304, 8002.282142911214, -19052.694028937105, -187500.02235174447, -187500.02235174447, -0.029, 0.506, -0.095, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.742870253891521E9, 0.0, 2025-03-24 21:37:33.891
120.0, -2509.6091639529664, 417.4858829362253, -187500.02235174447, 187500.0, -35672.378322169585, -38496.074199208524, 11731.536594812465, 7395.633446649725, -27054.283267770206, -19041.428749731633, -14946.253889352547, -28749.908953894254, 7988.602875304566, -19039.350037497286, -187500.02235174447, -187500.02235174447, -0.0465, 0.763, -0.14250000000000002, 192.0, 127.0, 0.0, 15.5, 112.0, 125.0, 8.0, 0.0, 0.0, 0.0, 1.742870253891743E9, 0.0, 2025-03-24 21:37:33.891
